Model_plot,Context_short,dimension_family,mean_intensity
SD3.5,CA-R,People,0.46382556351191867
SD3.5,CA-R,Scene,0.3879323815916097
SD3.5,CA-R,Camera,0.5251601043468607
SD3.5,CA-R,Objects,0.24421260143510304
SD3.5,CA-U,People,0.48828508595025183
SD3.5,CA-U,Scene,0.5134403809281273
SD3.5,CA-U,Camera,0.5478655775599223
SD3.5,CA-U,Objects,0.3047836951588039
SD3.5,CF,People,0.43628437905771716
SD3.5,CF,Scene,0.3808401569216139
SD3.5,CF,Camera,0.6255960975016727
SD3.5,CF,Objects,0.23311002108235013
SDXL,CA-R,People,0.4587808389464674
SDXL,CA-R,Scene,0.39348418227267135
SDXL,CA-R,Camera,0.45875668557566157
SDXL,CA-R,Objects,0.2644810878435704
SDXL,CA-U,People,0.4916729963358416
SDXL,CA-U,Scene,0.5163705605025337
SDXL,CA-U,Camera,0.5296557889744502
SDXL,CA-U,Objects,0.3262363139113419
SDXL,CF,People,0.4475178940658452
SDXL,CF,Scene,0.4230882434116271
SDXL,CF,Camera,0.5378316241737674
SDXL,CF,Objects,0.2556513238141348
Flux,CA-R,People,0.4687543019449629
Flux,CA-R,Scene,0.41078188871394966
Flux,CA-R,Camera,0.6450522657631329
Flux,CA-R,Objects,0.26012931361936875
Flux,CA-U,People,0.49310164136403184
Flux,CA-U,Scene,0.509913211622822
Flux,CA-U,Camera,0.7699935594336252
Flux,CA-U,Objects,0.3060933999359394
Flux,CF,People,0.44946369832800515
Flux,CF,Scene,0.42590984641537333
Flux,CF,Camera,0.7303925763228554
Flux,CF,Objects,0.27147730356556277
Qwen,CA-R,People,0.5037891901989112
Qwen,CA-R,Scene,0.40357795613960445
Qwen,CA-R,Camera,0.6786697312939541
Qwen,CA-R,Objects,0.2579358040397084
Qwen,CA-U,People,0.5226162334803098
Qwen,CA-U,Scene,0.5549209501041014
Qwen,CA-U,Camera,0.8135743538787958
Qwen,CA-U,Objects,0.29886153794126225
Qwen,CF,People,0.4962434239267618
Qwen,CF,Scene,0.4916278157780446
Qwen,CF,Camera,0.7792646371980592
Qwen,CF,Objects,0.24256641467468942
