Model_plot,dimension,avg_intensity
SD3.5,accessories,0.25408740409119335
SD3.5,activities,0.24733033092396273
SD3.5,aesthetic_qualities,0.6853695000173968
SD3.5,age_range,0.9813754386977875
SD3.5,body_type,0.6899386226822898
SD3.5,clothing_garment,0.41930115099772647
SD3.5,color_temperature,0.10968164319792184
SD3.5,depth_of_field,0.26826396255874474
SD3.5,dominant_colors,0.2085957438585757
SD3.5,expression,0.32390489654685994
SD3.5,eyewear_present,0.13827092133172658
SD3.5,eyewear_type,0.6457522482257718
SD3.5,facial_hair_color,0.5138702853078222
SD3.5,facial_hair_present,0.01595313029646639
SD3.5,facial_hair_style,0.5202148164294534
SD3.5,framing,0.35627786836089137
SD3.5,gender_presentation,0.22389062278074756
SD3.5,hair_color,0.35262312620604563
SD3.5,hair_present,0.9133723394097173
SD3.5,hair_style,0.5778118669187537
SD3.5,head_covering_present,0.10549420464527326
SD3.5,head_covering_type,0.5296684734872066
SD3.5,items,0.22475907415728769
SD3.5,mood,0.6486241166459586
SD3.5,perspective,0.9646325655836193
SD3.5,pose,0.4783107705446886
SD3.5,skin_tone,0.3683494344084922
SD3.5,tattoo_present,0.8658578763447223
SD3.5,weather,0.48984663030709275
SDXL,accessories,0.2952515435130082
SDXL,activities,0.2627579923945853
SDXL,aesthetic_qualities,0.6257038879209121
SDXL,age_range,0.9565808349540716
SDXL,body_type,0.6189659812558186
SDXL,clothing_garment,0.4141911653579693
SDXL,color_temperature,0.20337142951742326
SDXL,depth_of_field,0.16463675387873078
SDXL,dominant_colors,0.20335680025874725
SDXL,expression,0.43362600502757287
SDXL,eyewear_present,0.03613327212548001
SDXL,eyewear_type,0.8729527536877466
SDXL,facial_hair_color,0.43098101020411805
SDXL,facial_hair_present,0.024877530815936133
SDXL,facial_hair_style,0.5080711212536608
SDXL,framing,0.32377397388002027
SDXL,gender_presentation,0.14345242411391756
SDXL,hair_color,0.3139064000668813
SDXL,hair_present,0.904172597044581
SDXL,hair_style,0.5163711225885992
SDXL,head_covering_present,0.18043592619085103
SDXL,head_covering_type,0.5698717396227806
SDXL,items,0.24587482694218876
SDXL,mood,0.6018749892773778
SDXL,perspective,0.9708507571391088
SDXL,pose,0.4717559405094731
SDXL,skin_tone,0.4250004699604163
SDXL,tattoo_present,0.8678959713265344
SDXL,weather,0.5528453752116935
Flux,accessories,0.2242481330754741
Flux,activities,0.2867318737681248
Flux,aesthetic_qualities,0.6422254939349124
Flux,age_range,0.9918220864770263
Flux,body_type,0.7282423347431097
Flux,clothing_garment,0.43350296833400703
Flux,color_temperature,0.15808689614229277
Flux,depth_of_field,0.6571720956078152
Flux,dominant_colors,0.1837076039500688
Flux,expression,0.05817615027886991
Flux,eyewear_present,0.021974632951609396
Flux,eyewear_type,0.8062324197883609
Flux,facial_hair_color,0.5276412021643444
Flux,facial_hair_present,0.022216994081677433
Flux,facial_hair_style,0.3333120672762211
Flux,framing,0.45663989435859953
Flux,gender_presentation,0.319301175432115
Flux,hair_color,0.48523146429515596
Flux,hair_present,0.8939279079971877
Flux,hair_style,0.6331782022518387
Flux,head_covering_present,0.14655764271014893
Flux,head_covering_type,0.5078554657848555
Flux,items,0.24205203158820687
Flux,mood,0.6652292798082011
Flux,perspective,0.9760046326158507
Flux,pose,0.558579246561616
Flux,skin_tone,0.4463835697117293
Flux,tattoo_present,0.9265007705221865
Flux,weather,0.5871949321548787
Qwen,accessories,0.20828434370199633
Qwen,activities,0.23253035825962143
Qwen,aesthetic_qualities,0.6760168732493965
Qwen,age_range,0.9824425571978922
Qwen,body_type,0.6129307294892179
Qwen,clothing_garment,0.4150238329604935
Qwen,color_temperature,0.20462452500012274
Qwen,depth_of_field,0.6045570208038519
Qwen,dominant_colors,0.19958797909877501
Qwen,expression,0.30081153492553714
Qwen,eyewear_present,0.2520973071745404
Qwen,eyewear_type,0.7331222637828616
Qwen,facial_hair_color,0.590215935464621
Qwen,facial_hair_present,0.05872382996061931
Qwen,facial_hair_style,0.39231052513968245
Qwen,framing,0.6035560017043116
Qwen,gender_presentation,0.34340611633043006
Qwen,hair_color,0.45623495541839953
Qwen,hair_present,0.9645629135706951
Qwen,hair_style,0.6098419360632874
Qwen,head_covering_present,0.16838650137622535
Qwen,head_covering_type,0.5579080288249828
Qwen,items,0.22750422673549509
Qwen,mood,0.7393826365642321
Qwen,perspective,0.9772405763829416
Qwen,pose,0.5389794296670558
Qwen,skin_tone,0.6381593614042356
Qwen,tattoo_present,0.9911081250765164
Qwen,weather,0.5061474771839272
