Model_plot,dimension_family,comparison,point_estimate,bootstrap_mean,ci_low,ci_high,n_replicates
Flux,Camera,CA-U - CF,0.04992439584905206,0.047573136180281875,-0.006433392177716743,0.10640426285876045,1000
Flux,Camera,CA-R - CF,-0.08344166727012559,-0.08528254478300495,-0.15122382776585286,-0.020442046362157854,1000
Flux,Camera,CA-U - CA-R,0.13336606311917765,0.13285568096328684,0.08419132478050047,0.18718385625437922,1000
Flux,Objects,CA-U - CF,0.06322697621307227,0.06036673993419228,0.04167065930192737,0.08055668451588463,1000
Flux,Objects,CA-R - CF,0.020917376178013813,0.024811998021285638,0.0008123285130501673,0.04966614506792511,1000
Flux,Objects,CA-U - CA-R,0.04230960003505846,0.03555474191290665,0.01248441160139887,0.05650620786223994,1000
Flux,People,CA-U - CF,0.05339329290510947,0.05687350779347408,0.027126663809637432,0.10362177259018765,1000
Flux,People,CA-R - CF,0.032451465330496254,0.037082855471976976,0.008797240268616549,0.08260334144601351,1000
Flux,People,CA-U - CA-R,0.020941827574613214,0.019790652321497106,-0.010043219234761258,0.047894495407980346,1000
Flux,Scene,CA-U - CF,0.07410614221224832,0.07346721703389247,0.03792067989247679,0.11113634009396224,1000
Flux,Scene,CA-R - CF,-0.02423820601036858,-0.018172338318539063,-0.05528360379477299,0.01823224957465233,1000
Flux,Scene,CA-U - CA-R,0.0983443482226169,0.09163955535243153,0.05420393457714962,0.1276623696936492,1000
Qwen,Camera,CA-U - CF,0.048880782483859186,0.044620458475087145,-0.28286259699970473,0.3823293100322058,1000
Qwen,Camera,CA-R - CF,-0.07331722208330893,-0.03396729042102614,-0.12694227406329153,0.26361917300491255,1000
Qwen,Camera,CA-U - CA-R,0.12219800456716812,0.0785877488961133,-0.21946909190236524,0.16973626495523805,1000
Qwen,Objects,CA-U - CF,0.08423870101461295,0.0766154174994885,0.052403489760271454,0.09923865575525635,1000
Qwen,Objects,CA-R - CF,0.04218607983045952,0.04321966449221414,0.014990843365590464,0.07266245571912161,1000
Qwen,Objects,CA-U - CA-R,0.04205262118415343,0.03339575300727435,0.006126237996616296,0.06215871408459832,1000
Qwen,People,CA-U - CF,0.03770825268427597,0.07235531126574023,-0.007380056487035954,0.15545977243917858,1000
Qwen,People,CA-R - CF,0.07104024513963614,0.09144454350563876,0.0036409471566002318,0.1778996555600043,1000
Qwen,People,CA-U - CA-R,-0.03333199245536017,-0.019089232239898533,-0.09082943261378529,0.04211048474789585,1000
Qwen,Scene,CA-U - CF,0.06431239442765724,0.07797294155142628,0.031368451726130224,0.12871428109610955,1000
Qwen,Scene,CA-R - CF,-0.0793120644794596,-0.0698881901064136,-0.123220475371642,-0.01405182288441588,1000
Qwen,Scene,CA-U - CA-R,0.14362445890711684,0.1478611316578399,0.10232005181309287,0.19381675965874917,1000
SD3.5,Camera,CA-U - CF,-0.09380484167070058,-0.09559054209255956,-0.1518714097091143,-0.04227932437044746,1000
SD3.5,Camera,CA-R - CF,-0.11178202633171219,-0.11290195588508037,-0.17688700169181817,-0.05277462836322931,1000
SD3.5,Camera,CA-U - CA-R,0.017977184661011614,0.0173114137925208,-0.02791968815424838,0.06054629870066683,1000
SD3.5,Objects,CA-U - CF,0.08529696636276862,0.07920683263420686,0.0577525333938082,0.10044304860939915,1000
SD3.5,Objects,CA-R - CF,0.027857003370588163,0.030698554361467328,0.004917462765136125,0.05748075660393138,1000
SD3.5,Objects,CA-U - CA-R,0.05743996299218046,0.048508278272739534,0.02444807563169676,0.07328283380086438,1000
SD3.5,People,CA-U - CF,0.066249179976415,0.06525420002302167,0.033918830407768795,0.10602123568943721,1000
SD3.5,People,CA-R - CF,0.03000126081663107,0.03323038043632074,-0.00039182817206958416,0.07790260658052414,1000
SD3.5,People,CA-U - CA-R,0.036247919159783926,0.03202381958670093,0.0010497259813482375,0.06359816391257953,1000
SD3.5,Scene,CA-U - CF,0.11905047370014354,0.121021967037444,0.08631597496657656,0.1570393347319773,1000
SD3.5,Scene,CA-R - CF,-0.015185036890670356,-0.012876628409150905,-0.056549425472455575,0.02691136580843305,1000
SD3.5,Scene,CA-U - CA-R,0.1342355105908139,0.13389859544659488,0.09397612216765126,0.17276989434656198,1000
SDXL,Camera,CA-U - CF,-0.024234703263057322,-0.013968114436760487,-0.06303986317483047,0.037911350466842374,1000
SDXL,Camera,CA-R - CF,-0.09570007107070144,-0.08973680688830478,-0.14828823022444182,-0.03000320468155893,1000
SDXL,Camera,CA-U - CA-R,0.07146536780764412,0.07576869245154429,0.03820690070098084,0.12055300222481777,1000
SDXL,Objects,CA-U - CF,0.02424110315772851,0.023043799212289672,0.007687998552352275,0.038939106849345435,1000
SDXL,Objects,CA-R - CF,0.012310185762125364,0.013004581755593748,-0.0027377741782532218,0.028651103254638217,1000
SDXL,Objects,CA-U - CA-R,0.011930917395603147,0.010039217456695922,-0.006666077189938526,0.025028681964364106,1000
SDXL,People,CA-U - CF,0.0623821733395275,0.06090963284156571,0.027862327323537297,0.09269899924115653,1000
SDXL,People,CA-R - CF,0.03707715861117844,0.037141244736421934,0.00471920683758736,0.0689667829315899,1000
SDXL,People,CA-U - CA-R,0.025305014728349062,0.023768388105143777,-0.006878651018796397,0.05275196300330509,1000
SDXL,Scene,CA-U - CF,0.12004254939917769,0.11640510020705112,0.08221894796717785,0.1533385780721433,1000
SDXL,Scene,CA-R - CF,-0.007055018180945172,-0.006387384030588093,-0.04534015271453505,0.03490299040157521,1000
SDXL,Scene,CA-U - CA-R,0.12709756758012286,0.12279248423763921,0.09261522573759025,0.15380672778296406,1000
