Model,dimension_family,n_labels_tested,pct_invariant,mean_p,median_p,cell
XL,People,112083,92.3931372286609,0.720958037428326,0.8537256298129549,92.4/.72
XL,Objects,101082,95.23851922201777,0.7371762487264492,0.8483117025202374,95.2/.74
XL,Camera,1326,61.16138763197587,0.3670201203956628,0.22522358041453328,61.2/.37
XL,All,214491,93.54098773375107,0.7264130334722233,0.8537256298129549,93.5/.73
3.5,People,103363,92.09968750906997,0.7092141707942589,0.8477951172352766,92.1/.71
3.5,Objects,100674,95.11790531815562,0.7279404017260757,0.8455132917669986,95.1/.73
3.5,Camera,1326,57.84313725490197,0.3342811730632722,0.16510344608008265,57.8/.33
3.5,All,205363,93.3581024819466,0.7159733407413206,0.844754880999342,93.4/.72
Flux,People,96156,91.86842214734389,0.7111316690498486,0.8541151106774528,91.9/.71
Flux,Objects,93636,94.6890085010039,0.7283805405561035,0.8484257866894165,94.7/.73
Flux,Camera,1326,68.92911010558069,0.38893161793635783,0.3397915340032366,68.9/.39
Flux,All,191118,93.09117927144487,0.7173470860413574,0.8484257866894165,93.1/.72
Qwen,People,95441,92.18470049559414,0.6933901637581676,0.83002508524557606,92.2/.69
Qwen,Objects,84150,94.98158051099227,0.7124681755946515,0.8225638195182241,95.0/.71
Qwen,Camera,1224,72.22222222222221,0.3717242616443579,0.21154394630472803,72.2/.37
Qwen,All,180815,93.35121533058651,0.7000914641583159,0.8298963832086543,93.4/.70
Total,People,407043,92.14579295062192,0.7091906050055806,0.8476796020891619,92.1/.71
Total,Objects,379542,95.01399054650078,0.7270783176800962,0.8452811194192583,95.0/.73
Total,Camera,5202,64.89811610918878,0.3653670389778647,0.24075608149779731,64.9/.37
Total,All,791787,93.34164364911271,0.7155061520572938,0.8452811194192583,93.3/.72
