dimension_family,comparison,point_estimate,bootstrap_mean,ci_low,ci_high,n_replicates
Camera,CA-U - CF,-0.0048085916502117465,-0.0043412654684877585,-0.09415909796826885,0.08469832676609323,1000
Camera,CA-R - CF,-0.09106024668896195,-0.08047214949435405,-0.11877053307644507,0.004665309840609816,1000
Camera,CA-U - CA-R,0.08625165503875021,0.07613088402586629,-0.0028830118127414588,0.11115846842877336,1000
Objects,CA-U - CF,0.0642509366870456,0.05980819732004433,0.04906564645715271,0.06981429524982011,1000
Objects,CA-R - CF,0.025817661285296722,0.02793369965764022,0.01678192248490702,0.03947313942161764,1000
Objects,CA-U - CA-R,0.03843327540174887,0.03187449766240411,0.020890950057566773,0.04315571823686806,1000
People,CA-U - CF,0.054933224726332,0.06384816298095042,0.04025204547829896,0.08990159829357985,1000
People,CA-R - CF,0.04264253247448552,0.0497247560375896,0.022378326546437732,0.07618974897229455,1000
People,CA-U - CA-R,0.01229069225184648,0.014123406943360823,-0.00700804507469233,0.03396822637454635,1000
Scene,CA-U - CF,0.09437788993480672,0.09721680645745347,0.07839226678725526,0.11740265444602774,1000
Scene,CA-R - CF,-0.03144758139036091,-0.02683113521617292,-0.04982407466610626,-0.005229960442305755,1000
Scene,CA-U - CA-R,0.12582547132516764,0.12404794167362639,0.10392981123768923,0.14145588600241915,1000
