cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,10,2
scene_appearance,aesthetic_qualities,realistic,12,2
scene_appearance,color_temperature,cool,2,2
scene_appearance,color_temperature,warm,10,2
scene_appearance,mood,calm,3,2
scene_appearance,mood,joyful,1,2
camera,depth_of_field,moderate,1,2
camera,depth_of_field,shallow,8,2
camera,framing,headshot,3,2
camera,framing,medium,9,2
camera,perspective,eye level,6,1
objects,type,hanging cookware,1,9
objects,type,jar,2,9
objects,type,pendant lamp,1,9
objects,type,plates,1,9
objects,type,potted plant,1,9
objects,type,small containers,1,9
objects,type,utensil holder,1,9
objects,type,window,4,9
objects,type,wooden bowl,1,9
people,activities,cooking,2,3
people,activities,holding frying pan,1,3
people,activities,stirring,1,3
people,age_range,middle aged,6,2
people,age_range,young adult,4,2
people,clothing_color,black,15,5
people,clothing_color,brown,0,5
people,clothing_color,gray,1,5
people,clothing_color,red,1,5
people,clothing_color,white,12,5
people,clothing_garment,apron,2,8
people,clothing_garment,chef jacket,13,8
people,clothing_garment,chef trousers,1,8
people,clothing_garment,neckerchief,2,8
people,clothing_garment,pants,1,8
people,clothing_garment,short sleeved jacket,1,8
people,clothing_garment,trousers,1,8
people,clothing_garment,waist apron,5,8
people,eyewear_present,no,9,2
people,eyewear_present,yes,1,2
people,hair_color,black,4,4
people,hair_color,brown,1,4
people,hair_color,dark blue,5,4
people,hair_color,gray,1,4
people,facial_hair_present,yes,10,1
people,facial_hair_style,full beard,1,9
people,facial_hair_style,mustache,1,9
people,facial_hair_style,short,1,9
people,facial_hair_style,short beard,2,9
people,facial_hair_style,short trimmed beard,1,9
people,facial_hair_style,stubble,2,9
people,facial_hair_style,trimmed beard,2,9
people,facial_hair_style,trimmed mustache,1,9
people,facial_hair_style,trimmed stubble,1,9
people,gaze_direction,down,6,2
people,gaze_direction,up,2,2
people,gender_presentation,male,11,1
people,hair_color,black,6,4
people,hair_color,brown,5,4
people,hair_color,gray,1,4
people,hair_present,yes,11,1
people,hair_style,short,10,1
people,head_covering_type,black,1,5
people,head_covering_type,white,4,5
people,head_covering_present,no,6,2
people,head_covering_present,yes,4,2
people,head_covering_type,chef hat,2,5
people,head_covering_type,short chef cap,1,5
people,head_covering_type,tall pleated chef hat,1,5
people,pose,standing,1,2
people,pose,standing,3,2
people,pose,standing,1,2
people,pose,leaning,2,2
people,pose,standing,1,2
people,pose,leaning,1,2
people,pose,standing,1,2
people,pose,leaning,4,2
people,pose,leaning,1,2
people,pose,standing,1,2
people,pose,leaning,1,2
people,pose,leaning,1,2
people,pose,standing,1,2
people,pose,standing,3,2
people,skin_tone,light,3,2
people,skin_tone,medium,7,2
