cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,6,2
scene_appearance,aesthetic_qualities,realistic,12,2
scene_appearance,color_temperature,cool,1,3
scene_appearance,color_temperature,neutral,4,3
scene_appearance,color_temperature,warm,7,3
scene_appearance,dominant_colors,black,8,3
scene_appearance,dominant_colors,brown,30,3
scene_appearance,dominant_colors,mediumblue,2,3
scene_appearance,mood,calm,19,2
scene_appearance,mood,minimalistic,2,2
camera,depth_of_field,deep,2,6
camera,depth_of_field,deep dof,1,6
camera,depth_of_field,moderate,7,6
camera,depth_of_field,moderate dof,4,6
camera,depth_of_field,shallow,8,6
camera,depth_of_field,shallow dof,4,6
camera,framing,establishing,4,4
camera,framing,full body,6,4
camera,framing,medium,19,4
camera,framing,wide,4,4
camera,perspective,eye level,23,1
objects,type,black framed window,1,92
objects,type,bottle,2,92
objects,type,bowl,8,92
objects,type,bread,1,92
objects,type,bread piece,1,92
objects,type,cabinet,5,92
objects,type,cabinetry bank,1,92
objects,type,chef knife,1,92
objects,type,chef slicing knife,1,92
objects,type,cherry tomatoes,1,92
objects,type,chicken egg,1,92
objects,type,coffee cup,1,92
objects,type,cookware,6,92
objects,type,countertop microwave,1,92
objects,type,countertop pot,1,92
objects,type,cutting board,6,92
objects,type,decorative bowl,1,92
objects,type,double basin sink,1,92
objects,type,egg,2,92
objects,type,faucet,4,92
objects,type,fruit,17,92
objects,type,fruit tray,1,92
objects,type,frying pan,3,92
objects,type,glass bowl,1,92
objects,type,glass jars,3,92
objects,type,glass pitcher,1,92
objects,type,hanging cooking utensil,1,92
objects,type,jar,2,92
objects,type,kettle,1,92
objects,type,knife,1,92
objects,type,knife block,1,92
objects,type,large rectangular window,1,92
objects,type,lettuce,1,92
objects,type,lettuce head,1,92
objects,type,lower cabinetry,1,92
objects,type,metal container,1,92
objects,type,metal spatula,1,92
objects,type,microwave,2,92
objects,type,microwave or compact oven,1,92
objects,type,mixing bowl,3,92
objects,type,mug,1,92
objects,type,multi pane window,1,92
objects,type,open shelving,1,92
objects,type,oven,1,92
objects,type,oven door,1,92
objects,type,pantry cabinet,1,92
objects,type,pendant hood,1,92
objects,type,pitcher,1,92
objects,type,plant,4,92
objects,type,plate or bowl,1,92
objects,type,plates,1,92
objects,type,plates glassware,1,92
objects,type,portable burner,1,92
objects,type,potted herb,3,92
objects,type,potted plant,1,92
objects,type,raw fillet fish,1,92
objects,type,saucer,1,92
objects,type,shelf,3,92
objects,type,shelf contents,1,92
objects,type,shelf dishware,1,92
objects,type,shelf jars,1,92
objects,type,shoe,1,92
objects,type,single tomato,1,92
objects,type,sink,3,92
objects,type,small black metal frying pan,1,92
objects,type,small black plate or bowl,1,92
objects,type,small container,1,92
objects,type,small round metal pan,1,92
objects,type,small stainless knife,1,92
objects,type,stack ceramic plates,2,92
objects,type,stacked plates,1,92
objects,type,stainless pot,1,92
objects,type,stainless steel mixing bowl,1,92
objects,type,stainless steel rail with hanging utensils,1,92
objects,type,stainless steel sink with chrome faucet,1,92
objects,type,storage bottles,1,92
objects,type,stovetop flame,1,92
objects,type,tabletop,1,92
objects,type,three legged wood stool,1,92
objects,type,tomatoes,5,92
objects,type,under cabinet,1,92
objects,type,upper cabinet singular,1,92
objects,type,upper cabinets,2,92
objects,type,utensil,4,92
objects,type,utensil rail,1,92
objects,type,vegetables,1,92
objects,type,white framed window,1,92
objects,type,whole egg,1,92
objects,type,window,9,92
objects,type,wooden cutting board,7,92
objects,type,wooden shelf containers,1,92
objects,type,wooden utensil holder,5,92
people,activities,cooking,4,7
people,activities,holding mixing bowl,2,7
people,activities,holding spatula,3,7
people,activities,manipulating plants,1,7
people,activities,preparing food,2,7
people,activities,scrubbing,1,7
people,activities,stirring,2,7
people,age_range,young adult,19,1
people,clothing_color,black,25,7
people,clothing_color,blue,6,7
people,clothing_color,gray,9,7
people,clothing_color,lightyellow,1,7
people,clothing_color,pink,2,7
people,clothing_color,red,2,7
people,clothing_color,white,9,7
people,eyewear_present,no,19,1
people,hair_color,black,1,3
people,hair_color,brown,6,3
people,hair_color,darkblue,1,3
people,facial_hair_present,no,13,2
people,facial_hair_present,yes,7,2
people,facial_hair_style,full beard,2,8
people,facial_hair_style,full trimmed beard,1,8
people,facial_hair_style,long,1,8
people,facial_hair_style,short beard,1,8
people,facial_hair_style,short full beard,1,8
people,facial_hair_style,short stubble,1,8
people,facial_hair_style,stubble,1,8
people,facial_hair_style,thick,1,8
people,gender_presentation,female,4,2
people,gender_presentation,male,16,2
people,hair_color,black,1,3
people,hair_color,brown,19,3
people,hair_present,yes,20,1
people,hair_style,long,3,4
people,hair_style,ponytail,4,4
people,hair_style,short,15,4
people,hair_style,wavy,1,4
people,head_covering_type,black,1,1
people,head_covering_present,no,19,1
people,pose,standing,1,2
people,pose,leaning,3,2
people,pose,leaning,2,2
people,pose,leaning,4,2
people,pose,leaning,1,2
people,pose,standing,1,2
people,pose,standing,1,2
people,pose,standing,1,2
people,pose,standing,2,2
people,pose,standing,4,2
people,pose,standing,1,2
people,pose,standing,10,2
people,pose,standing,2,2
people,pose,standing,2,2
people,pose,standing,9,2
people,skin_tone,light,5,2
people,skin_tone,medium,14,2
