cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,6,3
scene_appearance,aesthetic_qualities,dreamy,4,3
scene_appearance,aesthetic_qualities,realistic,6,3
scene_appearance,color_temperature,warm,9,1
scene_appearance,dominant_colors,brown,14,5
scene_appearance,dominant_colors,medium blue,3,5
scene_appearance,dominant_colors,mediumblue,3,5
scene_appearance,dominant_colors,orange red,1,5
scene_appearance,dominant_colors,orangered,1,5
scene_appearance,mood,calm,9,2
scene_appearance,mood,joyful,3,2
camera,depth_of_field,moderate,2,2
camera,depth_of_field,shallow,18,2
camera,framing,headshot,2,3
camera,framing,medium,18,3
camera,framing,wide,2,3
camera,perspective,eye level,6,1
objects,type,accessory e g watch,1,14
objects,type,bench,3,14
objects,type,bowl,3,14
objects,type,container,3,14
objects,type,cooking pan,1,14
objects,type,cooking pot lid,1,14
objects,type,display bowl,1,14
objects,type,lamppost park lamp,1,14
objects,type,picnic table,2,14
objects,type,sign post,1,14
objects,type,table,5,14
objects,type,umbrella patio umbrella,2,14
objects,type,utensil,25,14
objects,type,vegetation plants produce,19,14
people,age_range,middle aged,5,2
people,age_range,young adult,5,2
people,clothing_color,black,10,2
people,clothing_color,white,17,2
people,clothing_garment,apron,8,12
people,clothing_garment,backpack,2,12
people,clothing_garment,chef coat,2,12
people,clothing_garment,chef jacket,16,12
people,clothing_garment,hat,2,12
people,clothing_garment,neckerchief,4,12
people,clothing_garment,pants,2,12
people,clothing_garment,shirt,2,12
people,clothing_garment,shoes,2,12
people,clothing_garment,trousers,2,12
people,clothing_garment,undershirt,2,12
people,clothing_garment,wristwatch,3,12
people,eyewear_present,no,10,1
people,hair_color,black,8,5
people,hair_color,brown,8,5
people,hair_color,dark blue,2,5
people,hair_color,darkblue,2,5
people,hair_color,gray,2,5
people,facial_hair_present,yes,10,1
people,facial_hair_style,beard,3,6
people,facial_hair_style,goatee,1,6
people,facial_hair_style,mustache,5,6
people,facial_hair_style,short trimmed beard,1,6
people,facial_hair_style,stubble,1,6
people,facial_hair_style,trimmed beard,4,6
people,gaze_direction,down,4,2
people,gaze_direction,up,1,2
people,gender_presentation,male,10,1
people,hair_color,black,10,5
people,hair_color,brown,12,5
people,hair_present,yes,11,1
people,hair_style,short,11,1
people,head_covering_type,black,1,4
people,head_covering_type,white,7,4
people,head_covering_present,no,2,2
people,head_covering_present,yes,8,2
people,head_covering_type,chef hat,7,4
people,head_covering_type,skullcap,1,4
people,pose,standing,1,3
people,pose,standing,1,3
people,pose,standing,1,3
people,pose,leaning,2,3
people,pose,standing,1,3
people,pose,leaning,2,3
people,pose,standing,4,3
people,pose,seated,2,3
people,pose,leaning,1,3
people,pose,leaning,1,3
people,pose,leaning,1,3
people,pose,standing,6,3
people,pose,standing,1,3
people,pose,standing,1,3
people,skin_tone,light,5,2
people,skin_tone,medium,5,2
