cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,6,3
scene_appearance,aesthetic_qualities,dreamy,8,3
scene_appearance,aesthetic_qualities,realistic,8,3
scene_appearance,color_temperature,warm,18,1
scene_appearance,dominant_colors,black,1,7
scene_appearance,dominant_colors,brown,19,7
scene_appearance,dominant_colors,medium blue,1,7
scene_appearance,dominant_colors,medium violet red,2,7
scene_appearance,dominant_colors,mediumvioletred,4,7
scene_appearance,dominant_colors,orange red,2,7
scene_appearance,dominant_colors,purple,2,7
scene_appearance,mood,calm,17,2
scene_appearance,mood,joyful,8,2
camera,depth_of_field,deep,6,3
camera,depth_of_field,moderate,5,3
camera,depth_of_field,shallow,18,3
camera,framing,close up,1,5
camera,framing,establishing,2,5
camera,framing,full body,17,5
camera,framing,medium,12,5
camera,framing,wide,4,5
camera,perspective,eye level,16,2
camera,perspective,low angle,1,2
objects,type,bag,1,17
objects,type,bench,7,17
objects,type,cleaning cart,1,17
objects,type,cleaning tool mop handles etc,5,17
objects,type,container,1,17
objects,type,fence,2,17
objects,type,lamp,1,17
objects,type,lamp post,4,17
objects,type,lamppost,2,17
objects,type,mop head,1,17
objects,type,plant,9,17
objects,type,plant container,1,17
objects,type,planting,2,17
objects,type,railing,1,17
objects,type,tree,8,17
objects,type,tree canopy,2,17
objects,type,umbrella,1,17
people,activities,holding cleaning cart,1,7
people,activities,holding bag,1,7
people,activities,inspecting soil,1,7
people,activities,jogging,1,7
people,activities,mopping,2,7
people,activities,running,9,7
people,activities,running toward camera,1,7
people,pose,standing,1,2
people,pose,standing,1,2
people,pose,leaning,1,2
people,pose,standing,1,2
people,pose,leaning,1,2
people,pose,standing,1,2
people,pose,standing,1,2
people,pose,leaning,9,2
people,pose,standing,1,2
people,pose,standing,6,2
people,pose,standing,1,2
people,pose,standing,4,2
people,pose,standing,6,2
people,age_range,middle aged,4,3
people,age_range,older adult,1,3
people,age_range,young adult,15,3
people,clothing_color,black,15,8
people,clothing_color,blue,14,8
people,clothing_color,brown,7,8
people,clothing_color,gray,10,8
people,clothing_color,green,1,8
people,clothing_color,pink,2,8
people,clothing_color,tan,3,8
people,clothing_color,white,30,8
people,clothing_garment,apron,14,17
people,clothing_garment,athletic pants,1,17
people,clothing_garment,blouse,3,17
people,clothing_garment,dress,4,17
people,clothing_garment,full length apron,1,17
people,clothing_garment,gloves,1,17
people,clothing_garment,nurse dress,1,17
people,clothing_garment,polo dress,1,17
people,clothing_garment,running shoes,2,17
people,clothing_garment,shirt,13,17
people,clothing_garment,shoes,11,17
people,clothing_garment,shorts,2,17
people,clothing_garment,skirt,2,17
people,clothing_garment,sneakers,2,17
people,clothing_garment,socks,2,17
people,clothing_garment,top,1,17
people,clothing_garment,work gloves,1,17
people,eyewear_present,no,21,1
people,facial_hair_present,no,21,1
people,gaze_direction,down,7,4
people,gaze_direction,left,1,4
people,gaze_direction,right,3,4
people,gaze_direction,up,1,4
people,gender_presentation,female,20,2
people,gender_presentation,male,1,2
people,hair_color,black,6,4
people,hair_color,brown,27,4
people,hair_color,gray,1,4
people,hair_color,pink,2,4
people,hair_present,yes,21,1
people,hair_style,bun,6,7
people,hair_style,long,13,7
people,hair_style,ponytail,17,7
people,hair_style,shorts,3,7
people,hair_style,straight,4,7
people,hair_style,updo,5,7
people,hair_style,wavy,6,7
people,head_covering_type,white,4,4
people,head_covering_present,no,17,2
people,head_covering_present,yes,4,2
people,head_covering_type,cap,2,4
people,head_covering_type,nurse cap,1,4
people,head_covering_type,nursing cap,1,4
people,pose,standing,1,2
people,pose,leaning,1,2
people,pose,standing,1,2
people,pose,standing,2,2
people,pose,leaning,1,2
people,pose,leaning,5,2
people,pose,standing,1,2
people,pose,standing,6,2
people,skin_tone,light,5,2
people,skin_tone,medium,16,2
