cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,dominant_colors,black,4,3
scene_appearance,dominant_colors,brown,24,3
scene_appearance,dominant_colors,mediumblue,2,3
scene_appearance,aesthetic_qualities,cinematic,13,4
scene_appearance,aesthetic_qualities,dreamy,3,4
scene_appearance,aesthetic_qualities,minimal,2,4
scene_appearance,aesthetic_qualities,realistic,17,4
scene_appearance,color_temperature,cool,14,3
scene_appearance,color_temperature,neutral,5,3
scene_appearance,color_temperature,warm,2,3
scene_appearance,mood,calm,20,2
scene_appearance,mood,joyful,2,2
scene_appearance,mood,calm,10,2
scene_appearance,mood,joyful,2,2
camera,depth_of_field,moderate,8,2
camera,depth_of_field,shallow,32,2
camera,framing,close up,2,6
camera,framing,establishing,2,6
camera,framing,full body,4,6
camera,framing,headshot,2,6
camera,framing,medium,30,6
camera,framing,wide,10,6
camera,perspective,eye level,30,1
objects,type,acoustic guitar,8,14
objects,type,bag,1,14
objects,type,basket,1,14
objects,type,citrus fruits,2,14
objects,type,container,1,14
objects,type,guitar stand,2,14
objects,type,guitar strap,2,14
objects,type,produce bag,2,14
objects,type,saxophone,2,14
objects,type,shelf display,4,14
objects,type,shelf edge,1,14
objects,type,shopping cart,13,14
objects,type,sign,1,14
objects,type,stool,2,14
people,activities,appears singing producing music,1,7
people,activities,resting,1,7
people,activities,holding bag,1,7
people,activities,holding double bass,1,7
people,activities,holding guitar,6,7
people,activities,holding mop,1,7
people,activities,holding guitar,1,7
people,activities,stirring,4,7
people,age_range,middle aged,1,2
people,age_range,young adult,18,2
people,clothing_color,black,9,8
people,clothing_color,blue,6,8
people,clothing_color,brown,4,8
people,clothing_color,gray,2,8
people,clothing_color,green,2,8
people,clothing_color,pink,1,8
people,clothing_color,tan,1,8
people,clothing_color,white,3,8
people,clothing_garment,backpack,1,11
people,clothing_garment,denim jacket,2,11
people,clothing_garment,guitar strap,3,11
people,clothing_garment,hat,1,11
people,clothing_garment,jacket,4,11
people,clothing_garment,jeans,5,11
people,clothing_garment,pants,1,11
people,clothing_garment,shirt,10,11
people,clothing_garment,shoes,3,11
people,clothing_garment,trousers,2,11
people,clothing_garment,zip front vest,1,11
people,eyewear_present,no,18,2
people,eyewear_present,yes,1,2
people,eyewear_type,prescription glasses,1,1
people,hair_color,black,1,6
people,hair_color,brown,17,6
people,hair_color,dark blue,3,6
people,hair_color,darkblue,4,6
people,hair_color,darkblue recorded token,4,6
people,hair_color,maroon,1,6
people,facial_hair_present,yes,20,1
people,facial_hair_style,beard,2,12
people,facial_hair_style,close trimmed beard,1,12
people,facial_hair_style,full beard,5,12
people,facial_hair_style,long,1,12
people,facial_hair_style,neatly trimmed,1,12
people,facial_hair_style,short ambiguous token,2,12
people,facial_hair_style,short beard,2,12
people,facial_hair_style,short stubble,1,12
people,facial_hair_style,short trimmed beard,2,12
people,facial_hair_style,short well trimmed,1,12
people,facial_hair_style,stubble,2,12
people,facial_hair_style,trimmed stubble,1,12
people,gaze_direction,down,4,3
people,gaze_direction,left,1,3
people,gaze_direction,to right,2,3
people,gender_presentation,male,20,1
people,hair_color,black,6,6
people,hair_color,brown,23,6
people,hair_color,maroon,1,6
people,hair_present,yes,20,1
people,hair_style,curly,10,4
people,hair_style,long,2,4
people,hair_style,short,9,4
people,hair_style,wavy,5,4
people,head_covering_type,tan,1,4
people,head_covering_present,no,18,2
people,head_covering_present,yes,2,2
people,head_covering_type,fedora,1,4
people,head_covering_type,felt hat,1,4
people,head_covering_type,wide brimmed hat,1,4
people,pose,laying,1,4
people,pose,standing,5,4
people,pose,seated,2,4
people,pose,leaning,3,4
people,pose,leaning,2,4
people,pose,standing,2,4
people,pose,standing,5,4
people,skin_tone,light,12,2
people,skin_tone,medium,16,2
