cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,1,2
scene_appearance,aesthetic_qualities,realistic,6,2
scene_appearance,color_temperature,cool,2,3
scene_appearance,color_temperature,neutral,3,3
scene_appearance,color_temperature,warm,1,3
scene_appearance,dominant_colors,black,4,3
scene_appearance,dominant_colors,brown,5,3
scene_appearance,dominant_colors,cyan,1,3
scene_appearance,mood,calm,10,1
camera,depth_of_field,deep,1,3
camera,depth_of_field,moderate,3,3
camera,depth_of_field,shallow,4,3
camera,framing,close up,1,4
camera,framing,headshot,1,4
camera,framing,medium,5,4
camera,framing,wide,2,4
camera,perspective,eye level,8,1
objects,type,bench upholstery,1,14
objects,type,cloth or glove,1,14
objects,type,container,1,14
objects,type,handrail,2,14
objects,type,mirror,1,14
objects,type,passenger door,1,14
objects,type,placards,1,14
objects,type,plant,1,14
objects,type,roof sign,1,14
objects,type,safety box,1,14
objects,type,support pole,1,14
objects,type,watch,1,14
objects,type,window trim,1,14
objects,type,wristwatch,1,14
people,activities,driving operating controls,3,4
people,activities,looking toward camera,3,4
people,activities,attending vehicle,2,4
people,activities,standing,3,4
people,age_range,middle aged,5,2
people,age_range,older adult,5,2
people,clothing_color,black,9,9
people,clothing_color,blue,4,9
people,clothing_color,brown,1,9
people,clothing_color,darkblue,1,9
people,clothing_color,gray,2,9
people,clothing_color,orange,1,9
people,clothing_color,tan,2,9
people,clothing_color,white,4,9
people,clothing_color,yellow,4,9
people,clothing_garment,cap,1,11
people,clothing_garment,long sleeved jacket,1,11
people,clothing_garment,neck tie,1,11
people,clothing_garment,safety vest,1,11
people,clothing_garment,shirt,8,11
people,clothing_garment,shirt collar,2,11
people,clothing_garment,shoulder bag,1,11
people,clothing_garment,trousers,4,11
people,clothing_garment,uniform jacket,1,11
people,clothing_garment,work jacket,1,11
people,clothing_garment,wristwatch,2,11
people,eyewear_present,no,4,2
people,eyewear_present,yes,5,2
people,eyewear_type,eyeglasses generic,1,3
people,eyewear_type,rectangular frame,4,3
people,eyewear_type,thin framed,1,3
people,hair_color,black,4,2
people,hair_color,gray,1,2
people,facial_hair_present,no,4,2
people,facial_hair_present,yes,3,2
people,facial_hair_style,mustache,2,2
people,facial_hair_style,stubble,2,2
people,gaze_direction,up,5,1
people,gender_presentation,male,10,1
people,hair_color,black,4,2
people,hair_color,gray,6,2
people,hair_present,yes,10,1
people,hair_style,short,7,2
people,hair_style,straight,1,2
people,head_covering_type,black,2,6
people,head_covering_type,blue,1,6
people,head_covering_type,dark blue,1,6
people,head_covering_present,no,6,2
people,head_covering_present,yes,3,2
people,head_covering_type,baseball cap,1,6
people,head_covering_type,cap generic,1,6
people,head_covering_type,peaked cap,1,6
people,pose,standing,1,2
people,pose,standing,1,2
people,pose,standing,1,2
people,pose,standing,2,2
people,pose,standing,1,2
people,pose,seated,5,2
people,pose,standing,2,2
people,pose,standing,8,2
people,pose,seated,1,2
people,skin_tone,lights,8,2
people,skin_tone,medium,2,2
