cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,17,6
scene_appearance,aesthetic_qualities,dreamy,2,6
scene_appearance,aesthetic_qualities,quality cinematic,4,6
scene_appearance,aesthetic_qualities,quality dreamy,1,6
scene_appearance,aesthetic_qualities,quality realistic,6,6
scene_appearance,aesthetic_qualities,realistic,23,6
scene_appearance,color_temperature,cool,11,3
scene_appearance,color_temperature,neutral,6,3
scene_appearance,color_temperature,warm,13,3
scene_appearance,dominant_colors,black,17,6
scene_appearance,dominant_colors,blue,1,6
scene_appearance,dominant_colors,brown,32,6
scene_appearance,dominant_colors,cyan,1,6
scene_appearance,dominant_colors,mediumblue,7,6
scene_appearance,dominant_colors,mediumvioletred,2,6
scene_appearance,color_temperature,cool,7,3
scene_appearance,color_temperature,neutral,1,3
scene_appearance,mood,calm,41,3
scene_appearance,mood,dramatic,1,3
scene_appearance,mood,melancholic,1,3
camera,depth_of_field,deep,20,3
camera,depth_of_field,moderate,11,3
camera,depth_of_field,shallow,34,3
camera,framing,close up,3,7
camera,framing,establishing,12,7
camera,framing,full body,5,7
camera,framing,headshot,4,7
camera,framing,medium,36,7
camera,framing,others,0,7
camera,framing,wide,28,7
camera,perspective,eye level,50,2
camera,perspective,low angle,4,2
objects,type,bag,1,30
objects,type,bench upholstery,1,30
objects,type,bus,28,30
objects,type,cart single,1,30
objects,type,clock,1,30
objects,type,clock tower,1,30
objects,type,cloth or glove,1,30
objects,type,container,1,30
objects,type,distant shopping carts or baskets,1,30
objects,type,fruit single,1,30
objects,type,glass tower,1,30
objects,type,handrail,2,30
objects,type,mirror,3,30
objects,type,passenger door,1,30
objects,type,peaked cap,1,30
objects,type,placards,1,30
objects,type,plant,2,30
objects,type,produce basket,2,30
objects,type,produce basket wire cart variant,2,30
objects,type,refrigerated glass door,1,30
objects,type,roof sign,1,30
objects,type,safety box,1,30
objects,type,shopping basket,1,30
objects,type,shopping cart,10,30
objects,type,sidewalk cafe umbrella,1,30
objects,type,street furniture,4,30
objects,type,support pole,1,30
objects,type,watch,1,30
objects,type,window trim,1,30
objects,type,wristwatch,1,30
people,activities,driving,2,32
people,activities,driving operating controls,3,32
people,activities,examining item,2,32
people,activities,facing camera,1,32
people,activities,holding bag,1,32
people,activities,holding tool,1,32
people,activities,holding handheld produce basket,1,32
people,activities,holding bag,1,32
people,activities,holding orange fruit in right hand,1,32
people,activities,holding bag,1,32
people,activities,handling produce,4,32
people,activities,inspecting packaged produce,1,32
people,activities,inspecting soil,2,32
people,activities,looking toward camera,3,32
people,activities,looking toward dashboard,1,32
people,activities,near crosswalk,1,32
people,activities,attending vehicle,5,32
people,activities,preparing food,1,32
people,activities,pushing shopping cart,3,32
people,activities,reaching left hand toward left shelf,1,32
people,activities,reaching right hand,1,32
people,activities,reading or examining papers,1,32
people,activities,resting right hand handbrake or lever,1,32
people,activities,seated,1,32
people,activities,seated driving position,1,32
people,activities,mopping,2,32
people,activities,standing,8,32
people,activities,standing or paused,1,32
people,activities,handling soil,1,32
people,activities,viewing shelves,1,32
people,activities,wiping,1,32
people,activities,walking,2,32
people,activities,walking across pedestrian crossing,1,32
people,activities,walking or standing,4,32
people,age_range,middle aged,24,3
people,age_range,older adult,14,3
people,age_range,young adult,4,3
people,clothing_color,black,34,12
people,clothing_color,blue,31,12
