cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,16,4
scene_appearance,aesthetic_qualities,dreamy,1,4
scene_appearance,aesthetic_qualities,minimal,4,4
scene_appearance,aesthetic_qualities,realistic,43,4
scene_appearance,color_temperature,cool,33,3
scene_appearance,color_temperature,neutral,13,3
scene_appearance,color_temperature,warm,3,3
scene_appearance,dominant_colors,black,24,8
scene_appearance,dominant_colors,blue,4,8
scene_appearance,dominant_colors,brown,7,8
scene_appearance,dominant_colors,cyan,2,8
scene_appearance,dominant_colors,gray,1,8
scene_appearance,dominant_colors,mediumblue,9,8
scene_appearance,dominant_colors,orangered,1,8
scene_appearance,dominant_colors,red,2,8
scene_appearance,mood,calm,45,2
scene_appearance,mood,minimalistic,6,2
camera,depth_of_field,deep,24,5
camera,depth_of_field,moderate,5,5
camera,depth_of_field,moderate dof,2,5
camera,depth_of_field,shallow,26,5
camera,depth_of_field,shallow dof,8,5
camera,framing,establishing,12,4
camera,framing,full body,29,4
camera,framing,medium,21,4
camera,framing,wide,24,4
camera,perspective,eye level,52,3
camera,perspective,low angle,4,3
camera,perspective,third person,2,3
objects,type,arched windows series,1,50
objects,type,bag,2,50
objects,type,bagged produce,1,50
objects,type,basket,1,50
objects,type,box,1,50
objects,type,broom,2,50
objects,type,broom head,1,50
objects,type,cabinet,8,50
objects,type,caution sign,1,50
objects,type,chair,1,50
objects,type,cleaning cart,1,50
objects,type,clear plastic containers,1,50
objects,type,clock,1,50
objects,type,container,11,50
objects,type,dispenser,1,50
objects,type,door,4,50
objects,type,door frames,8,50
objects,type,electrical plate,1,50
objects,type,emergency sign,1,50
objects,type,extractor hood,1,50
objects,type,folded towel or cloth,1,50
objects,type,folded white textiles or paper goods,1,50
objects,type,hand basket,1,50
objects,type,handrail,3,50
objects,type,long handle metal pole,1,50
objects,type,mop,22,50
objects,type,mop bucket,31,50
objects,type,multi pane windows,11,50
objects,type,outlet or control plate,1,50
objects,type,plant,1,50
objects,type,produce bags,1,50
objects,type,produce containers,1,50
objects,type,push brooming,3,50
objects,type,safety sign,7,50
objects,type,shelf,2,50
objects,type,shoes,4,50
objects,type,shopping basket,5,50
objects,type,shopping basket cart configuration,1,50
objects,type,shopping cart,8,50
objects,type,sign,2,50
objects,type,sink counter,1,50
objects,type,small medium bottles canisters shelving,1,50
objects,type,small potted plant,1,50
objects,type,stackable plastic chair,1,50
objects,type,stainless tubular handrail,2,50
objects,type,storage bag,1,50
objects,type,tall open metal storage shelving,1,50
objects,type,warning sign,1,50
objects,type,wheeled container,1,50
objects,type,window,3,50
people,activities,carrying basket,1,15
people,activities,gripping shopping cart,1,15
people,activities,gripping shopping cart duplicate token preserved as single group,1,15
people,activities,holding mop,1,15
people,activities,holding bag,1,15
people,activities,holding bag,3,15
people,activities,holding tool,1,15
