context_type,context_type_encoded,role,cohort,standardized_dimension,standardized_label,count,bins,filename
Original,0,farmer,atmosphere,aesthetic_qualities,cinematic,38,6,farmer
Original,0,farmer,atmosphere,aesthetic_qualities,dreamy,3,6,farmer
Original,0,farmer,atmosphere,aesthetic_qualities,quality cinematic,6,6,farmer
Original,0,farmer,atmosphere,aesthetic_qualities,quality dreamy,3,6,farmer
Original,0,farmer,atmosphere,aesthetic_qualities,quality realistic,8,6,farmer
Original,0,farmer,atmosphere,aesthetic_qualities,realistic,36,6,farmer
Original,0,farmer,atmosphere,color_temperature,cool,5,3,farmer
Original,0,farmer,atmosphere,color_temperature,warm,39,3,farmer
Original,0,farmer,atmosphere,contrast_level,high,5,2,farmer
Original,0,farmer,atmosphere,contrast_level,medium,37,2,farmer
Original,0,farmer,atmosphere,dominant_palette,brown,30,1,farmer
Original,0,farmer,atmosphere,mood,calm,60,2,farmer
Original,0,farmer,atmosphere,mood,joyful,1,2,farmer
Original,0,farmer,atmosphere,palette,brown,10,1,farmer
Original,0,farmer,atmosphere,palette_color,brown,10,1,farmer
Original,0,farmer,atmosphere,profile_contrast_level,medium,10,1,farmer
Original,0,farmer,atmosphere,profile_saturation_level,neutral,3,2,farmer
Original,0,farmer,atmosphere,profile_saturation_level,vivid,6,2,farmer
Original,0,farmer,atmosphere,saturation_level,neutral,26,2,farmer
Original,0,farmer,atmosphere,saturation_level,vivid,13,2,farmer
Original,0,farmer,atmosphere,temperature,neutral,1,2,farmer
Original,0,farmer,atmosphere,temperature,warm,8,2,farmer
Original,0,farmer,background,object_counts_by_position,background center,58,9,farmer
Original,0,farmer,background,object_counts_by_position,background left,22,9,farmer
Original,0,farmer,background,object_counts_by_position,background right,26,9,farmer
Original,0,farmer,background,object_counts_by_position,foreground center,39,9,farmer
Original,0,farmer,background,object_counts_by_position,foreground left,27,9,farmer
Original,0,farmer,background,object_counts_by_position,foreground right,12,9,farmer
Original,0,farmer,background,object_counts_by_position,midground center,35,9,farmer
Original,0,farmer,background,object_counts_by_position,midground left,13,9,farmer
Original,0,farmer,background,object_counts_by_position,midground right,19,9,farmer
Original,0,farmer,background,position,background center,12,9,farmer
Original,0,farmer,background,position,background left,9,9,farmer
Original,0,farmer,background,position,background right,19,9,farmer
Original,0,farmer,background,position,foreground center,23,9,farmer
Original,0,farmer,background,position,foreground left,19,9,farmer
Original,0,farmer,background,position,foreground right,14,9,farmer
Original,0,farmer,background,position,midground center,24,9,farmer
Original,0,farmer,background,position,midground left,16,9,farmer
Original,0,farmer,background,position,midground right,20,9,farmer
Original,0,farmer,camera,crop,book,1,21,farmer
