context_type,role,cohort,standardized_dimension,standardized_label,count,bins,filename
Original,farmer,scene_appearance,aesthetic_qualities,cinematic,38,6,farmer
Original,farmer,scene_appearance,aesthetic_qualities,dreamy,3,6,farmer
Original,farmer,scene_appearance,aesthetic_qualities,quality cinematic,6,6,farmer
Original,farmer,scene_appearance,aesthetic_qualities,quality dreamy,3,6,farmer
Original,farmer,scene_appearance,aesthetic_qualities,quality realistic,8,6,farmer
Original,farmer,scene_appearance,aesthetic_qualities,realistic,36,6,farmer
Original,farmer,scene_appearance,color_temperature,cool,5,3,farmer
Original,farmer,scene_appearance,color_temperature,warm,39,3,farmer
Original,farmer,scene_appearance,dominant_colors,brown,30,1,farmer
Original,farmer,scene_appearance,mood,calm,60,2,farmer
Original,farmer,scene_appearance,mood,joyful,1,2,farmer
Original,farmer,scene_appearance,wall_color,brown,10,1,farmer
Original,farmer,scene_appearance,color_temperature,neutral,1,3,farmer
Original,farmer,scene_appearance,color_temperature,warm,8,3,farmer
Original,farmer,camera,depth_of_field,deep,4,3,farmer
Original,farmer,camera,depth_of_field,moderate,2,3,farmer
Original,farmer,camera,depth_of_field,shallow,51,3,farmer
Original,farmer,camera,framing,close up,7,6,farmer
Original,farmer,camera,framing,establishing,8,6,farmer
Original,farmer,camera,framing,full body,3,6,farmer
Original,farmer,camera,framing,headshot,4,6,farmer
Original,farmer,camera,framing,medium,51,6,farmer
Original,farmer,camera,framing,wide,6,6,farmer
Original,farmer,camera,perspective,eye level,43,2,farmer
Original,farmer,camera,perspective,low angle,5,2,farmer
Original,farmer,objects,type,distant trees roofs,1,44,farmer
Original,farmer,objects,type,long handled shovel,1,44,farmer
Original,farmer,objects,type,planted rows,38,44,farmer
Original,farmer,objects,type,straw hat,5,44,farmer
Original,farmer,objects,type,work boots,1,44,farmer
Original,farmer,objects,type,work gloves,4,44,farmer
Original,farmer,objects,type,work pants,1,44,farmer
Original,farmer,objects,type,armchair,1,44,farmer
Original,farmer,objects,type,book,14,44,farmer
Original,farmer,objects,type,bookcase,47,44,farmer
Original,farmer,objects,type,bookshelf,3,44,farmer
