cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_quality,cinematic,9,4
atmosphere,aesthetic_quality,dreamy,1,4
atmosphere,aesthetic_quality,gritty,1,4
atmosphere,aesthetic_quality,realistic,7,4
atmosphere,color_temperature,cool,2,3
atmosphere,color_temperature,neutral,3,3
atmosphere,color_temperature,warm,11,3
atmosphere,contrast_level,high,9,2
atmosphere,contrast_level,medium,7,2
atmosphere,dominant_palette,black,12,7
atmosphere,dominant_palette,blue,2,7
atmosphere,dominant_palette,brown,14,7
atmosphere,dominant_palette,cyan,4,7
atmosphere,dominant_palette,medium blue,5,7
atmosphere,dominant_palette,mediumblue,3,7
atmosphere,dominant_palette,red,2,7
atmosphere,mood,dramatic,10,2
atmosphere,mood,tense,9,2
atmosphere,saturation_level,neutral,13,2
atmosphere,saturation_level,vivid,3,2
background,object_counts_by_position_total,background center,20,9
background,object_counts_by_position_total,background left,13,9
background,object_counts_by_position_total,background right,12,9
background,object_counts_by_position_total,foreground center,28,9
background,object_counts_by_position_total,foreground left,8,9
background,object_counts_by_position_total,foreground right,3,9
background,object_counts_by_position_total,midground center,8,9
background,object_counts_by_position_total,midground left,5,9
background,object_counts_by_position_total,midground right,2,9
background,position,background center,9,9
background,position,background left,4,9
background,position,background right,5,9
background,position,foreground center,14,9
background,position,foreground left,4,9
background,position,foreground right,2,9
background,position,midground center,6,9
background,position,midground left,3,9
background,position,midground right,1,9
camera,angle,eye level,2,1
camera,crop,foot head margin,1,10
camera,crop,full body equal,1,10
camera,crop,lower legs cropped,1,10
camera,crop,lower legs partially cropped,1,10
camera,crop,lower right leg cropped by edge,1,10
camera,crop,lower shins cropped,1,10
camera,crop,minimal lower edge shoe,1,10
camera,crop,primary runner occupies midground right third,1,10
camera,crop,right side cropped,1,10
camera,crop,upper head cropped,1,10
camera,depth_of_field,deep,1,3
camera,depth_of_field,moderate,1,3
camera,depth_of_field,shallow,16,3
camera,focal_length,normal,1,3
camera,focal_length,telephoto,4,3
camera,focal_length,wide,1,3
camera,framing,full body,8,2
camera,framing,medium,8,2
camera,perspective,eye level,7,2
camera,perspective,low angle,7,2
environment,location_type,athletic facility,3,12
environment,location_type,athletics stadium,3,12
environment,location_type,athletics track,4,12
environment,location_type,indoor stadium,1,12
environment,location_type,outdoor athletic facility,1,12
environment,location_type,outdoor athletic facility merged variants,2,12
environment,location_type,outdoor sports facility,1,12
environment,location_type,running track,1,12
environment,location_type,sports stadium,1,12
environment,location_type,sports venue,1,12
environment,location_type,stadium,1,12
environment,location_type,track stadium,1,12
environment,openness,moderate,1,2
environment,openness,open,6,2
environment,spatial_layout_depth,deep,4,3
environment,spatial_layout_depth,moderate,2,3
environment,spatial_layout_depth,shallow,3,3
environment,surfaces_floor_color,brown,4,7
environment,surfaces_floor_color,crimson,1,7
environment,surfaces_floor_color,deeppink,1,7
environment,surfaces_floor_color,green,2,7
environment,surfaces_floor_color,red,5,7
environment,surfaces_floor_color,tomato,1,7
environment,surfaces_floor_color,white,1,7
environment,surfaces_floor_material,rubber,3,6
environment,surfaces_floor_material,rubberized,1,6
environment,surfaces_floor_material,rubberized track,1,6
environment,surfaces_floor_material,synthetic,2,6
environment,surfaces_floor_material,synthetic rubber,3,6
environment,surfaces_floor_material,turf,1,6
environment,time_of_day_hint,afternoon,1,2
environment,time_of_day_hint,evening,1,2
environment,walls_material,concrete,3,4
environment,walls_material,metal,3,4
environment,walls_material,painted wall,1,4
environment,walls_material,siding,1,4
environment,weather,clear,1,5
environment,weather,cloudy,4,5
environment,weather,overcast,2,5
environment,weather,storm,1,5
environment,weather,sunny,5,5
lighting,artifacts,background blur,1,17
lighting,artifacts,background bokeh blur,1,17
lighting,artifacts,bloom,3,17
lighting,artifacts,camera glare fence edges,1,17
lighting,artifacts,lens diffusion,1,17
lighting,artifacts,lens flare,1,17
lighting,artifacts,minor lens flare,1,17
lighting,artifacts,motion blur,2,17
lighting,artifacts,motion blur lower right foot,1,17
lighting,artifacts,motion blur moving subjects,1,17
lighting,artifacts,radial motion blur,1,17
lighting,artifacts,selective sharpness,1,17
lighting,artifacts,slight veiling around sun disk,1,17
lighting,artifacts,specular reflections metal rail,1,17
lighting,artifacts,subtle sheen skin clothing,1,17
lighting,artifacts,sun flare bloom,1,17
lighting,artifacts,sun starburst flare,1,17
lighting,color_temperature,cool,2,3
lighting,color_temperature,neutral,3,3
lighting,color_temperature,warm,11,3
lighting,contrast_level,high,9,2
lighting,contrast_level,medium,7,2
lighting,directionality,backlight,6,4
lighting,directionality,sidelight,2,4
lighting,directionality,top light,2,4
lighting,directionality,toplight,2,4
lighting,hardness,hard,2,5
lighting,hardness,hard light,2,5
lighting,hardness,medium,3,5
lighting,hardness,soft,7,5
lighting,hardness,soft light,4,5
lighting,saturation_level,neutral,13,2
lighting,saturation_level,vivid,3,2
lighting,shadows,casting,4,3
