cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,12,6
atmosphere,aesthetic_qualities,dreamy,2,6
atmosphere,aesthetic_qualities,quality cinematic,4,6
atmosphere,aesthetic_qualities,quality dreamy,1,6
atmosphere,aesthetic_qualities,quality realistic,6,6
atmosphere,aesthetic_qualities,realistic,10,6
atmosphere,color_temperature,cool,9,3
atmosphere,color_temperature,neutral,3,3
atmosphere,color_temperature,warm,12,3
atmosphere,contrast_level,high,9,2
atmosphere,contrast_level,medium,15,2
atmosphere,dominant_palette,black,7,5
atmosphere,dominant_palette,brown,18,5
atmosphere,dominant_palette,medium blue,1,5
atmosphere,dominant_palette,mediumblue,2,5
atmosphere,dominant_palette,mediumvioletred,2,5
atmosphere,mood,calm,11,3
atmosphere,mood,dramatic,1,3
atmosphere,mood,melancholic,1,3
atmosphere,saturation_level,neutral,9,2
atmosphere,saturation_level,vivid,15,2
background,object_counts_by_position,background center,28,9
background,object_counts_by_position,background left,26,9
background,object_counts_by_position,background right,28,9
background,object_counts_by_position,foreground center,20,9
background,object_counts_by_position,foreground left,11,9
background,object_counts_by_position,foreground right,10,9
background,object_counts_by_position,midground center,18,9
background,object_counts_by_position,midground left,13,9
background,object_counts_by_position,midground right,14,9
background,position,background center,2,9
background,position,background left,6,9
background,position,background right,7,9
background,position,foreground center,12,9
background,position,foreground left,5,9
background,position,foreground right,7,9
background,position,midground center,10,9
background,position,midground left,9,9
background,position,midground right,8,9
camera,crop,buildings cropped top sides,1,13
camera,crop,bus side sidewalk cropped,1,13
camera,crop,centered,1,13
camera,crop,cropped frame edges,1,13
camera,crop,left partial,1,13
camera,crop,lower body cropped,2,13
camera,crop,peripheral vehicles partially cropped,1,13
camera,crop,right extension,1,13
camera,crop,subject center left,1,13
camera,crop,subject center right,1,13
camera,crop,tight,1,13
camera,crop,tight vertical,1,13
camera,crop,torso head,1,13
camera,depth_of_field,deep,13,3
camera,depth_of_field,moderate,3,3
camera,depth_of_field,shallow,12,3
camera,focal_length,normal,5,3
camera,focal_length,telephoto,4,3
camera,focal_length,wide,4,3
camera,framing,establishing,11,5
camera,framing,full body,2,5
camera,framing,headshot,2,5
camera,framing,medium,13,5
camera,framing,wide,14,5
camera,perspective,eye level,26,2
camera,perspective,low angle,4,2
environment,ceiling_color,silver,1,2
environment,ceiling_color,white,1,2
environment,ceiling_condition,clean,1,3
environment,ceiling_condition,minor smudging,1,3
environment,ceiling_condition,well maintained,1,3
environment,ceiling_finish,glossy,1,3
environment,ceiling_finish,reflective,1,3
environment,ceiling_finish,slightly glossy,1,3
environment,ceiling_material,metal,2,1
environment,ceiling_texture,smooth,2,1
environment,floor_color,black,3,6
environment,floor_color,dark blue,2,6
environment,floor_color,darkblue,3,6
environment,floor_color,gray,41,6
environment,floor_color,mediumblue,1,6
environment,floor_color,white,5,6
environment,floor_condition,damp,1,27
environment,floor_condition,dirty,1,27
environment,floor_condition,dry,1,27
environment,floor_condition,faint tire scuffing,1,27
environment,floor_condition,faint wet sheen,1,27
environment,floor_condition,good,1,27
environment,floor_condition,intact,12,27
environment,floor_condition,light wet look places,1,27
environment,floor_condition,moderate,1,27
environment,floor_condition,moderate urban wear,1,27
environment,floor_condition,moderate wear,1,27
environment,floor_condition,partially eroded paint,1,27
environment,floor_condition,partially faded,1,27
environment,floor_condition,puddled,2,27
environment,floor_condition,reflective,1,27
environment,floor_condition,reflective sheen,1,27
environment,floor_condition,scuffed,1,27
environment,floor_condition,shadowed,1,27
environment,floor_condition,slight wear,24,27
environment,floor_condition,slightly faded paint,1,27
environment,floor_condition,slightly soiled,2,27
environment,floor_condition,slightly weathered,1,27
environment,floor_condition,slightly worn,2,27
environment,floor_condition,wet,4,27
environment,floor_condition,wet looking,1,27
environment,floor_condition,worn,3,27
environment,floor_condition,worn paint,1,27
environment,floor_finish,glossy,4,10
environment,floor_finish,glossy reflections,1,10
environment,floor_finish,glossy sheen,1,10
environment,floor_finish,matte,15,10
environment,floor_finish,reflective,3,10
environment,floor_finish,reflective sheen,1,10
environment,floor_finish,slightly glossy,1,10
environment,floor_finish,slightly reflective,3,10
environment,floor_finish,slightly weathered,1,10
environment,floor_finish,sunlit sheen,1,10
environment,floor_material,asphalt,28,7
environment,floor_material,concrete,18,7
