cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,5,3
atmosphere,aesthetic_qualities,minimal,3,3
atmosphere,aesthetic_qualities,realistic,12,3
atmosphere,color_temperature,cool,9,3
atmosphere,color_temperature,neutral,4,3
atmosphere,color_temperature,warm,1,3
atmosphere,contrast_level,medium,16,1
atmosphere,dominant_color,black,1,2
atmosphere,dominant_color,brown,9,2
atmosphere,dominant_palette,black,1,2
atmosphere,dominant_palette,brown,9,2
atmosphere,mood,calm,18,2
atmosphere,mood,minimalistic,1,2
atmosphere,saturation_level,neutral,3,2
atmosphere,saturation_level,vivid,13,2
background,object_counts_by_position,background center,25,9
background,object_counts_by_position,background left,5,9
background,object_counts_by_position,background right,10,9
background,object_counts_by_position,foreground center,44,9
background,object_counts_by_position,foreground left,15,9
background,object_counts_by_position,foreground right,13,9
background,object_counts_by_position,midground center,17,9
background,object_counts_by_position,midground left,16,9
background,object_counts_by_position,midground right,9,9
background,position,background center,14,9
background,position,background left,5,9
background,position,background right,7,9
background,position,foreground center,22,9
background,position,foreground left,6,9
background,position,foreground right,3,9
background,position,midground center,7,9
background,position,midground left,9,9
background,position,midground right,3,9
background,totals_by_position,background center,11,9
background,totals_by_position,background left,0,9
background,totals_by_position,background right,3,9
background,totals_by_position,foreground center,22,9
background,totals_by_position,foreground left,9,9
background,totals_by_position,foreground right,10,9
background,totals_by_position,midground center,10,9
background,totals_by_position,midground left,7,9
background,totals_by_position,midground right,6,9
camera,crop,annotations various tokens,10,8
camera,crop,bottom cropped,1,8
camera,crop,foreground table lower two thirds,1,8
camera,crop,mid torso,1,8
camera,crop,subject centered,2,8
camera,crop,table leading lines,1,8
camera,crop,upper thighs,1,8
camera,crop,upper torso,1,8
camera,depth_of_field,deep,13,3
camera,depth_of_field,moderate,5,3
camera,depth_of_field,shallow,11,3
camera,focal_length,normal,5,2
camera,focal_length,telephoto,3,2
camera,framing,establishing,5,3
camera,framing,medium,9,3
camera,framing,wide,11,3
camera,perspective,eye level,23,1
environment,ceiling_material,acoustic panel,3,8
environment,ceiling_material,glossy panel,1,8
environment,ceiling_material,metal fixtures,1,8
environment,ceiling_material,painted acoustic panel,1,8
environment,ceiling_material,painted panel,1,8
environment,ceiling_material,panel,1,8
environment,ceiling_material,plaster,1,8
environment,ceiling_material,veneered wood trim,1,8
environment,floor_material,carpet,1,3
environment,floor_material,concrete,1,3
environment,floor_material,hardwood,1,3
environment,location_type,boardroom,7,3
environment,location_type,conference room,6,3
environment,location_type,office,7,3
