cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,10,2
atmosphere,aesthetic_qualities,realistic,12,2
atmosphere,color_temperature,cool,2,2
atmosphere,color_temperature,warm,10,2
atmosphere,contrast_level,medium,12,1
atmosphere,mood,calm,3,2
atmosphere,mood,joyful,1,2
atmosphere,saturation_level,neutral,12,1
background,object_counts_by_position,background center,18,9
background,object_counts_by_position,background left,5,9
background,object_counts_by_position,background right,12,9
background,object_counts_by_position,foreground center,22,9
background,object_counts_by_position,foreground left,13,9
background,object_counts_by_position,foreground right,17,9
background,object_counts_by_position,midground center,17,9
background,object_counts_by_position,midground left,16,9
background,object_counts_by_position,midground right,13,9
camera,crop,lower body cropped,2,6
camera,crop,lower body cropped below waist,1,6
camera,crop,lower frame partially occluded,1,6
camera,crop,medium tight,1,6
camera,crop,partial lower body,1,6
camera,crop,upper ventilation hood partially cropped,1,6
camera,depth_of_field,moderate,1,2
camera,depth_of_field,shallow,8,2
camera,focal_length,normal,1,2
camera,focal_length,telephoto,3,2
camera,framing,headshot,3,2
camera,framing,medium,9,2
camera,perspective,eye level,6,1
environment,ceiling_material,metal,1,5
environment,ceiling_material,metal ductwork,1,5
environment,ceiling_material,plastic,1,5
environment,ceiling_material,stainless steel,2,5
environment,ceiling_material,wood,1,5
environment,ceiling_texture,brushed,2,5
environment,ceiling_texture,frosted,1,5
environment,ceiling_texture,matte,1,5
environment,ceiling_texture,smooth,2,5
environment,ceiling_texture,varnished,1,5
environment,floor_color,black,5,2
environment,floor_color,mediumpurple,1,2
environment,floor_material,tile,1,1
environment,floor_texture,smooth,1,1
environment,location_type,commercial kitchen,5,2
environment,location_type,kitchen unspecified,1,2
environment,spatial_layout_depth,layered,1,3
environment,spatial_layout_depth,moderate,4,3
environment,spatial_layout_depth,shallow,1,3
environment,spatial_layout_openness,moderately open,1,2
environment,spatial_layout_openness,open,5,2
environment,walls_color,brown,2,6
environment,walls_color,gray,3,6
environment,walls_color,lightblue,1,6
environment,walls_color,mediumpurple,1,6
environment,walls_color,silver,3,6
environment,walls_color,white,7,6
environment,walls_condition,clean,10,5
environment,walls_condition,fingerprints,1,5
environment,walls_condition,good,4,5
environment,walls_condition,maintained,1,5
environment,walls_condition,used,1,5
environment,walls_finish,brushed,3,8
environment,walls_finish,glazed,1,8
environment,walls_finish,glossy,6,8
environment,walls_finish,lacquered,1,8
environment,walls_finish,matte,1,8
environment,walls_finish,polished,1,8
environment,walls_finish,smooth,2,8
environment,walls_finish,varnished,1,8
environment,walls_material,ceramic,4,8
environment,walls_material,ceramic tile,3,8
environment,walls_material,glass,1,8
environment,walls_material,metal,2,8
environment,walls_material,painted plaster,2,8
environment,walls_material,stainless steel,3,8
environment,walls_material,tile,2,8
environment,walls_material,wood,2,8
environment,walls_texture,brushed,2,6
environment,walls_texture,brushed metal,1,6
