cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,14,3
atmosphere,aesthetic_qualities,dreamy,7,3
atmosphere,aesthetic_qualities,realistic,7,3
atmosphere,color_temperature,warm,18,1
atmosphere,contrast_level,high,16,3
atmosphere,contrast_level,low,1,3
atmosphere,contrast_level,medium,1,3
atmosphere,dominant_palette,brown,25,4
atmosphere,dominant_palette,lightgreen,2,4
atmosphere,dominant_palette,medium violet red,5,4
atmosphere,dominant_palette,mediumvioletred,11,4
atmosphere,mood,calm,9,3
atmosphere,mood,dramatic,16,3
atmosphere,mood,melancholic,1,3
atmosphere,saturation_level,neutral,16,2
atmosphere,saturation_level,vivid,2,2
background,object_counts_by_position,background center,21,9
background,object_counts_by_position,background left,9,9
background,object_counts_by_position,background right,14,9
background,object_counts_by_position,foreground center,19,9
background,object_counts_by_position,foreground left,2,9
background,object_counts_by_position,foreground right,2,9
background,object_counts_by_position,midground center,3,9
background,object_counts_by_position,midground left,7,9
background,object_counts_by_position,midground right,7,9
camera,angle,dolly out,1,1
camera,crop,head near upper third,1,4
camera,crop,includes floor area,1,4
camera,crop,includes full figure,1,4
camera,crop,some headspace,1,4
camera,depth_of_field,deep,1,5
camera,depth_of_field,moderate,1,5
camera,depth_of_field,moderate dof,1,5
camera,depth_of_field,shallow,4,5
camera,depth_of_field,shallow dof,5,5
camera,focal_length,normal,5,2
camera,focal_length,telephoto,3,2
camera,framing,establishing shot,1,4
camera,framing,full body,14,4
camera,framing,medium,2,4
camera,framing,wide,5,4
camera,perspective,eye level,6,3
camera,perspective,low angle,4,3
camera,perspective,third person,1,3
environment,ceiling_color,black,3,3
environment,ceiling_color,darkblue,6,3
environment,ceiling_color,snow,1,3
environment,ceiling_condition,slight dust,1,3
environment,ceiling_condition,weathered,1,3
environment,ceiling_condition,well maintained,1,3
environment,ceiling_finish,glossy,1,3
environment,ceiling_finish,matte,4,3
environment,ceiling_finish,polished,1,3
environment,ceiling_material,metal,4,1
environment,ceiling_texture,detailed,1,4
environment,ceiling_texture,glossy metal,1,4
environment,ceiling_texture,matte,4,4
environment,ceiling_texture,truss,1,4
environment,floor_color,black,2,6
environment,floor_color,brown,5,6
environment,floor_color,darkblue,1,6
environment,floor_color,honeydew,1,6
environment,floor_color,pink,1,6
environment,floor_color,white,1,6
environment,floor_condition,minimal scuffing,6,2
environment,floor_condition,polished,8,2
environment,floor_finish,glossy,6,6
environment,floor_finish,low reflectance,1,6
environment,floor_finish,polished,4,6
environment,floor_finish,reflective,3,6
environment,floor_finish,satin sheen,1,6
environment,floor_finish,soft sheen,1,6
environment,floor_material,hardwood,1,3
environment,floor_material,varnished wood,1,3
environment,floor_material,wood,7,3
environment,floor_texture,glossy,1,8
environment,floor_texture,glossy reflection,1,8
environment,floor_texture,grain,1,8
environment,floor_texture,plank,1,8
environment,floor_texture,polished,1,8
environment,floor_texture,reflective,2,8
environment,floor_texture,smooth,9,8
environment,floor_texture,woodgrain,1,8
environment,location_type,dance studio,2,9
environment,location_type,performance hall,2,9
environment,location_type,performance space,2,9
environment,location_type,practice room,1,9
environment,location_type,rehearsal studio,1,9
environment,location_type,stage,3,9
environment,location_type,theater,1,9
environment,location_type,theatrical performance space,2,9
environment,location_type,theatrical stage,6,9
environment,spatial_layout_depth,deep,4,4
environment,spatial_layout_depth,moderate,7,4
environment,spatial_layout_depth,open,5,4
environment,spatial_layout_depth,shallow,1,4
environment,spatial_layout_openness,open,17,1
environment,time_of_day_hint,afternoon,1,1
environment,walls_color,black,4,6
environment,walls_color,brown,1,6
environment,walls_color,cyan,1,6
environment,walls_color,darkblue,4,6
environment,walls_color,gray,4,6
environment,walls_color,mediumpurple,1,6
environment,walls_condition,aged,2,7
environment,walls_condition,aged but maintained,1,7
environment,walls_condition,clean,1,7
environment,walls_condition,dust holding shadowed crevices,1,7
environment,walls_condition,good,1,7
environment,walls_condition,intact,1,7
environment,walls_condition,slightly worn,1,7
environment,walls_finish,matte,8,2
environment,walls_finish,smooth,1,2
environment,walls_material,fabric,3,6
environment,walls_material,metal,1,6
