cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,15,3
atmosphere,aesthetic_qualities,dreamy,1,3
atmosphere,aesthetic_qualities,realistic,16,3
atmosphere,color_temperature,cool,5,2
atmosphere,color_temperature,warm,21,2
atmosphere,contrast_level,high,3,2
atmosphere,contrast_level,medium,21,2
atmosphere,dominant_palette,brown,10,1
atmosphere,mood,calm,20,1
atmosphere,palette,brown,10,1
atmosphere,saturation_level,neutral,18,2
atmosphere,saturation_level,vivid,4,2
background,object_counts_by_position,background center,46,9
background,object_counts_by_position,background left,14,9
background,object_counts_by_position,background right,15,9
background,object_counts_by_position,foreground center,9,9
background,object_counts_by_position,foreground left,11,9
background,object_counts_by_position,foreground right,3,9
background,object_counts_by_position,midground center,11,9
background,object_counts_by_position,midground left,2,9
background,object_counts_by_position,midground right,2,9
camera,crop,bottom edge crops lower legs,1,6
camera,crop,lower legs out of frame,1,6
camera,crop,partial lower legs,1,6
camera,crop,right boot partial,1,6
camera,crop,right shoe bottom cropped,1,6
camera,crop,subject centered,1,6
camera,depth_of_field,deep,2,3
camera,depth_of_field,moderate,1,3
camera,depth_of_field,shallow,16,3
camera,focal_length,normal,2,2
camera,focal_length,telephoto,6,2
camera,framing,establishing,7,4
camera,framing,full body,3,4
camera,framing,medium,16,4
camera,framing,wide,2,4
camera,perspective,eye level,11,2
camera,perspective,low angle,4,2
environment,ceiling_color,gray,6,1
environment,ceiling_material,clouds,3,2
environment,ceiling_material,sky,3,2
environment,ceiling_texture,cloud filled,1,4
environment,ceiling_texture,diffuse,1,4
environment,ceiling_texture,layered,3,4
environment,ceiling_texture,textured,1,4
environment,floor_color,brown,21,6
environment,floor_color,darkgreen,2,6
environment,floor_color,gold,2,6
environment,floor_color,green,2,6
environment,floor_color,palegreen,1,6
environment,floor_color,tan,1,6
environment,floor_condition,brittle,3,32
environment,floor_condition,compacted,2,32
environment,floor_condition,covered by crop,1,32
environment,floor_condition,crumbly,1,32
environment,floor_condition,cultivated,2,32
environment,floor_condition,disturbed,1,32
environment,floor_condition,dry,7,32
environment,floor_condition,dry appearing,1,32
environment,floor_condition,dusty,3,32
environment,floor_condition,evenly spaced,1,32
environment,floor_condition,freshly disturbed,1,32
environment,floor_condition,freshly tilled,4,32
environment,floor_condition,harvested,1,32
environment,floor_condition,healthy,2,32
environment,floor_condition,healthy appearing,1,32
environment,floor_condition,loose,1,32
environment,floor_condition,loose textured,1,32
environment,floor_condition,mature,2,32
environment,floor_condition,moist,2,32
environment,floor_condition,moist appearing,1,32
environment,floor_condition,receding ridges,1,32
environment,floor_condition,recently disturbed,1,32
environment,floor_condition,recently tilled,1,32
environment,floor_condition,recently worked,1,32
environment,floor_condition,slightly dry,1,32
environment,floor_condition,smooth compacted,1,32
environment,floor_condition,tilled,1,32
environment,floor_condition,uniform,1,32
environment,floor_condition,weathered,1,32
environment,floor_condition,well turned,1,32
environment,floor_condition,well used,1,32
environment,floor_condition,worn,1,32
environment,floor_finish,matte,22,2
environment,floor_finish,specular highlights,1,2
environment,floor_material,cereal crop,1,14
environment,floor_material,compacted soil,1,14
environment,floor_material,crop stubble,1,14
environment,floor_material,earth,2,14
environment,floor_material,grass,1,14
environment,floor_material,loam,2,14
environment,floor_material,loamy soil,1,14
environment,floor_material,organic,1,14
environment,floor_material,plant stalks,1,14
environment,floor_material,plant stubble,1,14
environment,floor_material,soil,19,14
environment,floor_material,straw,2,14
environment,floor_material,trees,1,14
environment,floor_material,vegetation,3,14
environment,floor_texture,brittle,1,36
environment,floor_texture,clod textured,1,36
environment,floor_texture,coarse,1,36
environment,floor_texture,coarse crumb,1,36
environment,floor_texture,coarse textured,1,36
environment,floor_texture,compacted,3,36
environment,floor_texture,crumbly,2,36
environment,floor_texture,crushed,1,36
environment,floor_texture,dense,2,36
environment,floor_texture,dry,2,36
environment,floor_texture,dry textured,1,36
environment,floor_texture,dusty,1,36
environment,floor_texture,fibrous,5,36
environment,floor_texture,fibrous crop residue,1,36
environment,floor_texture,fine crumb,1,36
environment,floor_texture,fine granular,1,36
environment,floor_texture,finely tilled,1,36
environment,floor_texture,furrowed,4,36
environment,floor_texture,glossy leaves,1,36
environment,floor_texture,granular,7,36
environment,floor_texture,leafy,2,36
environment,floor_texture,loam,3,36
environment,floor_texture,loose,1,36
environment,floor_texture,loose textured,1,36
environment,floor_texture,mowed,1,36
environment,floor_texture,papery,1,36
environment,floor_texture,raked,1,36
environment,floor_texture,ridged,9,36
environment,floor_texture,rough,2,36
environment,floor_texture,slender stalk,1,36
environment,floor_texture,smooth,3,36
environment,floor_texture,smooth waxy,1,36
environment,floor_texture,stubbled,1,36
environment,floor_texture,textured,2,36
environment,floor_texture,tilled,1,36
environment,floor_texture,tilled variant,0,36
environment,location_type,agricultural field,17,4
environment,location_type,agricultural planting field,1,4
environment,location_type,farmland,1,4
environment,location_type,rural farmland,1,4
environment,spatial_layout_depth,deep,5,4
environment,spatial_layout_depth,moderate,8,4
environment,spatial_layout_depth,open,1,4
environment,spatial_layout_depth,shallow,5,4
environment,spatial_layout_openness,expansive,1,3
environment,spatial_layout_openness,moderate,1,3
environment,spatial_layout_openness,open,17,3
environment,time_of_day_hint,afternoon,8,3
environment,time_of_day_hint,dusk,1,3
environment,time_of_day_hint,evening,3,3
environment,weather,clear,3,5
environment,weather,cloudy,6,5
environment,weather,overcast,7,5
environment,weather,storm,1,5
environment,weather,sunny,1,5
lighting,artifacts,artifact warm lens glow upper right,1,1
lighting,color_temperature,cool,5,2
lighting,color_temperature,warm,21,2
lighting,contrast_level,high,3,2
lighting,contrast_level,medium,23,2
lighting,directionality,backlight,3,3
lighting,directionality,side light,2,3
lighting,directionality,top light,2,3
lighting,hardness,medium,1,2
lighting,hardness,soft,12,2
lighting,saturation_level,neutral,20,2
lighting,saturation_level,vivid,4,2
lighting,shadows,medium,1,2
lighting,shadows,soft,20,2
lighting,sources_count,one,18,1
lighting,sources_directionality,backlight,1,2
lighting,sources_directionality,toplight,2,2
lighting,sources_hardness,soft,10,1
objects,color,beige,3,19
objects,color,black,1,19
objects,color,blue,1,19
objects,color,brown,20,19
objects,color,crimson,1,19
objects,color,darkblue,1,19
objects,color,darkgreen,7,19
objects,color,darkviolet,1,19
objects,color,gray,2,19
objects,color,green,13,19
objects,color,khaki,2,19
objects,color,lightyellow,1,19
objects,color,orangered,1,19
objects,color,palegreen,1,19
objects,color,red,1,19
objects,color,silver,3,19
objects,color,tan,2,19
objects,color,white,1,19
objects,color,yellow,1,19
objects,material,clouds,1,16
objects,material,denim,1,16
objects,material,leather,1,16
objects,material,metal,3,16
objects,material,painted roof,1,16
objects,material,plant,13,16
objects,material,soil,15,16
objects,material,straw,3,16
objects,material,vegetation,3,16
objects,material,wood,2,16
objects,material,woven straw,2,16
objects,object_colors,beige,2,11
objects,object_colors,black,2,11
objects,object_colors,brown,12,11
objects,object_colors,darkgreen,11,11
objects,object_colors,gold,11,11
objects,object_colors,gray,3,11
objects,object_colors,green,14,11
objects,object_colors,lightcyan,1,11
objects,object_colors,red,3,11
objects,object_colors,tan,2,11
objects,object_colors,violet,1,11
objects,object_materials,cereal crop,6,11
objects,object_materials,foliage,6,11
objects,object_materials,glass,1,11
objects,object_materials,metal,2,11
objects,object_materials,painted surface,1,11
objects,object_materials,plant,10,11
objects,object_materials,plant stalks,4,11
objects,object_materials,rubber,2,11
objects,object_materials,soil,8,11
objects,object_materials,straw,3,11
objects,object_materials,wood,1,11
objects,object_texture,dense leafy,21,3
objects,object_texture,fibrous,12,3
objects,object_texture,matte,0,3
objects,plane,background,11,3
objects,plane,foreground,30,3
objects,plane,midground,15,3
objects,side,center,36,3
objects,side,left,10,3
objects,side,right,10,3
objects,subtype_counts,blurred treeline band,1,11
objects,subtype_counts,clouds,1,11
objects,subtype_counts,distant trees roofs,1,11
objects,subtype_counts,long handled shovel,1,11
objects,subtype_counts,planted rows,38,11
objects,subtype_counts,small red structures partial,1,11
objects,subtype_counts,straw hat,5,11
objects,subtype_counts,wide brimmed sunhat,1,11
objects,subtype_counts,work boots,1,11
objects,subtype_counts,work gloves,4,11
objects,subtype_counts,work pants,1,11
objects,type,accessory,2,35
objects,type,building,1,35
objects,type,clothing,1,35
objects,type,crop rows,4,35
objects,type,crop strips,1,35
objects,type,dirt path,1,35
objects,type,footwear,1,35
objects,type,ground,1,35
objects,type,ground feature,3,35
objects,type,hand covering,1,35
objects,type,hand held crop fragments,1,35
objects,type,hand tool,2,35
objects,type,hat,2,35
objects,type,head wear,1,35
objects,type,hedgerow,1,35
objects,type,landform,2,35
objects,type,landscape,1,35
objects,type,leafy bundle,1,35
objects,type,machinery,1,35
objects,type,object headwear merged head wear,9,35
objects,type,object soil,39,35
objects,type,object tree line merged treeline,3,35
objects,type,pathway,1,35
objects,type,person object annotation,1,35
objects,type,pole,1,35
objects,type,sky,5,35
objects,type,structure,2,35
objects,type,structures treeline,1,35
objects,type,tree clump,1,35
objects,type,tree line,1,35
objects,type,tree mass,1,35
