cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,3,3
atmosphere,aesthetic_qualities,minimal,3,3
atmosphere,aesthetic_qualities,realistic,8,3
atmosphere,color_temperature,cool,1,3
atmosphere,color_temperature,neutral,6,3
atmosphere,color_temperature,warm,14,3
atmosphere,contrast_level,medium,22,1
atmosphere,dominant_palette,brown,10,1
atmosphere,mood,calm,20,1
atmosphere,palette_colors,brown,20,2
atmosphere,palette_colors,lightgreen,1,2
atmosphere,saturation_level,neutral,5,2
atmosphere,saturation_level,vivid,8,2
background,object_counts_by_position,background center,14,9
background,object_counts_by_position,background left,5,9
background,object_counts_by_position,background right,13,9
background,object_counts_by_position,foreground center,18,9
background,object_counts_by_position,foreground left,14,9
background,object_counts_by_position,foreground right,5,9
background,object_counts_by_position,midground center,8,9
background,object_counts_by_position,midground left,11,9
background,object_counts_by_position,midground right,13,9
camera,crop,right edge cropped,1,3
camera,crop,small margin above ceiling,1,3
camera,crop,visible floor foreground,1,3
camera,crop_tokens,captures person upper torso feet majority living room area,1,2
camera,crop_tokens,toes partially cropped,1,2
camera,depth_of_field,deep,7,3
camera,depth_of_field,moderate,7,3
camera,depth_of_field,shallow,2,3
camera,focal_length,normal,1,2
camera,focal_length,telephoto,1,2
camera,framing,establishing shot,4,4
camera,framing,full body,8,4
camera,framing,medium,2,4
camera,framing,wide,9,4
camera,perspective,eye level,16,2
camera,perspective,high angle,1,2
environment,floor_color,beige,3,6
environment,floor_color,brown,6,6
environment,floor_color,gray,2,6
environment,floor_color,lightblue,1,6
environment,floor_color,mediumpurple,1,6
environment,floor_color,pink,2,6
environment,floor_texture,fibrous,1,11
environment,floor_texture,low pile,3,11
environment,floor_texture,plush,1,11
environment,floor_texture,polished,1,11
environment,floor_texture,smooth,6,11
environment,floor_texture,soft,2,11
environment,floor_texture,subtle grain,1,11
environment,floor_texture,textured,1,11
environment,floor_texture,visible wood grain,1,11
environment,floor_texture,wood grain,1,11
environment,floor_texture,woven,1,11
environment,location_type,living room,18,2
environment,location_type,residential living room,2,2
environment,spatial_layout_depth,medium,1,3
environment,spatial_layout_depth,moderate,8,3
environment,spatial_layout_depth,open,1,3
environment,spatial_layout_openness,moderate,1,3
environment,spatial_layout_openness,moderately open,1,3
environment,spatial_layout_openness,open,15,3
environment,surfaces_ceiling_color,black,1,2
environment,surfaces_ceiling_color,white,9,2
environment,surfaces_floor_material,hardwood,6,3
environment,surfaces_floor_material,textile rug carpet,3,3
environment,surfaces_floor_material,wood,2,3
environment,surfaces_walls_color,wall beige,2,4
environment,surfaces_walls_color,wall gray,2,4
environment,surfaces_walls_color,wall pale green,1,4
environment,surfaces_walls_color,wall white,5,4
environment,surfaces_walls_material,drywall,5,4
environment,surfaces_walls_material,painted drywall,2,4
environment,surfaces_walls_material,painted paint,6,4
environment,surfaces_walls_material,plaster,1,4
environment,surfaces_walls_texture,matte,1,2
environment,surfaces_walls_texture,smooth,10,2
environment,time_of_day_hint,afternoon,1,3
environment,time_of_day_hint,morning,1,3
environment,time_of_day_hint,noon,1,3
environment,wall_finish,matte,7,3
environment,wall_finish,painted,1,3
environment,wall_finish,smooth,1,3
environment,weather,sunny,2,1
lighting,artifacts,background bloom artifact,1,17
lighting,artifacts,each reported once,0,17
lighting,artifacts,gentle vignetting,1,17
lighting,artifacts,highlights glossy plant leaves,1,17
lighting,artifacts,low visible photographic grain,1,17
lighting,artifacts,mild reflection glass sliding door,1,17
lighting,artifacts,mild specular reflection television,1,17
lighting,artifacts,no lens flare observed,1,17
lighting,artifacts,overexposed outside window,1,17
lighting,artifacts,reflection tv,1,17
lighting,artifacts,reflections,1,17
lighting,artifacts,slight photographic softness,1,17
lighting,artifacts,soft reflections on glass,1,17
lighting,artifacts,specular highlights vacuum,1,17
lighting,artifacts,specular reflections floor,1,17
lighting,artifacts,specular reflections metal glass,1,17
lighting,artifacts,window overexposure,1,17
lighting,color_temperature,cool,1,3
lighting,color_temperature,neutral,3,3
lighting,color_temperature,warm,8,3
lighting,contrast_level,medium,13,1
lighting,directionality,backlight,11,2
lighting,directionality,sidelight,10,2
lighting,hardness,soft light,14,1
lighting,saturation_level,neutral,4,2
lighting,saturation_level,vivid,8,2
lighting,shadows,hard,1,2
lighting,shadows,soft,19,2
lighting,sources_count,one,13,4
lighting,sources_count,one light source,8,4
lighting,sources_count,two,1,4
lighting,sources_count,two light,1,4
lighting,sources_hardness,soft,16,1
lighting,sources_type,artificial light,7,2
lighting,sources_type,source artificial,7,2
objects,color,beige,35,29
objects,color,black,21,29
objects,color,blue,2,29
objects,color,blue palette,8,29
objects,color,brown,14,29
objects,color,chocolate,2,29
objects,color,darkblue,6,29
objects,color,darkgreen,1,29
objects,color,darkslategrey,1,29
objects,color,darkviolet,1,29
objects,color,firebrick,3,29
objects,color,gray,24,29
objects,color,green,19,29
objects,color,green palette,12,29
objects,color,lightblue,2,29
objects,color,lightgreen,1,29
objects,color,lightyellow,2,29
objects,color,mediumpurple,7,29
objects,color,mediumslateblue,3,29
objects,color,orange palette,2,29
objects,color,other unique colors,7,29
objects,color,palegreen,2,29
objects,color,pink,3,29
objects,color,purple palette,1,29
objects,color,silver,4,29
objects,color,snow,1,29
objects,color,tan,4,29
objects,color,turquoise,1,29
objects,color,white,38,29
objects,condition,clean,50,16
objects,condition,gently used,5,16
objects,condition,good,80,16
objects,condition,healthy,6,16
objects,condition,intact,9,16
objects,condition,light use,1,16
objects,condition,lightly used,2,16
objects,condition,minor wrinkling,1,16
objects,condition,neatly stacked,1,16
objects,condition,off state,1,16
objects,condition,others,0,16
objects,condition,plump,2,16
objects,condition,slightly indented,1,16
objects,condition,tidy,5,16
objects,condition,wear consistent brushing,1,16
objects,condition,well maintained,8,16
objects,finish,brass,1,15
objects,finish,brushed metal,1,15
objects,finish,clean,7,15
objects,finish,framed,3,15
objects,finish,glazed,8,15
objects,finish,glossy,17,15
objects,finish,lacquered,1,15
objects,finish,matte,36,15
objects,finish,others,0,15
objects,finish,painted,6,15
objects,finish,polished,3,15
objects,finish,reflective,1,15
objects,finish,stained,2,15
objects,finish,varnished,13,15
objects,finish,warm metal,1,15
objects,material,ceramic,21,20
objects,material,clay,1,20
objects,material,fabric,30,20
objects,material,glass,26,20
objects,material,iron,1,20
objects,material,leather,1,20
objects,material,metal,20,20
objects,material,paper,9,20
objects,material,plant,17,20
objects,material,plastic,28,20
objects,material,rattan,1,20
objects,material,rattan baskets,1,20
objects,material,rubber,6,20
objects,material,stone,1,20
objects,material,terracotta,1,20
objects,material,upholstery,3,20
objects,material,upholstery fabric,3,20
objects,material,veneer,1,20
objects,material,wood frame,42,20
objects,material,woven fabric,22,20
objects,size_class,large,50,8
objects,size_class,long,1,8
objects,size_class,low,2,8
objects,size_class,medium,70,8
objects,size_class,others,0,8
objects,size_class,small,70,8
objects,size_class,small medium,1,8
objects,size_class,tall,9,8
objects,state,connected hose,1,10
objects,state,daylight through,1,10
objects,state,idle,1,10
objects,state,not legible,1,10
objects,state,off,2,10
objects,state,parted curtains,1,10
objects,state,resting rug,1,10
objects,state,sheer curtains,1,10
objects,state,static,4,10
objects,state,use,10,10
objects,texture,brushed,1,22
objects,texture,coarse woven,1,22
objects,texture,feathery,3,22
objects,texture,glossy,22,22
objects,texture,knitted,1,22
objects,texture,leafy,2,22
objects,texture,low pile,9,22
objects,texture,matboard,1,22
objects,texture,matte,18,22
objects,texture,others,0,22
objects,texture,pleated,1,22
objects,texture,plush,4,22
objects,texture,polished,3,22
objects,texture,ribbed,3,22
objects,texture,rough,1,22
objects,texture,smooth,100,22
objects,texture,soft,6,22
objects,texture,textured,28,22
objects,texture,tight woven,1,22
objects,texture,tufted,1,22
objects,texture,visible grain,3,22
objects,texture,woven,15,22
objects,type,accessory,1,17
objects,type,appliance,4,17
objects,type,basket tray,1,17
objects,type,books,1,17
objects,type,cleaning tool,12,17
objects,type,decor,45,17
objects,type,decoration subtype sofa many occurrences under decor subtype,30,17
objects,type,dishware,2,17
objects,type,electronics,1,17
objects,type,furniture,33,17
objects,type,other object types each small count grouped as other for roster clarity,18,17
objects,type,plant,15,17
objects,type,pouf,1,17
objects,type,rug,10,17
objects,type,soft furnishing,2,17
objects,type,table,7,17
objects,type,window,10,17
people,activities,cleaning generic,3,12
people,activities,handling cleaning tool,1,12
people,activities,holding mop,1,12
people,activities,holding mop handle,1,12
people,activities,holding wand with both hands,1,12
people,activities,lifting throw cushion,1,12
people,activities,mopping,3,12
people,activities,pushing,1,12
people,activities,pushing brush across rug,1,12
people,activities,pushing guiding vacuum,1,12
people,activities,pushing or pulling mop,1,12
people,activities,vacuuming,10,12
people,age_range,middle aged,4,2
people,age_range,young adult,12,2
people,clothing_color,black,16,11
people,clothing_color,blue,18,11
people,clothing_color,brown,1,11
people,clothing_color,gray,3,11
people,clothing_color,green,9,11
people,clothing_color,mediumpurple,2,11
people,clothing_color,pink,1,11
people,clothing_color,red,1,11
people,clothing_color,tan,3,11
people,clothing_color,white,13,11
people,clothing_color,yellow,3,11
people,clothing_garment,apron,2,20
people,clothing_garment,cleaning gloves,1,20
people,clothing_garment,cropped straight leg trousers,1,20
people,clothing_garment,dress,2,20
people,clothing_garment,feet,4,20
people,clothing_garment,footwear,2,20
people,clothing_garment,gloves,1,20
people,clothing_garment,handheld cloth,1,20
people,clothing_garment,leggings,2,20
people,clothing_garment,pants,1,20
people,clothing_garment,scrub pants,1,20
people,clothing_garment,scrub top,1,20
people,clothing_garment,shirt,5,20
people,clothing_garment,skirt,1,20
people,clothing_garment,slippers,2,20
people,clothing_garment,top,1,20
people,clothing_garment,trousers,1,20
people,clothing_garment,uniform dress,1,20
people,clothing_garment,waist apron,1,20
people,clothing_garment,work apron,1,20
people,clothing_material,canvas,1,14
people,clothing_material,cotton,18,14
people,clothing_material,denim,1,14
people,clothing_material,fabric,10,14
people,clothing_material,knit,6,14
people,clothing_material,lightweight,1,14
people,clothing_material,nonwoven,1,14
people,clothing_material,polyester,4,14
people,clothing_material,rubber,4,14
people,clothing_material,skin,1,14
people,clothing_material,stretch,1,14
people,clothing_material,synthetic,2,14
people,clothing_material,textile,1,14
people,clothing_material,woven,3,14
people,eyewear_present,no,9,2
people,eyewear_present,yes,10,2
people,facial_hair_present,no,19,1
people,gaze_direction,down,14,1
people,gender_presentation,female,19,1
people,hair_color,black,8,2
people,hair_color,brown,13,2
people,hair_present,yes,19,1
people,hair_style,bun,3,5
people,hair_style,long,5,5
people,hair_style,ponytail,13,5
people,hair_style,straight,4,5
people,hair_style,updo,2,5
people,head_covering_color,green,1,1
people,head_covering_present,no,18,2
people,head_covering_present,yes,1,2
people,head_covering_type,cap,1,1
people,occlusions,partial,9,2
people,occlusions,partial occlusion,9,2
people,orientation,front,3,1
people,pose,bent over,1,12
people,pose,forward leaning,4,12
people,pose,kneeling,1,12
people,pose,kneeling one leg,1,12
people,pose,leaning forward,8,12
people,pose,relaxed standing,1,12
people,pose,slight forward bend,2,12
people,pose,slightly bent,2,12
people,pose,slightly bent forward,2,12
people,pose,slightly crouched,1,12
people,pose,slightly forward leaning,1,12
people,pose,upright,8,12
people,role_hint,appears caregiver or home care worker detailed,1,10
people,role_hint,appears cleaning personnel,1,10
people,role_hint,appears cleaning staff,2,10
people,role_hint,appears domestic worker or domestic care provider detailed,1,10
people,role_hint,appears household cleaning,1,10
people,role_hint,cleaner,2,10
people,role_hint,cleaning staff,1,10
people,role_hint,cleaning worker,1,10
people,role_hint,domestic cleaner,1,10
people,role_hint,domestic cleaning worker,1,10
people,skin_tone,medium,19,1
safety,hazards,low trip hazard due to floor tools,1,2
safety,hazards,no,8,2
safety,nsfw,not,9,1
texts,legibility,not legible,4,3
texts,legibility,text illegible,2,3
texts,legibility,text partial,1,3
texts,plane,text foreground,2,3
texts,plane,text in background,2,3
texts,plane,text midground,3,3
texts,side,text center,1,5
texts,side,text left,2,5
texts,side,text on left,1,5
texts,side,text on right,1,5
texts,side,text right,1,5
uncertainty,note,age range unresolvable mapped conservatively,1,4
uncertainty,note,printed labels or small object text not legible,1,4
uncertainty,note,time of day not specified only daylight noted,1,4
uncertainty,note,vacuum brand model not legible,1,4
uncertainty,uncertainty,other singleton tokens each count 1,19,2
uncertainty,uncertainty,token small dark object partially occluded repeated,17,2
