cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,3,3
atmosphere,aesthetic_qualities,minimal,2,3
atmosphere,aesthetic_qualities,realistic,15,3
atmosphere,color,black,5,26
atmosphere,color,brown,4,26
atmosphere,color,mediumblue,1,26
atmosphere,contrast_level,high,4,2
atmosphere,contrast_level,medium,11,2
atmosphere,dominant_palette,black,5,4
atmosphere,dominant_palette,brown,2,4
atmosphere,dominant_palette,cyan,1,4
atmosphere,dominant_palette,medium blue,2,4
atmosphere,mood,calm,18,2
atmosphere,mood,minimalistic,5,2
atmosphere,palette_detail,black,5,4
atmosphere,palette_detail,brown,2,4
atmosphere,palette_detail,cyan,1,4
atmosphere,palette_detail,mediumblue,2,4
atmosphere,saturation_level,neutral,9,2
atmosphere,saturation_level,vivid,6,2
atmosphere,temperature,cool,9,3
atmosphere,temperature,neutral,5,3
atmosphere,temperature,warm,2,3
background,object_counts_background_right,total objects,14,1
background,object_counts_by_position,background center,9,9
background,object_counts_by_position,background left,0,9
background,object_counts_by_position,background right,4,9
background,object_counts_by_position,foreground center,10,9
background,object_counts_by_position,foreground left,5,9
background,object_counts_by_position,foreground right,1,9
background,object_counts_by_position,midground center,8,9
background,object_counts_by_position,midground left,7,9
background,object_counts_by_position,midground right,9,9
background,object_counts_foreground_right,total objects,32,1
background,object_counts_midground_left,total objects,14,1
background,object_counts_summary,background center,9,9
background,object_counts_summary,background left,3,9
background,object_counts_summary,background right,2,9
background,object_counts_summary,foreground center,12,9
background,object_counts_summary,foreground left,9,9
background,object_counts_summary,foreground right,4,9
background,object_counts_summary,midground center,10,9
background,object_counts_summary,midground left,4,9
background,object_counts_summary,midground right,7,9
background,object_totals_by_position,background center,9,9
background,object_totals_by_position,background left,0,9
background,object_totals_by_position,background right,4,9
background,object_totals_by_position,foreground center,10,9
background,object_totals_by_position,foreground left,5,9
background,object_totals_by_position,foreground right,1,9
background,object_totals_by_position,midground center,8,9
background,object_totals_by_position,midground left,7,9
background,object_totals_by_position,midground right,9,9
camera,depth_of_field,deep,6,3
camera,depth_of_field,moderate,3,3
camera,depth_of_field,shallow,16,3
camera,focal_length,normal,2,3
camera,focal_length,telephoto,1,3
camera,focal_length,wide,1,3
camera,framing,establishing shot,5,4
camera,framing,full body,11,4
camera,framing,medium,3,4
camera,framing,wide,10,4
camera,perspective,eye level,21,3
camera,perspective,low angle,2,3
camera,perspective,third person,2,3
environment,location_type,corridor,7,2
environment,location_type,hallway,1,2
environment,spatial_depth,deep,5,2
environment,spatial_depth,moderate,4,2
environment,spatial_layout_depth,deep,4,4
environment,spatial_layout_depth,elongated,1,4
environment,spatial_layout_depth,long,2,4
environment,spatial_layout_depth,moderate,1,4
environment,spatial_layout_openness,enclosed,2,2
environment,spatial_layout_openness,open,1,2
environment,surfaces_ceiling_color,white,9,1
environment,surfaces_ceiling_condition,intact,2,1
environment,surfaces_ceiling_finish,matte,9,1
environment,surfaces_ceiling_material,acoustic tiles grouped variants,7,1
environment,surfaces_color,beige,8,5
environment,surfaces_color,gray,6,5
environment,surfaces_color,lightblue,1,5
environment,surfaces_color,saddlebrown,1,5
environment,surfaces_color,white,18,5
environment,surfaces_floor_color,gray,4,1
environment,surfaces_floor_condition,clean,3,1
environment,surfaces_floor_finish,high gloss,5,1
environment,surfaces_floor_material,tile,3,1
environment,surfaces_floor_texture,smooth,7,1
environment,surfaces_material,acoustic tile,10,20
environment,surfaces_material,ceramic tile,5,20
environment,surfaces_material,cinderblock,2,20
environment,surfaces_material,glass,1,20
environment,surfaces_material,linoleum,3,20
environment,surfaces_material,metal,1,20
environment,surfaces_material,paint,8,20
environment,surfaces_material,painted drywall,5,20
environment,surfaces_material,painted plaster,1,20
environment,surfaces_material,painted surface variant,2,20
environment,surfaces_material,plaster,3,20
environment,surfaces_material,plastic diffuser,1,20
environment,surfaces_material,polished stone,1,20
environment,surfaces_material,terrazzo,2,20
environment,surfaces_material,vinyl,4,20
environment,surfaces_material,vinyl or linoleum,1,20
environment,surfaces_material,vinyl or tile,1,20
environment,surfaces_material,vinyl tile,1,20
environment,surfaces_material,wood,1,20
environment,surfaces_material,wood paneling lower section,1,20
environment,surfaces_walls_color,beige,4,3
environment,surfaces_walls_color,gray,3,3
environment,surfaces_walls_color,white,5,3
environment,surfaces_walls_condition,clean,9,1
environment,surfaces_walls_texture,smooth,12,1
environment,time_of_day_hint,afternoon,1,1
lighting,artifacts,diffuse ceiling reflections,1,11
lighting,artifacts,each artifact token,0,11
lighting,artifacts,glossy reflections fixtures objects,1,11
lighting,artifacts,no chromatic aberration,1,11
lighting,artifacts,no lens flare,2,11
lighting,artifacts,reflections,1,11
lighting,artifacts,reflections floor,1,11
lighting,artifacts,specular floor reflections,3,11
lighting,artifacts,specular highlights metal glossy plastic,1,11
lighting,artifacts,strong floor reflections,1,11
lighting,artifacts,strong specular reflections floor,1,11
lighting,color_temperature,cool,9,3
lighting,color_temperature,neutral,5,3
lighting,color_temperature,warm,2,3
lighting,contrast_level,high,4,2
lighting,contrast_level,medium,11,2
lighting,saturation_level,neutral,8,2
lighting,saturation_level,vivid,7,2
lighting,shadows,casting,2,2
