cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,4,3
atmosphere,aesthetic_qualities,gritty,1,3
atmosphere,aesthetic_qualities,realistic,8,3
atmosphere,color_temperature,cool,3,3
atmosphere,color_temperature,neutral,3,3
atmosphere,color_temperature,warm,4,3
atmosphere,contrast_level,high,1,3
atmosphere,contrast_level,low,1,3
atmosphere,contrast_level,medium,8,3
atmosphere,dominant_palette,black,9,8
atmosphere,dominant_palette,blue,0,8
atmosphere,dominant_palette,brown,6,8
atmosphere,dominant_palette,cyan,2,8
atmosphere,dominant_palette,medium violet red,1,8
atmosphere,dominant_palette,mediumblue,1,8
atmosphere,dominant_palette,mediumvioletred,2,8
atmosphere,dominant_palette,violet,0,8
atmosphere,mood,calm,9,3
atmosphere,mood,melancholic,1,3
atmosphere,mood,tense,8,3
atmosphere,saturation_level,neutral,8,2
atmosphere,saturation_level,vivid,3,2
background,object_counts_by_position,background center,9,9
background,object_counts_by_position,background left,12,9
background,object_counts_by_position,background right,9,9
background,object_counts_by_position,foreground center,15,9
background,object_counts_by_position,foreground left,8,9
background,object_counts_by_position,foreground right,10,9
background,object_counts_by_position,midground center,21,9
background,object_counts_by_position,midground left,14,9
background,object_counts_by_position,midground right,9,9
camera,crop,cropped mid thigh,1,4
camera,crop,lower body included,1,4
camera,crop,lower body partial,1,4
camera,crop,tight moderate foreground right police cruiser officers,1,4
camera,depth_of_field,deep,3,3
camera,depth_of_field,moderate,9,3
camera,depth_of_field,shallow,5,3
camera,focal_length,normal,1,2
camera,focal_length,telephoto,6,2
camera,framing,full body,8,3
camera,framing,medium,10,3
camera,framing,wide,4,3
camera,perspective,eye level,11,2
camera,perspective,third person,1,2
environment,color,beige,3,33
environment,color,black,2,33
environment,color,black floor,2,33
environment,color,blue,1,33
environment,color,blue palette,0,33
environment,color,brown,8,33
environment,color,darkblue,2,33
environment,color,darkblue floor,1,33
environment,color,firebrick,2,33
environment,color,gray,6,33
environment,color,gray family,0,33
environment,color,gray floor,12,33
environment,color,mediumblue,1,33
environment,color,mediumpurple,1,33
environment,color,other,0,33
environment,color,silver,1,33
environment,color,tan,1,33
environment,color,white,0,33
environment,color,white floor,9,33
environment,condition,abrasion,1,46
environment,condition,clean,3,46
environment,condition,fair,1,46
environment,condition,good,1,46
environment,condition,intact,3,46
environment,condition,localized wear,1,46
environment,condition,maintained,3,46
environment,condition,mild scuffing,1,46
environment,condition,minor scuffing,1,46
environment,condition,minor surface staining,1,46
environment,condition,minor surface wear,1,46
environment,condition,mostly intact,1,46
environment,condition,normal wear,1,46
environment,condition,other minor,0,46
environment,condition,patched,1,46
environment,condition,repaired,1,46
environment,condition,scuffed,1,46
environment,condition,slightly weathered,6,46
environment,condition,small cracks,1,46
environment,condition,surface dirt,1,46
environment,condition,visible wear,1,46
environment,condition,weathered,5,46
environment,condition,well maintained,1,46
environment,condition,well maintained or clean,0,46
environment,condition,worn,8,46
environment,finish,cast,1,17
environment,finish,glazed,2,17
environment,finish,glossy,2,17
environment,finish,matte,14,17
environment,finish,paint,2,17
environment,finish,reflective,4,17
environment,finish,weathered,4,17
environment,floor_color,black,3,7
environment,floor_color,darkblue,1,7
environment,floor_color,darkslategrey,1,7
environment,floor_color,gray,10,7
environment,floor_color,lightblue,1,7
environment,floor_color,white,5,7
environment,floor_color,yellow,1,7
environment,floor_condition,faded,1,12
environment,floor_condition,intact,1,12
environment,floor_condition,minor scuffing,1,12
environment,floor_condition,minor surface staining,1,12
environment,floor_condition,moderate,1,12
environment,floor_condition,moderate wear,1,12
environment,floor_condition,scattered surface wear,1,12
environment,floor_condition,scuffed,3,12
environment,floor_condition,slightly weathered,1,12
environment,floor_condition,slightly worn,1,12
environment,floor_condition,wet like,1,12
environment,floor_condition,worn,6,12
environment,floor_finish,glossy,1,7
environment,floor_finish,matte,7,7
environment,floor_finish,moderate sheen,1,7
environment,floor_finish,reflective sheen,1,7
environment,floor_finish,slightly glossy,1,7
environment,floor_finish,sunlit,1,7
environment,floor_finish,worn,1,7
environment,floor_material,asphalt,10,4
environment,floor_material,concrete,3,4
environment,floor_material,paint,4,4
environment,floor_material,painted concrete,1,4
environment,floor_texture,hairline cracks,1,17
environment,floor_texture,matte paint,1,17
environment,floor_texture,oily patches,1,17
environment,floor_texture,rough,1,17
environment,floor_texture,rough worn,1,17
environment,floor_texture,scuffed,2,17
environment,floor_texture,slightly glossy,1,17
environment,floor_texture,slightly rough,2,17
environment,floor_texture,slightly weathered,1,17
environment,floor_texture,slightly worn,1,17
environment,floor_texture,smooth,4,17
environment,floor_texture,smooth worn,1,17
environment,floor_texture,textured,2,17
environment,floor_texture,tire marks,1,17
environment,floor_texture,wet like,1,17
environment,floor_texture,worn,3,17
environment,floor_texture,worn paint,1,17
environment,location_type,city intersection,1,8
environment,location_type,intersection,1,8
environment,location_type,street intersection,9,8
environment,location_type,suburban street,5,8
environment,location_type,urban commercial street,1,8
environment,location_type,urban intersection,1,8
environment,location_type,urban roadway,1,8
environment,location_type,urban street canyon,1,8
environment,material,asphalt,10,29
environment,material,brick,6,29
environment,material,concrete,4,29
environment,material,glass,9,29
environment,material,masonry,6,29
environment,material,metal,2,29
environment,material,paint,8,29
environment,material,steel,2,29
environment,material,stone,6,29
environment,openness,enclosed,1,2
environment,openness,open,4,2
environment,spatial_layout_depth,constrained,1,4
environment,spatial_layout_depth,deep,9,4
environment,spatial_layout_depth,moderate,7,4
environment,spatial_layout_depth,shallow,1,4
environment,spatial_layout_openness,confined,1,3
environment,spatial_layout_openness,moderate,2,3
environment,spatial_layout_openness,open,5,3
environment,texture,floor total,25,33
environment,texture,matte or flat,0,33
environment,texture,smooth,0,33
environment,texture,textured,0,33
environment,texture,walls total,30,33
environment,texture,worn or weathered,0,33
environment,time_of_day_hint,afternoon,2,4
environment,time_of_day_hint,evening,3,4
environment,time_of_day_hint,night,1,4
environment,time_of_day_hint,noon,2,4
environment,walls_color,beige,1,8
environment,walls_color,black,4,8
environment,walls_color,brown,4,8
environment,walls_color,gray,2,8
environment,walls_color,midnightblue,1,8
environment,walls_color,red,3,8
environment,walls_color,snow,1,8
