cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,4,2
atmosphere,aesthetic_qualities,realistic,7,2
atmosphere,contrast_level,medium,8,2
atmosphere,dominant_palette,black,6,3
atmosphere,dominant_palette,brown,9,3
atmosphere,dominant_palette,mediumblue,5,3
atmosphere,lighting_color_temperature,cool,7,2
atmosphere,lighting_color_temperature,neutral,1,2
atmosphere,mood,calm,20,1
atmosphere,saturation_level,neutral,6,2
atmosphere,saturation_level,vivid,2,2
background,object_counts_by_position,background center,17,9
background,object_counts_by_position,background left,2,9
background,object_counts_by_position,background right,4,9
background,object_counts_by_position,foreground center,22,9
background,object_counts_by_position,foreground left,24,9
background,object_counts_by_position,foreground right,13,9
background,object_counts_by_position,midground center,18,9
background,object_counts_by_position,midground left,10,9
background,object_counts_by_position,midground right,15,9
camera,crop,centered subject,1,3
camera,crop,lower body cropped,2,3
camera,crop,mid torso,1,3
camera,depth_of_field,deep,6,3
camera,depth_of_field,moderate,5,3
camera,depth_of_field,shallow,18,3
camera,focal_length,normal,7,3
camera,focal_length,telephoto,2,3
camera,focal_length,wide,1,3
camera,framing,close up,2,7
camera,framing,establishing,1,7
camera,framing,full body,3,7
camera,framing,headshot,1,7
camera,framing,medium,18,7
camera,framing,others,0,7
camera,framing,wide,12,7
camera,perspective,eye level,16,1
environment,ceiling_material,acoustic panel,4,3
environment,ceiling_material,metal,3,3
environment,ceiling_material,plastic,1,3
environment,floor_color,beige,4,5
environment,floor_color,black,3,5
environment,floor_color,darkgreen,1,5
environment,floor_color,gray,3,5
environment,floor_color,tan,1,5
environment,floor_material,ceramic tile,8,3
environment,floor_material,linoleum,1,3
environment,floor_material,tile,1,3
environment,location_type,grocery retail aisle normalized,2,8
environment,location_type,grocery store,4,8
environment,location_type,produce aisle,1,8
environment,location_type,refrigerated grocery aisle,1,8
environment,location_type,supermarket,8,8
environment,location_type,supermarket aisle,1,8
environment,location_type,supermarket produce aisle,2,8
environment,location_type,supermarket produce section,1,8
environment,openness,enclosed,3,2
environment,openness,open,4,2
environment,spatial_depth,deep,4,3
environment,spatial_depth,medium,1,3
environment,spatial_depth,moderate,5,3
environment,spatial_layout_aisle_width,moderate,2,2
environment,spatial_layout_aisle_width,open,2,2
environment,spatial_layout_depth,deep,1,3
environment,spatial_layout_depth,medium,1,3
environment,spatial_layout_depth,moderate,7,3
environment,spatial_layout_openness,moderate,1,3
environment,spatial_layout_openness,moderately open,1,3
environment,spatial_layout_openness,open,6,3
environment,walls_color,black,1,8
environment,walls_color,blue,1,8
environment,walls_color,darkblue,1,8
environment,walls_color,darkslategrey,1,8
environment,walls_color,green,1,8
environment,walls_color,mediumpurple,1,8
environment,walls_color,orange,1,8
environment,walls_color,pink,1,8
environment,walls_material,glass,2,5
environment,walls_material,metal,2,5
environment,walls_material,painted wall,2,5
environment,walls_material,plastic,1,5
environment,walls_material,printed panel,1,5
lighting,artifacts,film like diffusion,1,27
lighting,artifacts,floor reflections,1,27
lighting,artifacts,fluorescent light reflections,1,27
lighting,artifacts,mild specular reflections glossy produce shelf glazing,1,27
lighting,artifacts,minor specular highlights metal cart chrome trim,1,27
lighting,artifacts,motion blur,2,27
lighting,artifacts,motion blur background,1,27
lighting,artifacts,motion blur peripheral,1,27
lighting,artifacts,motion blur streaking,1,27
lighting,artifacts,motion blur variants,0,27
lighting,artifacts,no film,1,27
lighting,artifacts,no lens flare,3,27
lighting,artifacts,no lens flare observed,1,27
lighting,artifacts,others,0,27
lighting,artifacts,radial motion blur,1,27
lighting,artifacts,reflections eyeglass lenses,1,27
lighting,artifacts,reflections glass,5,27
lighting,artifacts,reflections refrigerated glass,1,27
lighting,artifacts,reflections tablet screen,1,27
lighting,artifacts,soft reflections glass floor,1,27
lighting,artifacts,specular highlights chrome,1,27
lighting,artifacts,specular reflection,2,27
lighting,artifacts,specular reflections chrome,1,27
lighting,artifacts,specular reflections eyeglasses,1,27
lighting,artifacts,specular reflections glossy surfaces,1,27
lighting,artifacts,specular sheen produce,1,27
lighting,artifacts,specular variants,0,27
lighting,color_temperature,cool,14,2
lighting,color_temperature,neutral,3,2
lighting,contrast_level,high,1,2
lighting,contrast_level,medium,16,2
lighting,directionality,top,10,1
lighting,hardness,hard,1,3
lighting,hardness,medium,3,3
lighting,hardness,soft,7,3
lighting,saturation_level,neutral,12,2
lighting,saturation_level,vivid,4,2
lighting,shadows,soft,20,1
lighting,sources_count,four or more light,9,3
lighting,sources_count,light source four or more,10,3
lighting,sources_count,two light,1,3
lighting,sources_hardness,soft,10,1
lighting,sources_type,artificial,11,2
lighting,sources_type,light source artificial,10,2
objects,color,black,17,22
objects,color,blue,3,22
objects,color,brown,4,22
objects,color,crimson,9,22
objects,color,darkblue,1,22
objects,color,darkgreen,3,22
