cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,8,2
atmosphere,aesthetic_qualities,realistic,12,2
atmosphere,color,black,2,26
atmosphere,color,brown,2,26
atmosphere,color,mediumblue,4,26
atmosphere,color,orangered,1,26
atmosphere,color,per image share,0,26
atmosphere,color,within attribute share,0,26
atmosphere,color_temperature,cool,12,2
atmosphere,color_temperature,neutral,5,2
atmosphere,contrast_level,high,4,2
atmosphere,contrast_level,medium,13,2
atmosphere,dominant_palette,black,6,4
atmosphere,dominant_palette,medium blue,2,4
atmosphere,dominant_palette,orange red,1,4
atmosphere,dominant_palette,red,1,4
atmosphere,mood,calm,16,3
atmosphere,mood,joyful,2,3
atmosphere,mood,minimalistic,1,3
atmosphere,saturation_level,neutral,13,2
atmosphere,saturation_level,vivid,3,2
background,object_count_by_position_total,background center,16,9
background,object_count_by_position_total,background left,4,9
background,object_count_by_position_total,background right,5,9
background,object_count_by_position_total,foreground center,23,9
background,object_count_by_position_total,foreground left,17,9
background,object_count_by_position_total,foreground right,17,9
background,object_count_by_position_total,midground center,115,9
background,object_count_by_position_total,midground left,13,9
background,object_count_by_position_total,midground right,17,9
background,position,background center,9,9
background,position,background left,3,9
background,position,background right,1,9
background,position,foreground center,15,9
background,position,foreground left,8,9
background,position,foreground right,8,9
background,position,midground center,11,9
background,position,midground left,6,9
background,position,midground right,7,9
camera,crop,bottom merged variants,7,1
camera,depth_of_field,deep,4,8
camera,depth_of_field,deep dof,2,8
camera,depth_of_field,moderate,4,8
camera,depth_of_field,moderate dof,1,8
camera,depth_of_field,per image share,0,8
camera,depth_of_field,shallow,8,8
camera,depth_of_field,shallow dof,6,8
camera,depth_of_field,within attribute share,0,8
camera,focal_length,normal,3,5
camera,focal_length,per image share,0,5
camera,focal_length,telephoto,2,5
camera,focal_length,wide,3,5
camera,focal_length,within attribute share,0,5
camera,framing,establishing,2,5
camera,framing,full body,7,5
camera,framing,headshot,1,5
camera,framing,medium,9,5
camera,framing,wide,7,5
camera,perspective,eye level,27,3
camera,perspective,per image share,0,3
camera,perspective,within attribute share,0,3
environment,aisle_width,medium,1,2
environment,aisle_width,wide,2,2
environment,color,beige,3,26
environment,color,black,8,26
environment,color,blue,1,26
environment,color,ghostwhite,4,26
environment,color,gray,5,26
environment,color,green,14,26
environment,color,orange,15,26
environment,color,red,3,26
environment,color,silver,7,26
environment,color,white,10,26
environment,location_type,grocery store,2,4
environment,location_type,grocery supermarket canonical,7,4
environment,location_type,supermarket,6,4
environment,location_type,supermarket aisle,5,4
environment,material,acoustic ceiling tiles,3,19
environment,material,cardboard,2,19
environment,material,ceramic tile,10,19
environment,material,glass,3,19
environment,material,metal,7,19
environment,material,plastic,3,19
environment,openness,contained,1,4
environment,openness,corridor like,1,4
environment,openness,enclosed,1,4
environment,openness,open,4,4
environment,spatial_depth,deep,8,2
environment,spatial_depth,moderate,2,2
environment,spatial_layout_aisle_width,wide,1,1
environment,spatial_layout_depth,deep,3,2
environment,spatial_layout_depth,moderate,6,2
environment,spatial_layout_openness,open,4,1
environment,surfaces_ceiling_color,black,4,1
environment,surfaces_ceiling_finish,matte,6,1
environment,surfaces_ceiling_material,acoustic tiles merged variants,3,2
environment,surfaces_ceiling_material,metal,5,2
environment,surfaces_ceiling_texture,smooth,4,1
environment,surfaces_floor_color,beige,4,2
environment,surfaces_floor_color,white,2,2
environment,surfaces_floor_material,ceramic tile merged variants,10,1
environment,surfaces_floor_texture,glossy,2,2
environment,surfaces_floor_texture,smooth,8,2
environment,surfaces_walls_color,wall black,3,3
environment,surfaces_walls_color,wall darkslategrey,1,3
environment,surfaces_walls_color,wall green,1,3
environment,surfaces_walls_material,wall metal,1,3
environment,surfaces_walls_material,wall paint,1,3
environment,surfaces_walls_material,wall plastic,1,3
environment,surfaces_walls_texture,wall smooth,2,1
lighting,artifacts,background bokeh,2,16
lighting,artifacts,minimal visible,1,16
lighting,artifacts,minor specular highlights eyeglasses,1,16
lighting,artifacts,motion blur,2,16
lighting,artifacts,no lens flare,2,16
