cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,6,3
atmosphere,aesthetic_qualities,dreamy,4,3
atmosphere,aesthetic_qualities,realistic,6,3
atmosphere,color_temperature,warm,9,1
atmosphere,contrast_level,high,2,2
atmosphere,contrast_level,medium,7,2
atmosphere,dominant_palette,brown,14,5
atmosphere,dominant_palette,medium blue,3,5
atmosphere,dominant_palette,mediumblue,3,5
atmosphere,dominant_palette,orange red,1,5
atmosphere,dominant_palette,orangered,1,5
atmosphere,mood,calm,9,2
atmosphere,mood,joyful,3,2
atmosphere,saturation_level,neutral,9,1
background,object_counts_by_position,background center,8,9
background,object_counts_by_position,background left,7,9
background,object_counts_by_position,background right,6,9
background,object_counts_by_position,foreground center,23,9
background,object_counts_by_position,foreground left,17,9
background,object_counts_by_position,foreground right,14,9
background,object_counts_by_position,midground center,9,9
background,object_counts_by_position,midground left,7,9
background,object_counts_by_position,midground right,7,9
camera,crop,lower body cropped,4,5
camera,crop,lower body cropped at waist,1,5
camera,crop,lower legs cropped,2,5
camera,crop,slightly canted,1,5
camera,crop,tight waist up,1,5
camera,depth_of_field,moderate,2,2
camera,depth_of_field,shallow,18,2
camera,focal_length,telephoto,2,1
camera,framing,headshot,2,3
camera,framing,medium,18,3
camera,framing,wide,2,3
camera,perspective,eye level,6,1
environment,floor_color,black,2,6
environment,floor_color,brown,4,6
environment,floor_color,gray,1,6
environment,floor_color,green,7,6
environment,floor_color,lightblue,1,6
environment,floor_color,white,1,6
environment,floor_condition,clean,1,10
environment,floor_condition,even,2,10
environment,floor_condition,good,3,10
environment,floor_condition,intact,1,10
environment,floor_condition,manicured,1,10
environment,floor_condition,neat,1,10
environment,floor_condition,soft,1,10
environment,floor_condition,weathered,2,10
environment,floor_condition,well maintained,2,10
environment,floor_condition,worn,1,10
environment,floor_finish,matte,5,3
environment,floor_finish,rounded edge,1,3
environment,floor_finish,uniform,1,3
environment,floor_material,composite,1,9
environment,floor_material,concrete,2,9
environment,floor_material,fabric,1,9
environment,floor_material,grass,7,9
environment,floor_material,paved,1,9
environment,floor_material,paved path,1,9
environment,floor_material,paving stone,1,9
environment,floor_material,stone,1,9
environment,floor_material,wood,3,9
environment,location_type,park,9,2
environment,location_type,public park,1,2
environment,openness,medium,1,2
environment,openness,open,9,2
environment,spatial_layout_depth,medium,1,3
environment,spatial_layout_depth,moderate,2,3
environment,spatial_layout_depth,shallow,6,3
environment,time_of_day_hint,afternoon,3,1
environment,weather,clear,1,2
environment,weather,sunny,9,2
lighting,artifacts,bokeh,3,10
lighting,artifacts,bokeh lens,3,10
lighting,artifacts,circular bokeh highlights,2,10
lighting,artifacts,lens bokeh highlights,2,10
lighting,artifacts,lens flare,2,10
lighting,artifacts,mild lens flare,2,10
lighting,artifacts,mild lens glow,2,10
lighting,artifacts,mild warm lens flare,2,10
lighting,artifacts,specular metal reflections,2,10
lighting,artifacts,sun flare,2,10
lighting,color_temperature,warm,18,1
lighting,contrast_level,high,4,2
lighting,contrast_level,medium,14,2
lighting,directionality,backlight,4,2
lighting,directionality,sidelight,4,2
lighting,hardness,soft light,11,1
lighting,saturation_level,neutral,18,1
lighting,shadows,soft,10,1
lighting,sources_count,one light source,10,1
lighting,sources_type,mixed light,2,1
objects,plane,background,21,5
objects,plane,foreground,54,5
objects,plane,midground,23,5
objects,side,center,40,5
objects,side,left,31,5
objects,side,right,27,5
objects,type,accessory e g watch,1,32
objects,type,bench,3,32
objects,type,board,1,32
objects,type,bowl,3,32
objects,type,container,3,32
objects,type,cooking pan,1,32
objects,type,cooking pot lid,1,32
objects,type,counter,4,32
objects,type,display bowl,1,32
objects,type,food,1,32
objects,type,furniture,1,32
objects,type,furniture or grounds,1,32
objects,type,ground surface,1,32
objects,type,headwear,1,32
objects,type,hedge,1,32
objects,type,lamppost park lamp,1,32
objects,type,metal frame,1,32
objects,type,people blurred distant blob,1,32
objects,type,people object level,1,32
objects,type,picnic table,2,32
objects,type,produce,1,32
objects,type,shade structure umbrella,1,32
objects,type,sign post,1,32
objects,type,skillet,1,32
objects,type,structure railing etc,1,32
objects,type,table,5,32
objects,type,textile,1,32
objects,type,tool,2,32
objects,type,trash receptacle,1,32
objects,type,umbrella patio umbrella,2,32
objects,type,utensil,25,32
objects,type,vegetation plants produce,19,32
objects,utensil_color_distribution,black,3,9
objects,utensil_color_distribution,brown,15,9
objects,utensil_color_distribution,darkslategrey,2,9
objects,utensil_color_distribution,green,2,9
objects,utensil_color_distribution,lightyellow,1,9
objects,utensil_color_distribution,orange,1,9
objects,utensil_color_distribution,red,3,9
objects,utensil_color_distribution,silver,11,9
objects,utensil_color_distribution,white,2,9
objects,vegetation_color_distribution,brown,4,3
objects,vegetation_color_distribution,green,12,3
objects,vegetation_color_distribution,red,6,3
people,age_range,middle aged,5,2
people,age_range,young adult,5,2
people,clothing_color,black,10,2
people,clothing_color,white,17,2
people,clothing_garment,apron,8,13
people,clothing_garment,backpack,2,13
people,clothing_garment,casual,2,13
people,clothing_garment,chef coat,2,13
people,clothing_garment,chef jacket,16,13
people,clothing_garment,hat,2,13
people,clothing_garment,neckerchief,4,13
people,clothing_garment,pants,2,13
people,clothing_garment,shirt,2,13
people,clothing_garment,shoes,2,13
people,clothing_garment,trousers,2,13
people,clothing_garment,undershirt,2,13
people,clothing_garment,wristwatch,3,13
people,eyewear_present,no,10,1
people,facial_hair_color,black,8,5
people,facial_hair_color,brown,8,5
people,facial_hair_color,dark blue,2,5
people,facial_hair_color,darkblue,2,5
