cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,16,6
atmosphere,aesthetic_qualities,dreamy,2,6
atmosphere,aesthetic_qualities,quality cinematic,6,6
atmosphere,aesthetic_qualities,quality dreamy,3,6
atmosphere,aesthetic_qualities,quality realistic,8,6
atmosphere,aesthetic_qualities,realistic,12,6
atmosphere,color_temperature,warm,9,2
atmosphere,contrast_level,medium,9,1
atmosphere,dominant_palette,brown,20,1
atmosphere,mood,calm,30,1
atmosphere,profile_contrast_level,medium,10,1
atmosphere,profile_saturation_level,neutral,3,2
atmosphere,profile_saturation_level,vivid,6,2
atmosphere,saturation_level,vivid,8,2
atmosphere,temperature,neutral,1,2
atmosphere,temperature,warm,8,2
background,object_counts_by_position,background center,4,9
background,object_counts_by_position,background left,7,9
background,object_counts_by_position,background right,7,9
background,object_counts_by_position,foreground center,16,9
background,object_counts_by_position,foreground left,12,9
background,object_counts_by_position,foreground right,7,9
background,object_counts_by_position,midground center,14,9
background,object_counts_by_position,midground left,7,9
background,object_counts_by_position,midground right,13,9
background,position,background center,12,9
background,position,background left,9,9
background,position,background right,19,9
background,position,foreground center,23,9
background,position,foreground left,19,9
background,position,foreground right,14,9
background,position,midground center,24,9
background,position,midground left,16,9
background,position,midground right,20,9
camera,crop,book,1,15
camera,crop,bottom cropped,1,15
camera,crop,excludes lower legs footwear,1,15
camera,crop,hands,1,15
camera,crop,includes foreground rug background window,1,15
camera,crop,includes torso lap,1,15
camera,crop,left forearm partial,1,15
camera,crop,lower lap area cropped,1,15
camera,crop,lower legs cropped,3,15
camera,crop,lower legs partially out of frame,1,15
camera,crop,partial lower legs out of frame,1,15
camera,crop,right cushion area partially cropped,1,15
camera,crop,right side,1,15
camera,crop,torso,1,15
camera,crop,torso and hands included,1,15
camera,depth_of_field,deep,2,2
camera,depth_of_field,shallow,26,2
camera,focal_length,normal,7,2
camera,focal_length,telephoto,9,2
camera,framing,close up,5,4
camera,framing,headshot,2,4
camera,framing,medium,26,4
camera,framing,wide,4,4
camera,perspective,eye level,24,1
environment,location_type,domestic reading space,1,10
environment,location_type,domestic sitting area,2,10
environment,location_type,living room,15,10
environment,location_type,reading nook,1,10
environment,location_type,residential living space,2,10
environment,location_type,residential sitting area,2,10
environment,location_type,rural living area,2,10
environment,location_type,rustic living room,2,10
environment,location_type,wooden cabin interior,2,10
environment,location_type,wooden cabin reading space,1,10
environment,spatial_layout_depth,moderate,8,2
environment,spatial_layout_depth,shallow,8,2
environment,spatial_layout_openness,enclosed,6,1
environment,time_of_day_hint,afternoon,5,2
environment,time_of_day_hint,noon,2,2
environment,weather,cloudy,1,2
environment,weather,overcast,2,2
lighting,artifacts,artifact faint eyeglass reflection,1,6
lighting,artifacts,artifact mild reflection eyeglass lenses,2,6
lighting,artifacts,artifact minor specular book edges,1,6
lighting,artifacts,artifact minor specular glasses,1,6
lighting,artifacts,artifact specular highlights on leather glazed pot,1,6
lighting,artifacts,artifact subtle reflection eyeglass frames,1,6
lighting,color_temperature,neutral,2,2
lighting,color_temperature,warm,32,2
lighting,contrast_level,medium,28,1
lighting,directionality,backlight,4,3
lighting,directionality,sidelight,6,3
lighting,directionality,top light,1,3
lighting,hardness,soft,31,1
lighting,saturation_level,neutral,6,2
lighting,saturation_level,vivid,20,2
lighting,shadows,casting,2,2
lighting,shadows,soft,38,2
lighting,sources_count,four or more,1,4
lighting,sources_count,one,10,4
lighting,sources_count,one source,5,4
lighting,sources_count,two,2,4
lighting,sources_type,artificial light,1,3
lighting,sources_type,light source artificial,2,3
lighting,sources_type,mixed,1,3
objects,plane,background,62,6
objects,plane,foreground,77,6
objects,plane,midground,86,6
objects,side,center,84,7
objects,side,left,62,7
objects,side,right,79,7
objects,type,appliance,1,55
objects,type,architecture,8,55
objects,type,armchair,1,55
objects,type,bird shaped,1,55
objects,type,blurred exterior vegetation,1,55
objects,type,book,14,55
objects,type,bookcase,47,55
objects,type,bookshelf,3,55
objects,type,boots,2,55
objects,type,bowls,1,55
objects,type,couch,4,55
objects,type,curtain panel,1,55
objects,type,cushion,1,55
objects,type,decor,4,55
objects,type,decorative bowl,1,55
objects,type,decorative pillow,1,55
objects,type,footwear,2,55
objects,type,framed artwork,2,55
objects,type,furniture,22,55
objects,type,furniture sofa subtype mapping exists,13,55
objects,type,glass jar,2,55
objects,type,hanging potted plant,1,55
objects,type,hat,8,55
objects,type,indistinct,1,55
objects,type,labeled cylindrical container,1,55
objects,type,multi pane window,2,55
objects,type,object,6,55
objects,type,open storage shelf,1,55
objects,type,plant,12,55
objects,type,potted houseplant,1,55
objects,type,potted leafy plant,1,55
objects,type,potted plant,9,55
objects,type,rectangular multi pane,1,55
objects,type,rubber boots,1,55
objects,type,sculpture,1,55
objects,type,shelf,6,55
objects,type,shoe,1,55
objects,type,sofa,17,55
objects,type,storage,4,55
objects,type,straw bundle,1,55
objects,type,straw cowboy hat,1,55
objects,type,straw hat,2,55
objects,type,table,4,55
objects,type,terra cotta pieces,1,55
objects,type,textile,14,55
objects,type,throw blanket,5,55
objects,type,tin canisters,1,55
objects,type,vertical wooden planks,1,55
objects,type,wall lamp,1,55
objects,type,wallpaper,1,55
objects,type,wicker baskets,1,55
objects,type,window,12,55
objects,type,window array,1,55
objects,type,wooden utensils,1,55
objects,type,woven baskets,2,55
people,age_range,middle aged,1,2
people,age_range,older adult,18,2
people,eyewear_frame_color,black,3,3
people,eyewear_frame_color,dark blue,1,3
people,eyewear_frame_color,silver,6,3
people,eyewear_present,no,8,2
people,eyewear_present,yes,11,2
people,eyewear_type,eyeglasses,2,5
people,eyewear_type,reading glasses,4,5
people,eyewear_type,rectangular,4,5
people,eyewear_type,rectangular metal rimmed,1,5
people,eyewear_type,rectangular reading glasses,1,5
people,facial_hair_color,black,2,4
people,facial_hair_color,gray,6,4
people,facial_hair_color,tomato reddish,1,4
people,facial_hair_color,white,2,4
people,facial_hair_present,no,4,2
people,facial_hair_present,yes,12,2
people,facial_hair_style,beard,3,6
people,facial_hair_style,full beard,1,6
people,facial_hair_style,moustache,5,6
people,facial_hair_style,short beard,1,6
people,facial_hair_style,sideburns,1,6
people,facial_hair_style,stubble,2,6
people,gaze_direction,center,1,4
people,gaze_direction,down,10,4
people,gaze_direction,left,2,4
people,gaze_direction,up,5,4
people,gender_presentation,male,19,1
people,hair_color,black,2,3
people,hair_color,gray,15,3
people,hair_color,white,4,3
people,hair_present,yes,17,1
people,hair_style,shaved,1,2
people,hair_style,short,17,2
people,head_covering_color,black,1,7
people,head_covering_color,brown,1,7
people,head_covering_color,dark gray,1,7
people,head_covering_color,dark violet,1,7
people,head_covering_color,olive drab,2,7
people,head_covering_color,tan,2,7
people,head_covering_color,tomato,2,7
people,head_covering_present,no,2,2
people,head_covering_present,yes,17,2
people,head_covering_type,baseball cap,1,9
people,head_covering_type,cowboy hat,1,9
people,head_covering_type,fedora,1,9
people,head_covering_type,felt hat,1,9
people,head_covering_type,flat cap,1,9
people,head_covering_type,straw hat,7,9
people,head_covering_type,wide brim woven hat,1,9
people,head_covering_type,wide brimmed hat,2,9
people,head_covering_type,wide brimmed straw hat,1,9
people,occlusions,occlusion partial,10,2
people,occlusions,partial occlusion,9,2
people,orientation,front,4,2
people,orientation,three quarter,3,2
people,pose,crossed legs,1,6
people,pose,reclined,3,6
people,pose,relaxed,4,6
people,pose,seated,8,6
people,pose,slightly forward leaning,5,6
people,pose,upright,1,6
people,role_hint,appears to be rural outdoors worker,1,1
people,skin_tone,light,18,2
people,skin_tone,medium,1,2
safety,hazards,no observed,8,1
safety,nsfw,no content,9,1
