cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,6,3
atmosphere,aesthetic_qualities,dreamy,8,3
atmosphere,aesthetic_qualities,realistic,8,3
atmosphere,color_temperature,warm,18,1
atmosphere,contrast_level,medium,18,2
atmosphere,dominant_palette,black,1,7
atmosphere,dominant_palette,brown,19,7
atmosphere,dominant_palette,medium blue,1,7
atmosphere,dominant_palette,medium violet red,2,7
atmosphere,dominant_palette,mediumvioletred,4,7
atmosphere,dominant_palette,orange red,2,7
atmosphere,dominant_palette,purple,2,7
atmosphere,mood,calm,17,2
atmosphere,mood,joyful,8,2
atmosphere,saturation_level,neutral,16,2
background,object_counts_by_position,background center,17,9
background,object_counts_by_position,background left,11,9
background,object_counts_by_position,background right,18,9
background,object_counts_by_position,foreground center,40,9
background,object_counts_by_position,foreground left,23,9
background,object_counts_by_position,foreground right,12,9
background,object_counts_by_position,midground center,31,9
background,object_counts_by_position,midground left,23,9
background,object_counts_by_position,midground right,17,9
camera,crop,bottom cropped,1,8
camera,crop,feet visible,1,8
camera,crop,full body vertical,1,8
camera,crop,lower body cropped near apron hem,1,8
camera,crop,lower leg slightly cropped,1,8
camera,crop,skirt hem slightly cropped,1,8
camera,crop,some negative space left,1,8
camera,crop,subject left center,1,8
camera,depth_of_field,deep,6,3
camera,depth_of_field,moderate,5,3
camera,depth_of_field,shallow,18,3
camera,focal_length,normal,9,3
camera,focal_length,telephoto,1,3
camera,focal_length,wide,1,3
camera,framing,close up,1,5
camera,framing,establishing,2,5
camera,framing,full body,17,5
camera,framing,medium,12,5
camera,framing,wide,4,5
camera,perspective,eye level,16,2
camera,perspective,low angle,1,2
environment,floor_material,beach brick or brick,1,11
environment,floor_material,brick,1,11
environment,floor_material,clay brick,2,11
environment,floor_material,compacted soil,1,11
environment,floor_material,concrete,1,11
environment,floor_material,concrete or asphalt,1,11
environment,floor_material,dirt,1,11
environment,floor_material,grass,9,11
environment,floor_material,gravel,1,11
environment,floor_material,paved pathway,1,11
environment,floor_material,stone,3,11
environment,location_type,formal park,1,6
environment,location_type,park,9,6
environment,location_type,park pavilion,1,6
environment,location_type,public garden,1,6
environment,location_type,public park,5,6
environment,location_type,urban park,3,6
environment,openness,moderate,2,2
environment,openness,open,18,2
environment,spatial_layout_depth,deep,5,3
environment,spatial_layout_depth,moderate,13,3
environment,spatial_layout_depth,open,2,3
environment,surface_colors,beige,3,10
environment,surface_colors,brown,3,10
environment,surface_colors,firebrick,1,10
environment,surface_colors,gray,8,10
environment,surface_colors,green,10,10
environment,surface_colors,lightblue,1,10
environment,surface_colors,lightgray,1,10
environment,surface_colors,lightgreen,1,10
environment,surface_colors,pink,1,10
environment,surface_colors,white,3,10
environment,surface_materials,brick,1,12
environment,surface_materials,cladding,1,12
environment,surface_materials,concrete,2,12
environment,surface_materials,foliage,1,12
environment,surface_materials,masonry,1,12
environment,surface_materials,mulch,1,12
environment,surface_materials,paint,1,12
environment,surface_materials,soil plants,1,12
environment,surface_materials,stacked stone,1,12
environment,surface_materials,stone,1,12
environment,surface_materials,stone or concrete,11,12
environment,surface_materials,turf,10,12
environment,time_of_day_hint,afternoon,3,3
environment,time_of_day_hint,morning,1,3
environment,time_of_day_hint,noon,1,3
environment,weather,clear,2,2
environment,weather,sunny,17,2
lighting,artifacts,background bokeh,3,20
lighting,artifacts,bloom,2,20
lighting,artifacts,bokeh,1,20
lighting,artifacts,dappled highlights,1,20
lighting,artifacts,gentle bloom,1,20
lighting,artifacts,haze,1,20
lighting,artifacts,lens flare,2,20
lighting,artifacts,lens flare starburst,1,20
lighting,artifacts,lens flare veiling,1,20
lighting,artifacts,lens glow,1,20
lighting,artifacts,mild bloom overexposed sky,1,20
lighting,artifacts,mild highlight bloom,1,20
lighting,artifacts,motion blur lower left shoe,1,20
lighting,artifacts,slight blooming,2,20
lighting,artifacts,soft edge highlights,1,20
lighting,artifacts,specular bokeh highlights,1,20
lighting,artifacts,starburst,1,20
lighting,artifacts,subtle reflective highlights metal,1,20
lighting,artifacts,sun flare streaks,1,20
lighting,artifacts,sunstar flare,1,20
lighting,color_temperature,warm,30,1
lighting,contrast_level,high,8,2
lighting,contrast_level,medium,21,2
lighting,directionality,backlight,10,5
lighting,directionality,side light,1,5
lighting,directionality,sidelight,1,5
lighting,directionality,top light,1,5
lighting,directionality,toplight,2,5
lighting,hardness,hard light,1,4
lighting,hardness,medium,3,4
lighting,hardness,soft,10,4
lighting,hardness,soft light,6,4
