cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,9,3
atmosphere,aesthetic_qualities,dreamy,1,3
atmosphere,aesthetic_qualities,realistic,16,3
atmosphere,color,black,4,23
atmosphere,color,brown,1,23
atmosphere,color,cyan,1,23
atmosphere,color,mediumblue,2,23
atmosphere,color,mediumvioletred,1,23
atmosphere,color,red,1,23
atmosphere,color_temperature,cool,14,3
atmosphere,color_temperature,neutral,4,3
atmosphere,color_temperature,warm,1,3
atmosphere,contrast_level,high,2,2
atmosphere,contrast_level,medium,17,2
atmosphere,dominant_palette,black,12,7
atmosphere,dominant_palette,brown,5,7
atmosphere,dominant_palette,cyan,1,7
atmosphere,dominant_palette,medium blue,2,7
atmosphere,dominant_palette,medium violet red,1,7
atmosphere,dominant_palette,mediumblue,8,7
atmosphere,dominant_palette,red,1,7
atmosphere,mood,calm,17,2
atmosphere,mood,minimalistic,1,2
atmosphere,saturation_level,neutral,14,2
atmosphere,saturation_level,vivid,5,2
background,object_counts_by_position,background center,5,8
background,object_counts_by_position,background left,1,8
background,object_counts_by_position,foreground center,12,8
background,object_counts_by_position,foreground left,8,8
background,object_counts_by_position,foreground right,7,8
background,object_counts_by_position,midground center,12,8
background,object_counts_by_position,midground left,5,8
background,object_counts_by_position,midground right,5,8
camera,crop,full upper body with cart visible,1,7
camera,crop,head to toe,1,7
camera,crop,lower legs cropped,1,7
camera,crop,lower legs partially cropped,1,7
camera,crop,mid thigh,1,7
camera,crop,peripheral shelving cropped left right,1,7
camera,crop,slight lower right caster,1,7
camera,depth_of_field,deep,2,4
camera,depth_of_field,moderate dof,2,4
camera,depth_of_field,shallow,8,4
camera,depth_of_field,shallow dof,8,4
camera,focal_length,normal,6,3
camera,focal_length,telephoto,4,3
camera,focal_length,wide,3,3
camera,framing,establishing,3,4
camera,framing,full body,6,4
camera,framing,medium,10,4
camera,framing,wide,6,4
camera,perspective,eye level,17,1
environment,aisle_width,medium,2,4
environment,aisle_width,moderately wide,1,4
environment,aisle_width,open very wide,1,4
environment,aisle_width,wide,1,4
environment,ceiling_color,black,1,4
environment,ceiling_color,gray,3,4
environment,ceiling_color,palegreen,1,4
environment,ceiling_color,white,15,4
environment,ceiling_material,acoustic,1,11
environment,ceiling_material,acoustic grid panels,1,11
environment,ceiling_material,acoustic panels,2,11
environment,ceiling_material,acoustic tile,2,11
environment,ceiling_material,composite,1,11
environment,ceiling_material,drop tiles,1,11
environment,ceiling_material,metal,1,11
environment,ceiling_material,metal grid,1,11
environment,ceiling_material,panel,1,11
environment,ceiling_material,plastic diffusers,1,11
environment,ceiling_material,suspended,1,11
environment,ceiling_texture,grid,2,6
environment,ceiling_texture,grid patterned,1,6
