cohort,standardized_dimension,standardized_label,count,bins
atmosphere,color,black,2,18
atmosphere,color,brown,8,18
atmosphere,dominant_palette,black,4,3
atmosphere,dominant_palette,brown,24,3
atmosphere,dominant_palette,mediumblue,2,3
atmosphere,lighting_profile_aesthetic_qualities,cinematic,13,4
atmosphere,lighting_profile_aesthetic_qualities,dreamy,3,4
atmosphere,lighting_profile_aesthetic_qualities,minimal,2,4
atmosphere,lighting_profile_aesthetic_qualities,realistic,17,4
atmosphere,lighting_profile_color_temperature,cool,14,3
atmosphere,lighting_profile_color_temperature,neutral,5,3
atmosphere,lighting_profile_color_temperature,warm,2,3
atmosphere,lighting_profile_contrast_level,medium,21,1
atmosphere,lighting_profile_saturation_level,neutral,17,2
atmosphere,lighting_profile_saturation_level,vivid,4,2
atmosphere,mood,calm,20,2
atmosphere,mood,joyful,2,2
atmosphere,mood_distribution,calm,10,2
atmosphere,mood_distribution,joyful,2,2
background,object_counts_by_position,background center,25,9
background,object_counts_by_position,background left,12,9
background,object_counts_by_position,background right,5,9
background,object_counts_by_position,foreground center,50,9
background,object_counts_by_position,foreground left,25,9
background,object_counts_by_position,foreground right,22,9
background,object_counts_by_position,midground center,19,9
background,object_counts_by_position,midground left,15,9
background,object_counts_by_position,midground right,21,9
background,position_totals,background center,9,9
background,position_totals,background left,4,9
background,position_totals,background right,5,9
background,position_totals,foreground center,10,9
background,position_totals,foreground left,9,9
background,position_totals,foreground right,10,9
background,position_totals,midground center,7,9
background,position_totals,midground left,5,9
background,position_totals,midground right,5,9
camera,crop,bottom cropped,1,8
camera,crop,bottom edge cropped,1,8
camera,crop,cart base cropped,1,8
camera,crop,lower body cropped,1,8
camera,crop,lower legs footwear cropped by bottom edge,1,8
camera,crop,lower right leg partially cropped by bottom edge,1,8
camera,crop,right shoe partial,1,8
camera,crop,right side produce bin partially cropped,1,8
camera,depth_of_field,moderate,8,2
camera,depth_of_field,shallow,32,2
camera,focal_length,normal,8,3
camera,focal_length,telephoto,6,3
camera,focal_length,wide,4,3
camera,framing,close up,2,6
camera,framing,establishing,2,6
camera,framing,full body,4,6
camera,framing,headshot,2,6
camera,framing,medium,30,6
camera,framing,wide,10,6
camera,perspective,eye level,30,1
environment,aisle_width,moderate,1,2
environment,aisle_width,wide,2,2
environment,ceiling_color,black,2,5
environment,ceiling_color,darkblue,1,5
environment,ceiling_color,gray,1,5
environment,ceiling_color,mediumpurple,1,5
environment,ceiling_color,white,8,5
environment,ceiling_condition,clean,2,8
environment,ceiling_condition,good,3,8
environment,ceiling_condition,intact,1,8
environment,ceiling_condition,maintained,1,8
environment,ceiling_condition,minor discoloration,1,8
environment,ceiling_condition,pristine,1,8
environment,ceiling_condition,slightly discolored,1,8
environment,ceiling_condition,well maintained,1,8
environment,ceiling_finish,matte,8,2
environment,ceiling_finish,reflective,1,2
environment,ceiling_material,acoustic panel,1,9
environment,ceiling_material,acoustic tile,2,9
environment,ceiling_material,diffuser,1,9
environment,ceiling_material,diffuser panels,1,9
environment,ceiling_material,metal,4,9
environment,ceiling_material,painted surface,1,9
environment,ceiling_material,plastic,1,9
environment,ceiling_material,suspended acoustic panels,1,9
