cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,1,2
atmosphere,aesthetic_qualities,realistic,4,2
atmosphere,color,black,8,21
atmosphere,color,brown,1,21
atmosphere,color,red,1,21
atmosphere,color_temperature,cool,6,2
atmosphere,color_temperature,neutral,3,2
atmosphere,contrast_level,medium,9,1
atmosphere,dominant_palette,black,8,3
atmosphere,dominant_palette,brown,1,3
atmosphere,dominant_palette,red,1,3
atmosphere,mood,calm,10,1
atmosphere,saturation_level,neutral,8,2
atmosphere,saturation_level,vivid,1,2
background,object_counts_by_position,background center,11,9
background,object_counts_by_position,background left,3,9
background,object_counts_by_position,background right,5,9
background,object_counts_by_position,foreground center,12,9
background,object_counts_by_position,foreground left,12,9
background,object_counts_by_position,foreground right,6,9
background,object_counts_by_position,midground center,4,9
background,object_counts_by_position,midground left,5,9
background,object_counts_by_position,midground right,3,9
camera,crop,centered midground,1,4
camera,crop,cropped image right,1,4
camera,crop,lower legs cropped,3,4
camera,crop,lower legs partially cropped,1,4
camera,depth_of_field,deep,4,3
camera,depth_of_field,moderate,8,3
camera,depth_of_field,shallow,6,3
camera,focal_length,normal,3,2
camera,focal_length,telephoto,1,2
camera,framing,close up,2,6
camera,framing,establishing,4,6
camera,framing,full body,2,6
camera,framing,headshot,2,6
camera,framing,medium,18,6
camera,framing,wide,4,6
camera,perspective,eye level,18,1
environment,aisle_width,medium,1,2
environment,aisle_width,wide,2,2
environment,ceiling_color,gray,2,2
environment,ceiling_color,white,7,2
environment,ceiling_condition,clean,4,2
environment,ceiling_condition,in good,2,2
environment,ceiling_material,acoustic panel variants,3,4
environment,ceiling_material,metal,4,4
environment,ceiling_material,plastic diffuser,2,4
environment,ceiling_material,suspended panels,2,4
environment,color,beige,7,21
environment,color,black,6,21
environment,color,darkblue,1,21
environment,color,deepskyblue,1,21
environment,color,gray,3,21
environment,color,lightblue,2,21
environment,color,lightgreen,1,21
environment,color,white,9,21
environment,floor_color,beige,5,5
environment,floor_color,gray,1,5
environment,floor_color,light blue,2,5
environment,floor_color,light green,1,5
environment,floor_color,white,1,5
environment,floor_condition,clean,8,1
environment,floor_material,ceramic tile,8,2
environment,floor_material,vinyl,2,2
environment,floor_texture,smooth,9,1
environment,location_type,grocery store,1,5
environment,location_type,grocery store produce aisle,1,5
environment,location_type,supermarket,6,5
environment,location_type,supermarket aisle,1,5
environment,location_type,supermarket produce department,1,5
environment,material,ceramic tile,8,14
environment,material,metal,33,14
environment,material,paint,4,14
environment,material,plastic diffuser,2,14
environment,material,printed paper or plastic,0,14
environment,material,vinyl,2,14
environment,openness,enclosed,1,3
environment,openness,moderate,3,3
environment,openness,open,2,3
environment,spatial_depth,deep,4,3
environment,spatial_depth,moderate,5,3
environment,spatial_depth,shallow,1,3
environment,walls_color,wall beige,2,4
environment,walls_color,wall black,2,4
environment,walls_color,wall dark blue,1,4
environment,walls_color,wall deepsky blue,1,4
environment,walls_condition,clean,1,3
environment,walls_condition,even,1,3
environment,walls_condition,in good,2,3
environment,walls_finish,matte,4,1
environment,walls_material,paint,4,1
environment,walls_texture,smooth,4,1
lighting,artifacts,minimal visible compression,1,8
lighting,artifacts,reflections on chrome cart wires,1,8
lighting,artifacts,reflections on glossy packaged goods,1,8
lighting,artifacts,slight focus softening upper left,1,8
lighting,artifacts,specular highlight on hat visor badge,1,8
lighting,artifacts,specular highlights apples metal basket,1,8
lighting,artifacts,specular reflections on clear plastic packaging,1,8
lighting,artifacts,specular reflections on floor,2,8
lighting,color_temperature,cool,12,2
lighting,color_temperature,neutral,6,2
lighting,contrast_level,medium,18,1
lighting,directionality,top,10,1
lighting,hardness,soft,10,1
lighting,saturation_level,neutral,16,2
lighting,saturation_level,vivid,2,2
lighting,shadows,soft,10,1
lighting,sources,artificial,10,4
lighting,sources,four or more,8,4
lighting,sources,soft,10,4
lighting,sources,toplight,10,4
lighting,sources_count,four or more,8,1
lighting,sources_type,artificial light,10,1
objects,color,beige,1,21
objects,color,black,7,21
objects,color,blue,1,21
objects,color,brown,6,21
objects,color,crimson,6,21
objects,color,darkblue,1,21
objects,color,darkgreen,3,21
objects,color,darkslategrey,1,21
objects,color,gray,9,21
objects,color,green,14,21
objects,color,mediumblue,2,21
objects,color,mediumvioletred,2,21
objects,color,orange,8,21
objects,color,palegreen,2,21
objects,color,red,7,21
objects,color,silver,5,21
objects,color,white,16,21
objects,color,yellow,4,21
objects,material,ceramic tile,1,14
objects,material,embroidered fabric,1,14
objects,material,glass,3,14
objects,material,mesh plastic,1,14
objects,material,metal,33,14
objects,material,plastic clamshell,1,14
objects,material,polyethylene,1,14
objects,material,powder coated metal,0,14
objects,material,printed paper or plastic,29,14
objects,material,rigid board,1,14
objects,material,vegetable,10,14
objects,type,aisle shelves,1,28
objects,type,assorted produce cluster,1,28
objects,type,badge,1,28
objects,type,bagged produce,1,28
objects,type,bundled produce,1,28
objects,type,ceiling fixture,2,28
objects,type,fixture,4,28
objects,type,floor area,2,28
objects,type,fruit cluster,2,28
objects,type,grocery bag,2,28
objects,type,grocery shelving,4,28
objects,type,header sign,1,28
objects,type,holding shopping basket,2,28
objects,type,overhead sign,1,28
objects,type,patch shoulder,1,28
objects,type,produce bag,1,28
objects,type,produce bin,1,28
objects,type,produce cluster,2,28
objects,type,produce display,2,28
objects,type,produce items,2,28
objects,type,produce pile,1,28
objects,type,produce shelf,1,28
objects,type,produce shelving,5,28
objects,type,refrigerated display,2,28
objects,type,retail shelving,4,28
objects,type,shelving generic,6,28
objects,type,shelving unit,1,28
objects,type,shopping cart,4,28
people,activities,grasping small red apple right hand,1,5
people,activities,holding shopping basket,5,5
people,activities,oriented toward display shelf,4,5
people,activities,standing near shopping cart,2,5
people,activities,walking down aisle,2,5
people,age_range,middle aged,1,2
people,age_range,young adult,10,2
people,clothing_color,black,25,3
people,clothing_color,blue,26,3
people,clothing_color,white,1,3
people,clothing_material,cotton blend,1,10
people,clothing_material,durable fabric,2,10
people,clothing_material,fabric,6,10
people,clothing_material,leather,16,10
people,clothing_material,plastic,6,10
people,clothing_material,polyester,8,10
people,clothing_material,polymer,1,10
people,clothing_material,rubber,1,10
people,clothing_material,synthetic,2,10
people,clothing_material,woven fabric,4,10
people,eyewear_present,no,13,1
people,facial_hair_present,no,12,1
people,gaze_direction,down,5,2
people,gaze_direction,right,2,2
people,gender_presentation,female,1,2
people,gender_presentation,male,12,2
people,hair_color,black,3,3
people,hair_color,brown,9,3
people,hair_color,pink,1,3
people,hair_present,yes,13,1
people,hair_style,short,11,2
people,hair_style,updo,1,2
people,head_covering_color,black,1,4
people,head_covering_color,blue,6,4
people,head_covering_color,silver,1,4
people,head_covering_color,white,2,4
people,head_covering_present,yes,13,1
people,head_covering_type,peaked cap variants,9,1
people,occlusions,partial occlusion,13,1
people,orientation,back facing,3,3
people,orientation,front facing,2,3
people,orientation,three quarter,3,3
people,pose,alert standing,1,15
people,pose,forward facing,1,15
people,pose,mid stride,1,15
people,pose,neutral posture,1,15
people,pose,purposeful,1,15
people,pose,reaching,1,15
people,pose,relaxed,1,15
people,pose,slightly forward leaning,3,15
people,pose,slightly turned,1,15
people,pose,standing,1,15
people,pose,steady,1,15
people,pose,three quarter portrait framing,1,15
people,pose,two handed holding,1,15
people,pose,upright,11,15
people,pose,walking,3,15
people,role_hint,police law enforcement officer normalized,10,1
people,skin_tone,light,12,2
people,skin_tone,medium,1,2
safety,hazards,baton or flashlight visible,1,4
safety,hazards,firearm visible,1,4
safety,hazards,holstered object on duty belt,1,4
safety,hazards,no observed,7,4
texts,content,text 24 fran,1,4
texts,content,text 3,1,4
texts,content,text pai,1,4
texts,content,text popolice,5,4
texts,font_style,all caps,2,6
texts,font_style,block,4,6
texts,font_style,bold,6,6
texts,font_style,condensed,2,6
texts,font_style,cursive,2,6
texts,font_style,sans,14,6
texts,legibility,illegible unreadable merged,10,3
texts,legibility,legible,6,3
texts,legibility,partially legible,2,3
texts,plane,background,10,6
texts,plane,foreground,3,6
texts,plane,midground,5,6
texts,plane,text background,10,6
texts,plane,text foreground,3,6
texts,plane,text midground,5,6
texts,side,center,9,6
texts,side,left,5,6
texts,side,right,4,6
texts,side,text center,9,6
texts,side,text left,5,6
texts,side,text right,4,6
uncertainty,token,approximate counts e g 20 30,1,20
uncertainty,token,approximate counts for produce items due to occlusion,1,20
uncertainty,token,background center overhead sign text illegible due to blur,1,20
uncertainty,token,background items indistinct due to dof,1,20
uncertainty,token,background right partial word pai incomplete,1,20
uncertainty,token,badge hat text partially occluded illegible,1,20
uncertainty,token,certain categorical tokens flagged as raw descriptions uncertain mapping,1,20
uncertainty,token,distant figures shoppers insufficient detail,1,20
uncertainty,token,distant shelf top packaged items indistinct long,27,20
uncertainty,token,duty belt contents not identifiable occluded,1,20
uncertainty,token,embroidered badge text too small to transcribe,10,20
uncertainty,token,exact counts for citrus broccoli approximate 20 30 8 12,1,20
uncertainty,token,exact vegetable type possible broccoli uncertain,1,20
uncertainty,token,facial features expressions not visible due to rear facing orientation,1,20
uncertainty,token,grocery bag contents ambiguous,1,20
uncertainty,token,lower body partially occluded by cart,1,20
uncertainty,token,lower legs footwear occluded or cropped,4,20
uncertainty,token,minor soft blur in far background,1,20
uncertainty,token,specific product types yellow items not verifiable,1,20
uncertainty,token,upper left ceiling slight motion focus softening,1,20
