cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,10,4
atmosphere,aesthetic_qualities,dreamy,2,4
atmosphere,aesthetic_qualities,gritty,1,4
atmosphere,aesthetic_qualities,realistic,9,4
atmosphere,color_temperature,cool,6,3
atmosphere,color_temperature,neutral,1,3
atmosphere,color_temperature,warm,3,3
atmosphere,contrast_level,high,7,2
atmosphere,contrast_level,medium,3,2
atmosphere,dominant_palette,black,4,7
atmosphere,dominant_palette,brown,10,7
atmosphere,dominant_palette,cyan,2,7
atmosphere,dominant_palette,medium blue,1,7
atmosphere,dominant_palette,medium violet red,1,7
atmosphere,dominant_palette,mediumblue,1,7
atmosphere,dominant_palette,mediumvioletred,1,7
atmosphere,mood,dramatic,6,2
atmosphere,mood,tense,4,2
atmosphere,saturation_level,neutral,6,2
atmosphere,saturation_level,vivid,4,2
background,object_counts_by_position,background center,9,8
background,object_counts_by_position,background left,5,8
background,object_counts_by_position,foreground center,14,8
background,object_counts_by_position,foreground left,5,8
background,object_counts_by_position,foreground right,5,8
background,object_counts_by_position,midground center,9,8
background,object_counts_by_position,midground left,3,8
background,object_counts_by_position,midground right,2,8
camera,depth_of_field,shallow,20,1
camera,focal_length,normal,1,3
camera,focal_length,telephoto,2,3
camera,focal_length,wide,1,3
camera,framing,close up,6,4
camera,framing,full body,1,4
camera,framing,headshot,1,4
camera,framing,medium,6,4
camera,perspective,eye level,6,2
camera,perspective,low angle,10,2
environment,location_type,athletic stadium interior,1,7
environment,location_type,athletics competition area,1,7
environment,location_type,gym,2,7
environment,location_type,outdoor athletics facility,1,7
environment,location_type,outdoor sports facility,1,7
environment,location_type,sports stadium,1,7
environment,location_type,stadium,3,7
environment,openness,enclosed,1,2
environment,openness,open,8,2
environment,spatial_layout_depth,deep,5,3
environment,spatial_layout_depth,moderate,1,3
environment,spatial_layout_depth,shallow,4,3
environment,weather,overcast,1,2
environment,weather,sunny,1,2
lighting,artifacts,bloom,1,12
lighting,artifacts,bokeh,2,12
lighting,artifacts,glare,1,12
lighting,artifacts,glare around floodlights,1,12
lighting,artifacts,halation,1,12
lighting,artifacts,lens bloom,1,12
lighting,artifacts,mild window reflection,1,12
lighting,artifacts,motion blur,2,12
lighting,artifacts,particle spray,1,12
lighting,artifacts,small red lens flare lower right foreground,1,12
lighting,artifacts,specular highlights,2,12
lighting,artifacts,specular sheen skin,1,12
lighting,color_temperature,cool,12,3
lighting,color_temperature,neutral,2,3
lighting,color_temperature,warm,6,3
lighting,contrast_level,high,7,2
lighting,contrast_level,medium,3,2
lighting,directionality,backlight,3,2
lighting,directionality,top light,4,2
lighting,hardness,hard light,2,3
lighting,hardness,medium,4,3
lighting,hardness,soft light,4,3
lighting,saturation_level,neutral,6,2
lighting,saturation_level,vivid,4,2
lighting,shadows,casting,2,4
lighting,shadows,hard,2,4
lighting,shadows,medium,2,4
lighting,shadows,soft,5,4
lighting,sources_count,four or more,4,3
lighting,sources_count,one source,4,3
lighting,sources_count,two,1,3
lighting,sources_type,artificial light,8,1
objects,plane,background,15,6
objects,plane,foreground,24,6
objects,plane,midground,14,6
objects,side,center,32,3
objects,side,left,13,3
objects,side,right,7,3
objects,type,accessory,1,53
objects,type,apparel detail,1,53
objects,type,architectural element,1,53
objects,type,architectural feature,1,53
objects,type,architecture,2,53
objects,type,background,2,53
objects,type,ball,1,53
objects,type,body part,1,53
objects,type,bokeh highlights,1,53
