cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,1,2
atmosphere,aesthetic_qualities,realistic,6,2
atmosphere,color_temperature,cool,2,3
atmosphere,color_temperature,neutral,3,3
atmosphere,color_temperature,warm,1,3
atmosphere,contrast_level,medium,6,1
atmosphere,dominant_palette,black,4,3
atmosphere,dominant_palette,brown,5,3
atmosphere,dominant_palette,cyan,1,3
atmosphere,mood,calm,10,1
atmosphere,saturation_level,neutral,2,2
atmosphere,saturation_level,vivid,4,2
background,object_counts_by_position,background center,8,9
background,object_counts_by_position,background left,7,9
background,object_counts_by_position,background right,2,9
background,object_counts_by_position,foreground center,8,9
background,object_counts_by_position,foreground left,10,9
background,object_counts_by_position,foreground right,13,9
background,object_counts_by_position,midground center,14,9
background,object_counts_by_position,midground left,6,9
background,object_counts_by_position,midground right,12,9
camera,crop,lower body out of frame,1,7
camera,crop,lower torso legs cropped,1,7
camera,crop,mid body,1,7
camera,crop,midground center subject slightly right pole,1,7
camera,crop,rightmost seatback partially cropped,1,7
camera,crop,standard,1,7
camera,crop,upper torso,1,7
camera,depth_of_field,deep,1,3
camera,depth_of_field,moderate,3,3
camera,depth_of_field,shallow,4,3
camera,focal_length,normal,1,2
camera,focal_length,telephoto,1,2
camera,framing,close up,1,4
camera,framing,headshot,1,4
camera,framing,medium,5,4
camera,framing,wide,2,4
camera,perspective,eye level,8,1
environment,aisle_width,moderate,1,1
environment,color,black,10,18
environment,color,blue,5,18
environment,color,brown,2,18
environment,color,crimson,1,18
environment,color,darkblue,5,18
environment,color,darkslateblue,1,18
environment,color,darkslategrey,1,18
environment,color,gray,11,18
environment,color,green,3,18
environment,color,orange,2,18
environment,color,palegreen,1,18
environment,color,pink,3,18
environment,color,silver,1,18
environment,color,skyblue,1,18
environment,color,teal,1,18
environment,color,violet,1,18
environment,color,white,12,18
environment,color,yellow,6,18
environment,condition,bright,1,16
environment,condition,clean,6,16
environment,condition,good,4,16
environment,condition,intact,14,16
environment,condition,legible poorly,1,16
environment,condition,lightly aged,2,16
environment,condition,maintained,1,16
environment,condition,minor discoloration,1,16
environment,condition,minor surface marks,1,16
environment,condition,minor wear,12,16
environment,condition,partially occluded,1,16
environment,condition,serviceable,1,16
environment,condition,small scuff marks,1,16
environment,condition,used,8,16
environment,condition,weathered,2,16
environment,condition,working appearance,1,16
environment,depth,deep,1,5
environment,depth,medium,1,5
environment,depth,moderate,4,5
environment,depth,shallow,3,5
environment,depth,shallow moderate,1,5
environment,finish,behind clear plastic,1,14
environment,finish,clear,1,14
environment,finish,glossy,10,14
environment,finish,matte,11,14
environment,finish,opaque,1,14
environment,finish,painted,6,14
environment,finish,painted glossy,0,14
environment,finish,polished,1,14
environment,finish,reflective,5,14
environment,finish,reflective interior,1,14
