cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,1,3
atmosphere,aesthetic_qualities,minimal,1,3
atmosphere,aesthetic_qualities,realistic,8,3
atmosphere,color_temperature,cool,2,3
atmosphere,color_temperature,neutral,4,3
atmosphere,color_temperature,warm,2,3
atmosphere,contrast_level,medium,9,1
atmosphere,dominant_palette,black,4,2
atmosphere,dominant_palette,brown,6,2
atmosphere,mood,calm,10,1
atmosphere,saturation_level,neutral,3,2
atmosphere,saturation_level,vivid,6,2
background,object_counts_by_position,background center,11,9
background,object_counts_by_position,background left,4,9
background,object_counts_by_position,background right,6,9
background,object_counts_by_position,foreground center,22,9
background,object_counts_by_position,foreground left,14,9
background,object_counts_by_position,foreground right,7,9
background,object_counts_by_position,midground center,6,9
background,object_counts_by_position,midground left,5,9
background,object_counts_by_position,midground right,2,9
camera,crop,immediate tabletop,1,7
camera,crop,legs cropped,1,7
camera,crop,lower body cropped,2,7
camera,crop,lower torso hands cropped,1,7
camera,crop,tight,1,7
camera,crop,upper torso and head,1,7
camera,crop,upper torso below waist,1,7
camera,depth_of_field,deep,3,2
camera,depth_of_field,shallow,7,2
camera,focal_length,normal,1,2
camera,focal_length,telephoto,2,2
camera,framing,close up,1,5
camera,framing,full body,1,5
camera,framing,headshot,3,5
camera,framing,medium,8,5
camera,framing,wide,1,5
camera,perspective,eye level,8,1
environment,location_type,office,10,1
environment,spatial_layout_depth,deep,2,5
environment,spatial_layout_depth,moderate,2,5
environment,spatial_layout_depth,moderately deep,1,5
environment,spatial_layout_depth,open,2,5
environment,spatial_layout_depth,shallow,1,5
environment,spatial_layout_openness,contained,1,2
environment,spatial_layout_openness,open,7,2
environment,weather,clear,1,1
lighting,artifacts,background bokeh,1,6
lighting,artifacts,no lens flare,1,6
lighting,artifacts,reflections on eyeglass lenses artifact,3,6
lighting,artifacts,reflections on floor,1,6
lighting,artifacts,reflections on polished desk surface,1,6
lighting,artifacts,specular highlights various,3,6
lighting,color_temperature,cool,2,3
lighting,color_temperature,neutral,4,3
lighting,color_temperature,warm,2,3
lighting,contrast_level,medium,9,1
lighting,directionality,backlight,5,3
lighting,directionality,sidelight,6,3
lighting,directionality,top light,5,3
lighting,hardness,medium,1,2
lighting,hardness,soft light,16,2
lighting,saturation_level,neutral,3,2
lighting,saturation_level,vivid,6,2
lighting,shadows,soft,10,1
lighting,sources_count,four or more,2,2
lighting,sources_count,one source,8,2
lighting,sources_type,artificial light source,6,1
objects,plane,background,21,4
objects,plane,foreground,43,4
objects,plane,midground,13,4
objects,side,center,39,4
objects,side,left,23,4
