cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,7,2
atmosphere,aesthetic_qualities,realistic,8,2
atmosphere,color_temperature,warm,9,1
atmosphere,contrast_level,high,2,2
atmosphere,contrast_level,medium,7,2
atmosphere,mood,calm,10,2
atmosphere,mood,joyful,1,2
atmosphere,palette_color,brown,10,1
atmosphere,saturation_level,neutral,8,2
atmosphere,saturation_level,vivid,1,2
background,object_counts_by_position,background center,8,9
background,object_counts_by_position,background left,1,9
background,object_counts_by_position,background right,4,9
background,object_counts_by_position,foreground center,14,9
background,object_counts_by_position,foreground left,4,9
background,object_counts_by_position,foreground right,2,9
background,object_counts_by_position,midground center,10,9
background,object_counts_by_position,midground left,4,9
background,object_counts_by_position,midground right,4,9
camera,crop,lower body cropped,2,2
camera,crop,other variants singles,4,2
camera,depth_of_field,moderate,1,2
camera,depth_of_field,shallow,9,2
camera,focal_length,normal,1,2
camera,focal_length,telephoto,7,2
camera,framing,close up,2,4
camera,framing,establishing,1,4
camera,framing,headshot,2,4
camera,framing,medium,9,4
camera,perspective,eye level,8,2
camera,perspective,low angle,1,2
environment,location_type,agricultural field,7,3
environment,location_type,farmland,2,3
environment,location_type,farmyard,1,3
environment,openness,open,10,1
environment,spatial_layout_depth,compressed,1,4
environment,spatial_layout_depth,deep,3,4
environment,spatial_layout_depth,moderate,4,4
environment,spatial_layout_depth,shallow,2,4
environment,time_of_day_hint,afternoon,7,3
environment,time_of_day_hint,dusk,1,3
environment,time_of_day_hint,evening,1,3
environment,weather,clear,2,4
environment,weather,cloudy,4,4
environment,weather,overcast,1,4
environment,weather,sunny,2,4
lighting,artifacts,bokeh,1,3
lighting,artifacts,rim highlight,1,3
lighting,artifacts,specular highlights,1,3
lighting,color_temperature,warm,9,1
lighting,contrast_level,high,2,2
lighting,contrast_level,medium,7,2
lighting,saturation_level,neutral,8,2
lighting,saturation_level,vivid,1,2
lighting,shadows,soft,9,1
lighting,sources_count,one source,10,1
lighting,sources_directionality,backlight,4,3
lighting,sources_directionality,sidelight,5,3
lighting,sources_directionality,toplight,1,3
lighting,sources_hardness,soft light,10,1
objects,color,beige,6,12
objects,color,black,3,12
objects,color,brown,21,12
objects,color,darkblue,3,12
objects,color,darkgreen,6,12
objects,color,gold,4,12
objects,color,gray,2,12
objects,color,green,6,12
objects,color,red,4,12
objects,color,tan,4,12
objects,color,white,1,12
objects,color,yellow,2,12
objects,material,cotton,2,9
objects,material,hay,1,9
objects,material,metal,5,9
objects,material,plant,13,9
objects,material,rubber,3,9
objects,material,soil,8,9
objects,material,straw,18,9
objects,material,wicker,1,9
objects,material,wood,5,9
objects,type,agricultural,1,35
objects,type,agricultural product,3,35
objects,type,building silhouette,2,35
objects,type,bundle,1,35
objects,type,clothing,1,35
objects,type,container,1,35
objects,type,crop residue band,1,35
objects,type,crop rows,2,35
objects,type,cultivated field,1,35
objects,type,farm tractor,1,35
objects,type,fence,2,35
objects,type,furrow,1,35
objects,type,garment,1,35
objects,type,ground,1,35
objects,type,ground feature,1,35
objects,type,hand tool,2,35
objects,type,hat,3,35
objects,type,head covering,2,35
objects,type,headwear,2,35
objects,type,landscape,2,35
objects,type,livestock,1,35
objects,type,loose straw,1,35
objects,type,plant,2,35
objects,type,plant bundle,1,35
objects,type,sky,2,35
objects,type,soil,1,35
objects,type,soil patch,1,35
objects,type,straw bales,1,35
