cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,4,3
atmosphere,aesthetic_qualities,minimal,2,3
atmosphere,aesthetic_qualities,realistic,12,3
atmosphere,color_temperature,cool,10,2
atmosphere,color_temperature,neutral,4,2
atmosphere,contrast_level,medium,16,1
atmosphere,dominant_palette,black,7,4
atmosphere,dominant_palette,gray,1,4
atmosphere,dominant_palette,mediumblue,1,4
atmosphere,dominant_palette,orangered,1,4
atmosphere,mood,calm,10,1
atmosphere,saturation_level,neutral,12,2
atmosphere,saturation_level,vivid,2,2
background,object_counts_by_position,background center,10,9
background,object_counts_by_position,background left,9,9
background,object_counts_by_position,background right,11,9
background,object_counts_by_position,foreground center,10,9
background,object_counts_by_position,foreground left,10,9
background,object_counts_by_position,foreground right,9,9
background,object_counts_by_position,midground center,4,9
background,object_counts_by_position,midground left,9,9
background,object_counts_by_position,midground right,7,9
background,position,background center,10,9
background,position,background left,9,9
background,position,background right,11,9
background,position,foreground center,10,9
background,position,foreground left,10,9
background,position,foreground right,9,9
background,position,midground center,4,9
background,position,midground left,9,9
background,position,midground right,7,9
camera,depth_of_field,deep,16,3
camera,depth_of_field,moderate,2,3
camera,depth_of_field,shallow,2,3
camera,framing,establishing,4,4
camera,framing,full body,12,4
camera,framing,medium,8,4
camera,framing,wide,8,4
camera,perspective,eye level,14,2
camera,perspective,low angle,2,2
environment,ceiling_color,black,3,3
environment,ceiling_color,gray,2,3
environment,ceiling_color,white,6,3
environment,floor_color,beige,2,2
environment,floor_color,gray,9,2
environment,location_type,commercial cleaning workspace,1,5
environment,location_type,commercial kitchen,3,5
environment,location_type,corridor,2,5
environment,location_type,utility corridor,1,5
environment,location_type,utility room,1,5
environment,spatial_layout_depth,deep,1,5
environment,spatial_layout_depth,medium,1,5
environment,spatial_layout_depth,moderate,3,5
environment,spatial_layout_depth,open,1,5
environment,spatial_layout_depth,shallow,1,5
environment,spatial_layout_openness,enclosed,1,3
environment,spatial_layout_openness,moderate,1,3
environment,spatial_layout_openness,open,7,3
environment,time_of_day_hint,noon,1,1
environment,walls_color,beige,1,5
environment,walls_color,gray,5,5
environment,walls_color,lightblue,1,5
environment,walls_color,silver,2,5
environment,walls_color,white,10,5
lighting,artifacts,floor reflections,1,6
lighting,artifacts,mild reflections glossy floor,2,6
lighting,artifacts,no notable,1,6
lighting,artifacts,reflections floor,1,6
lighting,artifacts,specular floor reflections from window panes,2,6
lighting,artifacts,specular reflections on stainless surfaces,2,6
lighting,color_temperature,cool,10,2
lighting,color_temperature,neutral,6,2
lighting,contrast_level,medium,16,1
lighting,directionality,back light,4,3
lighting,directionality,side light,5,3
lighting,directionality,top light,8,3
lighting,hardness,soft,16,1
lighting,saturation_level,neutral,12,2
lighting,saturation_level,vivid,2,2
lighting,shadows,soft,20,1
lighting,sources_count,four or more light,1,2
lighting,sources_count,one light source,7,2
lighting,sources_type,artificial light source,7,1
objects,plane,background,30,6
objects,plane,foreground,29,6
objects,plane,midground,20,6
objects,side,center,24,3
objects,side,left,28,3
objects,side,right,27,3
objects,type,appliance,1,62
objects,type,architectural element,2,62
objects,type,architecture,4,62
objects,type,baseboard molding,1,62
objects,type,black flexible rubber hose,1,62
objects,type,broom,1,62
objects,type,cabinet,7,62
objects,type,caution sign,1,62
objects,type,caution wet floor sign,1,62
objects,type,chair,1,62
objects,type,cleaning cart,1,62
objects,type,cleaning tool,17,62
objects,type,cleaning tool head,1,62
objects,type,clear plastic containers,1,62
objects,type,clock,1,62
objects,type,cloth,1,62
objects,type,container,10,62
objects,type,dark colored trim,1,62
objects,type,dispenser,1,62
objects,type,electrical plate,1,62
objects,type,extractor hood,1,62
objects,type,fixture,3,62
objects,type,fixture appliance,1,62
objects,type,floor object level,1,62
objects,type,floor tiles,1,62
objects,type,fluorescent fixture,1,62
