cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,7,3
atmosphere,aesthetic_qualities,dreamy,3,3
atmosphere,aesthetic_qualities,realistic,5,3
atmosphere,color_temperature,warm,9,1
atmosphere,contrast_level,high,1,2
atmosphere,contrast_level,medium,8,2
atmosphere,dominant_palette,brown,10,1
atmosphere,mood,calm,16,2
atmosphere,mood,romantic,4,2
atmosphere,saturation_level,neutral,6,2
atmosphere,saturation_level,vivid,3,2
background,object_counts_by_position,background center,5,9
background,object_counts_by_position,background left,5,9
background,object_counts_by_position,background right,5,9
background,object_counts_by_position,foreground center,10,9
background,object_counts_by_position,foreground left,11,9
background,object_counts_by_position,foreground right,7,9
background,object_counts_by_position,midground center,14,9
background,object_counts_by_position,midground left,4,9
background,object_counts_by_position,midground right,6,9
camera,crop,bottom feet,1,13
camera,crop,center left subject,1,13
camera,crop,centered,1,13
camera,crop,face centered,1,13
camera,crop,instrument right,1,13
camera,crop,lower body out frame,1,13
camera,crop,near portrait,1,13
camera,crop,peripheral elements cropped,1,13
camera,crop,right edge partial,1,13
camera,crop,right side cropped headstock,1,13
camera,crop,slightly right center,1,13
camera,crop,square,1,13
camera,crop,tight,1,13
camera,depth_of_field,shallow,20,1
camera,focal_length,normal,4,2
camera,focal_length,telephoto,6,2
camera,framing,close up,6,3
camera,framing,headshot,2,3
camera,framing,medium,14,3
camera,perspective,eye level,14,1
environment,location_type,courtyard,2,8
environment,location_type,covered deck,2,8
environment,location_type,living space,2,8
environment,location_type,outdoor,2,8
environment,location_type,outdoor performance,2,8
environment,location_type,performance space,4,8
environment,location_type,residential interior music practice,2,8
environment,location_type,residential room,2,8
environment,openness,enclosed,3,2
environment,openness,open,1,2
environment,spatial_layout_depth,deep,1,3
environment,spatial_layout_depth,shallow,8,3
environment,spatial_layout_depth,shallow moderate,1,3
environment,time_of_day_hint,afternoon,8,2
environment,time_of_day_hint,evening,4,2
environment,weather,clear,1,2
environment,weather,sunny,1,2
lighting,artifacts,bokeh,3,15
lighting,artifacts,bokeh highlights,1,15
lighting,artifacts,circular bokeh highlights,1,15
lighting,artifacts,filmic grain,1,15
lighting,artifacts,glare sunglasses,1,15
lighting,artifacts,highlight bloom,1,15
lighting,artifacts,lens bloom,1,15
lighting,artifacts,lens glare,1,15
lighting,artifacts,mild glow,1,15
lighting,artifacts,motion blur,1,15
lighting,artifacts,specular highlights,2,15
lighting,artifacts,specular highlights microphone grille,1,15
lighting,artifacts,specular reflection guitar,2,15
lighting,artifacts,specular reflections guitar tuning pegs,1,15
lighting,artifacts,volumetric rays,1,15
lighting,color_temperature,warm,18,1
lighting,contrast_level,high,2,2
lighting,contrast_level,medium,16,2
lighting,directionality,backlight,6,3
lighting,directionality,sidelight,7,3
lighting,directionality,top light,1,3
lighting,hardness,soft light,14,1
lighting,saturation_level,neutral,12,2
lighting,saturation_level,vivid,6,2
lighting,shadows,casting,1,2
lighting,shadows,soft,10,2
lighting,sources_count,four or more,2,2
lighting,sources_count,one source,8,2
lighting,sources_type,artificial source,4,1
objects,colors,black,16,22
objects,colors,brown,17,22
objects,colors,crimson,1,22
objects,colors,darkblue,3,22
objects,colors,darkgreen,1,22
objects,colors,darkred,1,22
objects,colors,darkslategrey,1,22
objects,colors,glass like,6,22
objects,colors,gray,3,22
objects,colors,green,2,22
objects,colors,honeydew,1,22
objects,colors,ivory,1,22
objects,colors,lightblue,2,22
objects,colors,lightgoldenrodyellow,1,22
objects,colors,mediumseagreen,1,22
objects,colors,olive,1,22
objects,colors,orange,1,22
objects,colors,palevioletred,1,22
objects,colors,seashell,1,22
objects,colors,silver,8,22
objects,colors,violet,1,22
objects,colors,white,5,22
objects,material,acetate,1,24
objects,material,brick,2,24
