cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,8,3
atmosphere,aesthetic_qualities,dreamy,2,3
atmosphere,aesthetic_qualities,realistic,10,3
atmosphere,color_temperature,cool,8,3
atmosphere,color_temperature,neutral,6,3
atmosphere,color_temperature,warm,2,3
atmosphere,contrast_level,high,2,2
atmosphere,contrast_level,medium,14,2
atmosphere,dominant_palette,black,6,4
atmosphere,dominant_palette,brown,12,4
atmosphere,dominant_palette,medium violet red,1,4
atmosphere,dominant_palette,mediumvioletred,1,4
atmosphere,mood,calm,4,2
atmosphere,mood,tense,1,2
atmosphere,saturation_level,neutral,8,2
atmosphere,saturation_level,vivid,6,2
background,object_counts_by_position,background center,3,9
background,object_counts_by_position,background left,2,9
background,object_counts_by_position,background right,4,9
background,object_counts_by_position,foreground center,14,9
background,object_counts_by_position,foreground left,5,9
background,object_counts_by_position,foreground right,6,9
background,object_counts_by_position,midground center,7,9
background,object_counts_by_position,midground left,4,9
background,object_counts_by_position,midground right,3,9
camera,depth_of_field,deep,4,3
camera,depth_of_field,moderate,2,3
camera,depth_of_field,shallow,10,3
camera,focal_length,normal,2,2
camera,focal_length,telephoto,4,2
camera,framing,full body,6,4
camera,framing,headshot,4,4
camera,framing,medium,10,4
camera,framing,wide,2,4
camera,perspective,eye level,3,1
environment,ceiling_color,black,5,3
environment,ceiling_color,gray,1,3
environment,ceiling_color,mediumvioletred,1,3
environment,floor_material,asphalt,4,4
environment,floor_material,concrete,5,4
environment,floor_material,grass,1,4
environment,floor_material,paint,1,4
environment,floor_texture,broom finish,1,7
environment,floor_texture,flat,1,7
environment,floor_texture,matte,2,7
environment,floor_texture,short,1,7
environment,floor_texture,smooth,4,7
environment,floor_texture,smooth textured,1,7
environment,floor_texture,textured,3,7
environment,location_type,building entrance,1,8
environment,location_type,emergency vehicle scene,1,8
environment,location_type,parking structure,1,8
environment,location_type,paved parking,1,8
environment,location_type,public street or plaza,1,8
environment,location_type,suburban roadway,1,8
environment,location_type,urban civic,1,8
environment,location_type,urban street,2,8
environment,spatial_layout_depth,medium,1,4
environment,spatial_layout_depth,moderate,5,4
environment,spatial_layout_depth,shallow,2,4
environment,spatial_layout_depth,shallow moderate,1,4
environment,spatial_layout_openness,moderately open,1,2
environment,spatial_layout_openness,open,4,2
environment,time_of_day_hint,afternoon,2,1
environment,walls_material,brick,2,9
environment,walls_material,cladding,1,9
environment,walls_material,concrete,2,9
environment,walls_material,glass,3,9
environment,walls_material,masonry,1,9
environment,walls_material,metal,2,9
environment,walls_material,painted plaster,1,9
environment,walls_material,precast concrete,1,9
environment,walls_material,stone,3,9
environment,walls_texture,matte,2,7
environment,walls_texture,reflective,1,7
environment,walls_texture,rough,1,7
environment,walls_texture,slightly dusty,1,7
environment,walls_texture,slightly textured,2,7
environment,walls_texture,smooth,9,7
environment,walls_texture,textured,1,7
environment,weather,clear,1,4
environment,weather,cloudy,1,4
environment,weather,overcast,2,4
environment,weather,sunny,1,4
lighting,color_temperature,cool,8,3
lighting,color_temperature,neutral,6,3
lighting,color_temperature,warm,2,3
lighting,contrast_level,high,2,2
lighting,contrast_level,medium,16,2
lighting,directionality,backlight,2,2
lighting,directionality,top light,5,2
lighting,hardness,hard light,2,2
lighting,hardness,soft light,11,2
lighting,saturation_level,neutral,10,2
lighting,saturation_level,vivid,6,2
lighting,shadows,soft,9,1
lighting,sources_count,four or more,1,3
lighting,sources_count,one source,7,3
lighting,sources_count,two,2,3
lighting,sources_type,artificial,4,2
lighting,sources_type,artificial source,4,2
objects,plane,background,9,3
objects,plane,foreground,25,3
objects,plane,midground,14,3
objects,side,center,24,3
objects,side,left,11,3
objects,side,right,13,3
objects,type,accessory,2,23
objects,type,architectural element,1,23
objects,type,badge,4,23
objects,type,building,4,23
objects,type,canopy,1,23
objects,type,communication device,2,23
objects,type,device,1,23
objects,type,emergency light,1,23
objects,type,equipment,1,23
objects,type,fixture,1,23
objects,type,garment,1,23
objects,type,headwear,5,23
objects,type,light bokeh,1,23
objects,type,lightbar,1,23
objects,type,patch,1,23
objects,type,person,1,23
objects,type,planter,2,23
objects,type,surface,2,23
objects,type,surface marking,1,23
objects,type,uniform equipment,1,23
objects,type,vegetation,2,23
objects,type,vehicle,10,23
objects,type,vehicle part,1,23
people,age_range,middle aged,6,2
people,age_range,young adult,3,2
people,eyewear_present,no,16,2
people,eyewear_present,yes,2,2
people,facial_hair_color,black,2,3
people,facial_hair_color,brown,2,3
people,facial_hair_color,dark blue,2,3
people,facial_hair_present,no,8,2
people,facial_hair_present,yes,10,2
people,facial_hair_style,mustache,2,2
