cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,25,4
atmosphere,aesthetic_qualities,dreamy,3,4
atmosphere,aesthetic_qualities,gritty,2,4
atmosphere,aesthetic_qualities,realistic,28,4
atmosphere,color_temperature,cool,9,3
atmosphere,color_temperature,neutral,8,3
atmosphere,color_temperature,warm,21,3
atmosphere,contrast_level,high,16,2
atmosphere,contrast_level,medium,24,2
atmosphere,dominant_palette,black,24,7
atmosphere,dominant_palette,blue,8,7
atmosphere,dominant_palette,brown,54,7
atmosphere,dominant_palette,cyan,6,7
atmosphere,dominant_palette,mediumblue,6,7
atmosphere,dominant_palette,mediumvioletred,1,7
atmosphere,dominant_palette,red,3,7
atmosphere,mood,calm,19,4
atmosphere,mood,dramatic,16,4
atmosphere,mood,minimalistic,2,4
atmosphere,mood,tense,13,4
atmosphere,saturation_level,neutral,32,2
atmosphere,saturation_level,vivid,8,2
background,object_counts_by_position,background center,59,9
background,object_counts_by_position,background left,36,9
background,object_counts_by_position,background right,58,9
background,object_counts_by_position,foreground center,97,9
background,object_counts_by_position,foreground left,59,9
background,object_counts_by_position,foreground right,33,9
background,object_counts_by_position,midground center,49,9
background,object_counts_by_position,midground left,32,9
background,object_counts_by_position,midground right,38,9
background,position,background center,9,9
background,position,background left,4,9
background,position,background right,5,9
background,position,foreground center,14,9
background,position,foreground left,4,9
background,position,foreground right,2,9
background,position,midground center,6,9
background,position,midground left,3,9
background,position,midground right,1,9
camera,angle,eye level,2,1
camera,crop,bottom cropped,1,25
camera,crop,ceiling floor margins visible,1,25
camera,crop,chest upward,1,25
camera,crop,feet partially cropped by foreground shadow,1,25
camera,crop,foot head margin,1,25
camera,crop,full body equal,1,25
camera,crop,full figure,1,25
camera,crop,lower body partial,1,25
camera,crop,lower legs cropped,1,25
camera,crop,lower legs out frame,1,25
camera,crop,lower legs partially cropped,2,25
camera,crop,lower right leg cropped by edge,1,25
camera,crop,lower shins cropped,1,25
camera,crop,mid thigh,1,25
camera,crop,minimal lower edge shoe,1,25
camera,crop,person cropped mid thigh,1,25
camera,crop,primary runner occupies midground right third,1,25
camera,crop,right side cropped,1,25
camera,crop,subject cropped near mid thigh,1,25
camera,crop,top head near upper quarter,1,25
camera,crop,torso height,1,25
camera,crop,torso up,1,25
camera,crop,upper head cropped,1,25
camera,crop,upper thighs upward,1,25
camera,crop,upper torso face centered,1,25
camera,depth_of_field,deep,3,6
camera,depth_of_field,deep dof,1,6
camera,depth_of_field,moderate,8,6
camera,depth_of_field,moderate dof,4,6
camera,depth_of_field,shallow,44,6
camera,depth_of_field,shallow dof,4,6
camera,focal_length,normal,5,3
camera,focal_length,telephoto,7,3
camera,focal_length,wide,3,3
camera,framing,close up,6,6
camera,framing,establishing,4,6
camera,framing,full body,15,6
camera,framing,headshot,1,6
camera,framing,medium,33,6
camera,framing,wide,4,6
camera,perspective,eye level,36,2
camera,perspective,low angle,17,2
environment,aisle_width,moderate,1,1
environment,ceiling_color,black,6,3
environment,ceiling_color,lightblue,1,3
environment,ceiling_color,white,2,3
environment,ceiling_condition,good,2,2
environment,ceiling_condition,intact,1,2
environment,ceiling_finish,matte,1,2
environment,ceiling_finish,paint,2,2
environment,ceiling_material,black,6,7
environment,ceiling_material,drywall,1,7
environment,ceiling_material,paint,4,7
environment,ceiling_material,painted drywall,1,7
environment,ceiling_material,painted panel,1,7
environment,ceiling_material,painted surface,2,7
environment,ceiling_material,plaster,3,7
environment,ceiling_texture,slightly reflective,1,3
environment,ceiling_texture,smooth,10,3
environment,ceiling_texture,textured,1,3
environment,floor_color,black,6,4
environment,floor_color,lightgoldenrodyellow,1,4
environment,floor_color,mediumvioletred,1,4
environment,floor_color,white,1,4
environment,floor_condition,good,1,3
environment,floor_condition,minimal wear,1,3
environment,floor_condition,no visible scuffing,1,3
environment,floor_finish,matte,2,2
environment,floor_finish,polished,1,2
environment,floor_material,ceramic tile,1,6
environment,floor_material,hardwood,1,6
environment,floor_material,wood,2,6
environment,floor_material,wood like plank,1,6
environment,floor_material,wood look,1,6
