cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,17,6
atmosphere,aesthetic_qualities,dreamy,2,6
atmosphere,aesthetic_qualities,quality cinematic,4,6
atmosphere,aesthetic_qualities,quality dreamy,1,6
atmosphere,aesthetic_qualities,quality realistic,6,6
atmosphere,aesthetic_qualities,realistic,23,6
atmosphere,color_temperature,cool,11,3
atmosphere,color_temperature,neutral,6,3
atmosphere,color_temperature,warm,13,3
atmosphere,contrast_level,high,9,2
atmosphere,contrast_level,medium,29,2
atmosphere,dominant_palette,black,17,6
atmosphere,dominant_palette,blue,1,6
atmosphere,dominant_palette,brown,32,6
atmosphere,dominant_palette,cyan,1,6
atmosphere,dominant_palette,mediumblue,7,6
atmosphere,dominant_palette,mediumvioletred,2,6
atmosphere,lighting_color_temperature,cool,7,2
atmosphere,lighting_color_temperature,neutral,1,2
atmosphere,mood,calm,41,3
atmosphere,mood,dramatic,1,3
atmosphere,mood,melancholic,1,3
atmosphere,saturation_level,neutral,17,2
atmosphere,saturation_level,vivid,21,2
background,object_counts_by_position,background center,53,9
background,object_counts_by_position,background left,35,9
background,object_counts_by_position,background right,34,9
background,object_counts_by_position,foreground center,50,9
background,object_counts_by_position,foreground left,45,9
background,object_counts_by_position,foreground right,36,9
background,object_counts_by_position,midground center,50,9
background,object_counts_by_position,midground left,29,9
background,object_counts_by_position,midground right,41,9
background,position,background center,2,9
background,position,background left,6,9
background,position,background right,7,9
background,position,foreground center,12,9
background,position,foreground left,5,9
background,position,foreground right,7,9
background,position,midground center,10,9
background,position,midground left,9,9
background,position,midground right,8,9
camera,crop,buildings cropped top sides,1,22
camera,crop,bus side sidewalk cropped,1,22
camera,crop,center,1,22
camera,crop,centered subject,1,22
camera,crop,cropped frame edges,1,22
camera,crop,left partial,1,22
camera,crop,lower body cropped,4,22
camera,crop,lower body out of frame,1,22
camera,crop,lower torso legs cropped,1,22
camera,crop,mid body,1,22
camera,crop,mid torso,1,22
camera,crop,midground center subject slightly right pole,1,22
camera,crop,peripheral vehicles partially cropped,1,22
camera,crop,right extension,1,22
camera,crop,rightmost seatback partially cropped,1,22
camera,crop,standard,1,22
camera,crop,subject center left,1,22
camera,crop,subject center right,1,22
camera,crop,tight,1,22
camera,crop,tight vertical,1,22
camera,crop,torso head,1,22
camera,crop,upper torso,1,22
camera,depth_of_field,deep,20,3
camera,depth_of_field,moderate,11,3
camera,depth_of_field,shallow,34,3
camera,focal_length,normal,13,3
camera,focal_length,telephoto,7,3
camera,focal_length,wide,5,3
camera,framing,close up,3,7
camera,framing,establishing,12,7
camera,framing,full body,5,7
camera,framing,headshot,4,7
camera,framing,medium,36,7
camera,framing,others,0,7
camera,framing,wide,28,7
camera,perspective,eye level,50,2
camera,perspective,low angle,4,2
environment,aisle_width,moderate,1,1
environment,ceiling_color,silver,1,2
environment,ceiling_color,white,1,2
environment,ceiling_condition,clean,1,3
environment,ceiling_condition,minor smudging,1,3
environment,ceiling_condition,well maintained,1,3
environment,ceiling_finish,glossy,1,3
environment,ceiling_finish,reflective,1,3
environment,ceiling_finish,slightly glossy,1,3
environment,ceiling_material,acoustic panel,4,3
environment,ceiling_material,metal,5,3
environment,ceiling_material,plastic,1,3
environment,ceiling_texture,smooth,2,1
environment,color,black,10,35
environment,color,blue,5,35
environment,color,brown,2,35
environment,color,crimson,1,35
