cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,14,3
atmosphere,aesthetic_qualities,minimal,4,3
atmosphere,aesthetic_qualities,realistic,32,3
atmosphere,color,black,2,28
atmosphere,color,brown,2,28
atmosphere,color,mediumblue,4,28
atmosphere,color,orangered,1,28
atmosphere,color,per image share,0,28
atmosphere,color,within attribute share,0,28
atmosphere,color_temperature,cool,23,3
atmosphere,color_temperature,neutral,13,3
atmosphere,color_temperature,warm,3,3
atmosphere,contrast_level,high,4,2
atmosphere,contrast_level,medium,38,2
atmosphere,dominant_color,black,1,2
atmosphere,dominant_color,brown,9,2
atmosphere,dominant_palette,black,11,5
atmosphere,dominant_palette,blue,2,5
atmosphere,dominant_palette,brown,15,5
atmosphere,dominant_palette,orange,1,5
atmosphere,dominant_palette,red,1,5
atmosphere,mood,calm,44,3
atmosphere,mood,joyful,2,3
atmosphere,mood,minimalistic,2,3
atmosphere,saturation_level,neutral,19,2
atmosphere,saturation_level,vivid,22,2
background,object_counts_by_position,background center,52,9
background,object_counts_by_position,background left,13,9
background,object_counts_by_position,background right,21,9
background,object_counts_by_position,foreground center,89,9
background,object_counts_by_position,foreground left,46,9
background,object_counts_by_position,foreground right,37,9
background,object_counts_by_position,midground center,138,9
background,object_counts_by_position,midground left,34,9
background,object_counts_by_position,midground right,28,9
background,position,background center,23,9
background,position,background left,8,9
background,position,background right,8,9
background,position,foreground center,37,9
background,position,foreground left,14,9
background,position,foreground right,11,9
background,position,midground center,18,9
background,position,midground left,15,9
background,position,midground right,10,9
background,totals_by_position,background center,11,9
background,totals_by_position,background left,0,9
background,totals_by_position,background right,3,9
background,totals_by_position,foreground center,22,9
background,totals_by_position,foreground left,9,9
background,totals_by_position,foreground right,10,9
background,totals_by_position,midground center,10,9
background,totals_by_position,midground left,7,9
background,totals_by_position,midground right,6,9
camera,crop,annotations various tokens,10,16
camera,crop,bottom cropped,1,16
camera,crop,bottom merged variants,7,16
camera,crop,foreground table lower two thirds,1,16
camera,crop,immediate tabletop,1,16
camera,crop,legs cropped,1,16
camera,crop,lower body cropped,2,16
camera,crop,lower torso hands cropped,1,16
camera,crop,mid torso,1,16
camera,crop,subject centered,2,16
camera,crop,table leading lines,1,16
camera,crop,tight,1,16
camera,crop,upper thighs,1,16
camera,crop,upper torso,1,16
camera,crop,upper torso and head,1,16
camera,crop,upper torso below waist,1,16
camera,depth_of_field,deep,20,8
camera,depth_of_field,deep dof,2,8
camera,depth_of_field,moderate,9,8
camera,depth_of_field,moderate dof,1,8
camera,depth_of_field,per image share,0,8
camera,depth_of_field,shallow,26,8
camera,depth_of_field,shallow dof,6,8
camera,depth_of_field,within attribute share,0,8
camera,focal_length,normal,9,5
camera,focal_length,per image share,0,5
camera,focal_length,telephoto,7,5
camera,focal_length,wide,3,5
camera,focal_length,within attribute share,0,5
camera,framing,close up,1,6
camera,framing,establishing,7,6
camera,framing,full body,8,6
camera,framing,headshot,4,6
camera,framing,medium,26,6
camera,framing,wide,19,6
camera,perspective,eye level,58,3
camera,perspective,per image share,0,3
camera,perspective,within attribute share,0,3
environment,aisle_width,medium,1,2
environment,aisle_width,wide,2,2
environment,ceiling_material,acoustic panel,3,8
environment,ceiling_material,glossy panel,1,8
environment,ceiling_material,metal fixtures,1,8
environment,ceiling_material,painted acoustic panel,1,8
environment,ceiling_material,painted panel,1,8
environment,ceiling_material,panel,1,8
environment,ceiling_material,plaster,1,8
environment,ceiling_material,veneered wood trim,1,8
environment,color,beige,3,28
environment,color,black,8,28
environment,color,blue,1,28
environment,color,ghostwhite,4,28
environment,color,gray,5,28
environment,color,green,14,28
environment,color,orange,15,28
environment,color,red,3,28
environment,color,silver,7,28
environment,color,white,10,28
environment,floor_material,carpet,1,3
environment,floor_material,concrete,1,3
environment,floor_material,hardwood,1,3
environment,location_type,boardroom,7,7
