cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,20,3
atmosphere,aesthetic_qualities,dreamy,4,3
atmosphere,aesthetic_qualities,realistic,24,3
atmosphere,color_temperature,cool,2,3
atmosphere,color_temperature,neutral,2,3
atmosphere,color_temperature,warm,25,3
atmosphere,contrast_level,high,3,2
atmosphere,contrast_level,medium,26,2
atmosphere,dominant_palette,black,2,6
atmosphere,dominant_palette,blue,3,6
atmosphere,dominant_palette,brown,22,6
atmosphere,dominant_palette,mediumblue,3,6
atmosphere,dominant_palette,orange,1,6
atmosphere,dominant_palette,orangered,1,6
atmosphere,mood,calm,15,2
atmosphere,mood,joyful,7,2
atmosphere,saturation_level,neutral,28,2
atmosphere,saturation_level,vivid,1,2
background,object_counts_by_position,background center,42,9
background,object_counts_by_position,background left,20,9
background,object_counts_by_position,background right,30,9
background,object_counts_by_position,foreground center,79,9
background,object_counts_by_position,foreground left,50,9
background,object_counts_by_position,foreground right,57,9
background,object_counts_by_position,midground center,46,9
background,object_counts_by_position,midground left,29,9
background,object_counts_by_position,midground right,34,9
camera,crop,centered chef,1,17
camera,crop,lower body cropped at waist,2,17
camera,crop,lower body cropped out,6,17
camera,crop,lower frame partially occluded,1,17
camera,crop,lower legs cropped,2,17
camera,crop,medium tight,1,17
camera,crop,mid torso upward,1,17
camera,crop,partial lower body,1,17
camera,crop,partial lower body occluded,1,17
camera,crop,slightly canted,1,17
camera,crop,tight cutting board area,1,17
camera,crop,tight waist up,1,17
camera,crop,torso hands medium close,1,17
camera,crop,upper ventilation hood partially cropped,1,17
camera,crop,waist above head,1,17
camera,crop,waist level,1,17
camera,crop,waist to head,1,17
camera,depth_of_field,moderate,3,2
camera,depth_of_field,shallow,42,2
camera,focal_length,normal,1,2
camera,focal_length,telephoto,7,2
camera,framing,close up,2,4
camera,framing,headshot,5,4
camera,framing,medium,41,4
camera,framing,wide,2,4
camera,perspective,eye level,22,1
environment,ceiling_material,metal,1,5
environment,ceiling_material,metal ductwork,1,5
environment,ceiling_material,plastic,1,5
environment,ceiling_material,stainless steel,2,5
environment,ceiling_material,wood,1,5
environment,ceiling_texture,brushed,2,5
environment,ceiling_texture,frosted,1,5
environment,ceiling_texture,matte,1,5
environment,ceiling_texture,smooth,2,5
environment,ceiling_texture,varnished,1,5
environment,color,black,12,18
environment,color,darkblue,1,18
environment,color,gray,5,18
environment,color,silver,3,18
environment,color,white,6,18
environment,condition,clean,7,22
environment,condition,good,3,22
environment,condition,slightly streaked,1,22
environment,condition,smudged,1,22
environment,condition,used,1,22
environment,condition,well maintained,1,22
environment,finish,brushed,2,12
environment,finish,glossy,6,12
environment,finish,high gloss,2,12
environment,finish,matte,2,12
environment,finish,polished,3,12
environment,finish,reflective,3,12
environment,floor_color,black,7,7
environment,floor_color,brown,4,7
environment,floor_color,gray,1,7
environment,floor_color,green,7,7
environment,floor_color,lightblue,1,7
environment,floor_color,mediumpurple,1,7
environment,floor_color,white,1,7
environment,floor_condition,clean,1,10
environment,floor_condition,even,2,10
environment,floor_condition,good,3,10
environment,floor_condition,intact,1,10
environment,floor_condition,manicured,1,10
environment,floor_condition,neat,1,10
environment,floor_condition,soft,1,10
environment,floor_condition,weathered,2,10
environment,floor_condition,well maintained,2,10
environment,floor_condition,worn,1,10
environment,floor_finish,matte,5,3
environment,floor_finish,rounded edge,1,3
environment,floor_finish,uniform,1,3
environment,floor_material,composite,1,10
environment,floor_material,concrete,2,10
environment,floor_material,fabric,1,10
environment,floor_material,grass,7,10
environment,floor_material,paved,1,10
environment,floor_material,paved path,1,10
environment,floor_material,paving stone,1,10
environment,floor_material,stone,1,10
environment,floor_material,tile,1,10
environment,floor_material,wood,3,10
environment,floor_texture,smooth,1,1
environment,location_type,commercial kitchen,13,4
environment,location_type,kitchen unspecified,1,4
environment,location_type,park,9,4
environment,location_type,public park,1,4
environment,material,ceramic,3,24
environment,material,ceramic tile,1,24
environment,material,metal,2,24
environment,material,stainless steel,8,24
environment,material,subway tile,1,24
environment,material,tile,2,24
environment,material,wood,1,24
environment,openness,medium,1,2
environment,openness,open,9,2
environment,spatial_layout_depth,layered,1,5
environment,spatial_layout_depth,medium,1,5
environment,spatial_layout_depth,moderate,11,5
environment,spatial_layout_depth,moderately deep,1,5
environment,spatial_layout_depth,shallow,8,5
environment,spatial_layout_openness,closed,2,3
environment,spatial_layout_openness,moderately open,1,3
environment,spatial_layout_openness,open,6,3
environment,surfaces_ceiling_material,stainless steel,3,2
environment,surfaces_ceiling_material,wood,1,2
environment,surfaces_walls_material,ceramic tile,1,6
environment,surfaces_walls_material,stainless steel,8,6
environment,surfaces_walls_material,subway tile,1,6
environment,surfaces_walls_material,wall ceramic,3,6
environment,surfaces_walls_material,wall metal,2,6
environment,surfaces_walls_material,wall tile,2,6
environment,texture,brushed,6,36
environment,texture,brushed metal,1,36
environment,texture,glossy,3,36
environment,texture,reflective,3,36
environment,texture,ribbed,1,36
environment,texture,rough,1,36
environment,texture,smooth,5,36
environment,time_of_day_hint,afternoon,3,1
environment,walls_color,brown,2,6
environment,walls_color,gray,3,6
environment,walls_color,lightblue,1,6
environment,walls_color,mediumpurple,1,6
environment,walls_color,silver,3,6
environment,walls_color,white,7,6
environment,walls_condition,clean,10,5
environment,walls_condition,fingerprints,1,5
environment,walls_condition,good,4,5
environment,walls_condition,maintained,1,5
environment,walls_condition,used,1,5
environment,walls_finish,brushed,3,8
environment,walls_finish,glazed,1,8
environment,walls_finish,glossy,6,8
environment,walls_finish,lacquered,1,8
environment,walls_finish,matte,1,8
environment,walls_finish,polished,1,8
environment,walls_finish,smooth,2,8
environment,walls_finish,varnished,1,8
environment,walls_material,ceramic,4,8
environment,walls_material,ceramic tile,3,8
environment,walls_material,glass,1,8
environment,walls_material,metal,2,8
environment,walls_material,painted plaster,2,8
environment,walls_material,stainless steel,3,8
environment,walls_material,tile,2,8
environment,walls_material,wood,2,8
environment,walls_texture,brushed,2,6
environment,walls_texture,brushed metal,1,6
environment,walls_texture,glazed,1,6
environment,walls_texture,glossy,4,6
environment,walls_texture,reflective,1,6
environment,walls_texture,smooth,11,6
environment,weather,clear,1,2
environment,weather,sunny,9,2
lighting,artifacts,artifact bokeh,1,14
lighting,artifacts,artifact specular reflections,2,14
lighting,artifacts,bokeh,4,14
lighting,artifacts,bokeh lens,3,14
lighting,artifacts,circular bokeh highlights,2,14
lighting,artifacts,lens bokeh highlights,2,14
lighting,artifacts,lens flare,2,14
lighting,artifacts,mild lens flare,2,14
lighting,artifacts,mild lens glow,2,14
lighting,artifacts,mild warm lens flare,2,14
lighting,artifacts,specular highlights,4,14
lighting,artifacts,specular metal reflections,1,14
lighting,artifacts,specular reflections metal,1,14
lighting,artifacts,sun flare,2,14
lighting,color_temperature,cool,2,3
lighting,color_temperature,neutral,2,3
lighting,color_temperature,warm,40,3
lighting,contrast_level,high,6,2
lighting,contrast_level,medium,30,2
lighting,directionality,backlight,4,2
lighting,directionality,sidelight,4,2
lighting,hardness,soft light,11,1
lighting,saturation_level,neutral,36,2
lighting,shadows,soft,42,1
lighting,sources,artificial,9,2
lighting,sources,mixed,1,2
lighting,sources_count,four or more,1,3
lighting,sources_count,one light source,17,3
lighting,sources_count,two light,4,3
lighting,sources_directionality,backlight,3,3
lighting,sources_directionality,side light,4,3
lighting,sources_directionality,top light,9,3
lighting,sources_hardness,light medium,1,3
lighting,sources_hardness,light soft,11,3
lighting,sources_hardness,soft,14,3
lighting,sources_type,artificial light,9,4
lighting,sources_type,light source artificial,9,4
lighting,sources_type,light source mixed,1,4
lighting,sources_type,mixed light,2,4
objects,color,black,7,18
objects,color,brown,23,18
objects,color,crimson,1,18
objects,color,darkblue,4,18
objects,color,gray,9,18
objects,color,green,14,18
objects,color,lawngreen,1,18
objects,color,lightgreen,1,18
objects,color,lightyellow,6,18
objects,color,mediumseagreen,1,18
objects,color,orange,1,18
objects,color,palegreen,1,18
objects,color,pink,5,18
objects,color,purple,1,18
objects,color,red,12,18
objects,color,silver,55,18
objects,color,white,24,18
objects,color,yellow,2,18
objects,condition,clean,13,22
objects,condition,fresh,10,22
objects,condition,fresh appearing,1,22
objects,condition,good,1,22
objects,condition,light wear marks,1,22
objects,condition,lightly used,2,22
objects,condition,maintained,1,22
objects,condition,moderate use,1,22
objects,condition,neatly positioned,1,22
objects,condition,orderly,1,22
objects,condition,organized,2,22
objects,condition,polished,1,22
objects,condition,ripe,1,22
objects,condition,sharp,2,22
objects,condition,uncut,2,22
objects,condition,use,2,22
objects,condition,used,17,22
objects,condition,used but well maintained,1,22
objects,condition,well maintained,1,22
objects,condition,worn,2,22
objects,finish,brushed,1,12
