cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,36,4
atmosphere,aesthetic_qualities,dreamy,22,4
atmosphere,aesthetic_qualities,minimal,2,4
atmosphere,aesthetic_qualities,realistic,27,4
atmosphere,color_temperature,warm,25,3
atmosphere,contrast_level,high,17,3
atmosphere,contrast_level,low,1,3
atmosphere,contrast_level,medium,28,3
atmosphere,dominant_palette,black,3,6
atmosphere,dominant_palette,brown,47,6
atmosphere,dominant_palette,lightgreen,11,6
atmosphere,dominant_palette,mediumvioletred,11,6
atmosphere,dominant_palette,orangered,1,6
atmosphere,dominant_palette,red,5,6
atmosphere,mood,calm,39,4
atmosphere,mood,dramatic,18,4
atmosphere,mood,melancholic,1,4
atmosphere,mood,minimalistic,1,4
atmosphere,saturation_level,neutral,24,2
atmosphere,saturation_level,vivid,14,2
atmosphere,temperature,cool,2,3
atmosphere,temperature,neutral,2,3
atmosphere,temperature,warm,19,3
background,object_counts_by_position,background center,38,9
background,object_counts_by_position,background left,28,9
background,object_counts_by_position,background right,40,9
background,object_counts_by_position,foreground center,47,9
background,object_counts_by_position,foreground left,24,9
background,object_counts_by_position,foreground right,21,9
background,object_counts_by_position,midground center,23,9
background,object_counts_by_position,midground left,22,9
background,object_counts_by_position,midground right,27,9
camera,angle,dolly out,1,1
camera,crop,cabinetry right partially cropped,2,12
camera,crop,full torso legs,1,12
camera,crop,head near upper third,2,12
camera,crop,includes floor area,1,12
camera,crop,includes full figure,1,12
camera,crop,lower skirt partially cropped,1,12
camera,crop,lower tip supporting foot cropped,1,12
camera,crop,mid torso,1,12
camera,crop,slight top,1,12
camera,crop,some headspace,1,12
camera,crop,space above skirt near left light source,1,12
camera,crop,upper arms partially cropped,1,12
camera,depth_of_field,deep,1,5
camera,depth_of_field,moderate,2,5
camera,depth_of_field,moderate dof,1,5
camera,depth_of_field,shallow,46,5
camera,depth_of_field,shallow dof,5,5
camera,focal_length,normal,18,2
camera,focal_length,telephoto,7,2
camera,framing,establishing shot,1,5
camera,framing,full body,27,5
camera,framing,headshot,1,5
camera,framing,medium,16,5
camera,framing,wide,7,5
camera,perspective,eye level,36,3
camera,perspective,low angle,5,3
camera,perspective,third person,3,3
environment,ceiling_color,black,8,5
environment,ceiling_color,darkblue,6,5
environment,ceiling_color,lightyellow,1,5
environment,ceiling_color,snow,1,5
environment,ceiling_color,white,2,5
environment,ceiling_condition,slight dust,1,3
environment,ceiling_condition,weathered,1,3
environment,ceiling_condition,well maintained,1,3
environment,ceiling_finish,glossy,1,3
environment,ceiling_finish,matte,4,3
environment,ceiling_finish,polished,1,3
environment,ceiling_material,metal,4,1
environment,ceiling_texture,detailed,1,4
environment,ceiling_texture,glossy metal,1,4
environment,ceiling_texture,matte,4,4
environment,ceiling_texture,truss,1,4
environment,floor_color,black,2,6
environment,floor_color,brown,5,6
environment,floor_color,darkblue,1,6
environment,floor_color,honeydew,1,6
environment,floor_color,pink,1,6
environment,floor_color,white,1,6
environment,floor_condition,minimal scuffing,6,2
environment,floor_condition,polished,8,2
environment,floor_finish,glossy,6,6
environment,floor_finish,low reflectance,1,6
environment,floor_finish,polished,4,6
environment,floor_finish,reflective,3,6
environment,floor_finish,satin sheen,1,6
environment,floor_finish,soft sheen,1,6
environment,floor_material,hardwood,2,3
environment,floor_material,varnished wood,1,3
environment,floor_material,wood,7,3
environment,floor_texture,glossy,1,8
environment,floor_texture,glossy reflection,1,8
environment,floor_texture,grain,1,8
environment,floor_texture,plank,1,8
environment,floor_texture,polished,1,8
environment,floor_texture,reflective,2,8
environment,floor_texture,smooth,9,8
environment,floor_texture,woodgrain,1,8
environment,location_type,dance practice room,2,17
environment,location_type,dance studio,5,17
environment,location_type,domestic kitchen,2,17
environment,location_type,kitchen,12,17
environment,location_type,landscaped area,1,17
environment,location_type,outdoor space,1,17
environment,location_type,performance hall,2,17
environment,location_type,performance space,2,17
environment,location_type,portrait studio,1,17
environment,location_type,practice space,1,17
environment,location_type,rehearsal studio,2,17
environment,location_type,residential kitchen,6,17
environment,location_type,stage,3,17
environment,location_type,studio,1,17
environment,location_type,theater,1,17
environment,location_type,theatrical performance space,2,17
environment,location_type,theatrical stage,6,17
environment,openness,enclosed,1,3
environment,openness,moderate,3,3
environment,openness,open,10,3
environment,spatial_depth,moderate,12,2
environment,spatial_depth,shallow,5,2
environment,spatial_layout_aisle_width,moderate,1,1
environment,spatial_layout_depth,deep,4,4
environment,spatial_layout_depth,moderate,14,4
environment,spatial_layout_depth,open,5,4
environment,spatial_layout_depth,shallow,1,4
environment,spatial_layout_openness,compact,1,2
environment,spatial_layout_openness,open,23,2
environment,time_of_day_hint,afternoon,5,1
environment,walls_color,beige,1,11
environment,walls_color,black,4,11
environment,walls_color,brown,1,11
environment,walls_color,cyan,1,11
environment,walls_color,darkblue,4,11
environment,walls_color,gray,6,11
environment,walls_color,lightblue,1,11
environment,walls_color,lightyellow,1,11
environment,walls_color,mediumpurple,2,11
environment,walls_color,palegreen,2,11
environment,walls_color,white,10,11
environment,walls_condition,aged,2,7
environment,walls_condition,aged but maintained,1,7
environment,walls_condition,clean,1,7
environment,walls_condition,dust holding shadowed crevices,1,7
environment,walls_condition,good,1,7
environment,walls_condition,intact,1,7
environment,walls_condition,slightly worn,1,7
environment,walls_finish,matte,8,2
environment,walls_finish,smooth,1,2
environment,walls_material,ceramic,2,13
environment,walls_material,ceramic tile,6,13
environment,walls_material,drywall,1,13
environment,walls_material,fabric,3,13
environment,walls_material,marble patterned,1,13
environment,walls_material,metal,1,13
environment,walls_material,paint,3,13
environment,walls_material,painted drywall,1,13
environment,walls_material,painted surface,2,13
environment,walls_material,painted wood,2,13
environment,walls_material,plaster,2,13
environment,walls_material,stone tile,1,13
environment,walls_material,wood,3,13
environment,walls_texture,aged,1,8
environment,walls_texture,hazy,1,8
environment,walls_texture,matte,2,8
environment,walls_texture,mottled,1,8
environment,walls_texture,smooth,4,8
environment,walls_texture,textured,2,8
environment,walls_texture,vertical folds,1,8
environment,walls_texture,weathered,1,8
environment,weather,mist,1,3
