cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,38,6
atmosphere,aesthetic_qualities,dreamy,3,6
atmosphere,aesthetic_qualities,quality cinematic,6,6
atmosphere,aesthetic_qualities,quality dreamy,3,6
atmosphere,aesthetic_qualities,quality realistic,8,6
atmosphere,aesthetic_qualities,realistic,36,6
atmosphere,color_temperature,cool,5,3
atmosphere,color_temperature,warm,39,3
atmosphere,contrast_level,high,5,2
atmosphere,contrast_level,medium,37,2
atmosphere,dominant_palette,brown,30,1
atmosphere,mood,calm,60,2
atmosphere,mood,joyful,1,2
atmosphere,palette,brown,10,1
atmosphere,palette_color,brown,10,1
atmosphere,profile_contrast_level,medium,10,1
atmosphere,profile_saturation_level,neutral,3,2
atmosphere,profile_saturation_level,vivid,6,2
atmosphere,saturation_level,neutral,26,2
atmosphere,saturation_level,vivid,13,2
atmosphere,temperature,neutral,1,2
atmosphere,temperature,warm,8,2
background,object_counts_by_position,background center,58,9
background,object_counts_by_position,background left,22,9
background,object_counts_by_position,background right,26,9
background,object_counts_by_position,foreground center,39,9
background,object_counts_by_position,foreground left,27,9
background,object_counts_by_position,foreground right,12,9
background,object_counts_by_position,midground center,35,9
background,object_counts_by_position,midground left,13,9
background,object_counts_by_position,midground right,19,9
background,position,background center,12,9
background,position,background left,9,9
background,position,background right,19,9
background,position,foreground center,23,9
background,position,foreground left,19,9
background,position,foreground right,14,9
background,position,midground center,24,9
background,position,midground left,16,9
background,position,midground right,20,9
camera,crop,book,1,21
camera,crop,bottom cropped,1,21
camera,crop,bottom edge crops lower legs,1,21
camera,crop,excludes lower legs footwear,1,21
camera,crop,hands,1,21
camera,crop,includes foreground rug background window,1,21
camera,crop,includes torso lap,1,21
camera,crop,left forearm partial,1,21
camera,crop,lower body cropped,2,21
camera,crop,lower lap area cropped,1,21
camera,crop,lower legs cropped,3,21
camera,crop,lower legs out of frame,3,21
camera,crop,other variants singles,4,21
camera,crop,partial lower legs,1,21
camera,crop,right boot partial,1,21
camera,crop,right cushion area partially cropped,1,21
