cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,21,4
atmosphere,aesthetic_qualities,dreamy,16,4
atmosphere,aesthetic_qualities,minimal,5,4
atmosphere,aesthetic_qualities,realistic,28,4
atmosphere,color_temperature,cool,1,3
atmosphere,color_temperature,neutral,9,3
atmosphere,color_temperature,warm,36,3
atmosphere,contrast_level,medium,47,2
atmosphere,dominant_palette,black,3,7
atmosphere,dominant_palette,blue,1,7
atmosphere,dominant_palette,brown,37,7
atmosphere,dominant_palette,mediumvioletred,4,7
atmosphere,dominant_palette,orange,2,7
atmosphere,dominant_palette,purple,2,7
atmosphere,dominant_palette,red,2,7
atmosphere,mood,calm,47,2
atmosphere,mood,joyful,9,2
atmosphere,palette,black,2,2
atmosphere,palette,brown,8,2
atmosphere,palette_colors,brown,20,2
atmosphere,palette_colors,lightgreen,1,2
atmosphere,saturation_level,neutral,23,2
atmosphere,saturation_level,vivid,13,2
background,object_counts_by_position,background center,41,9
background,object_counts_by_position,background left,23,9
background,object_counts_by_position,background right,44,9
background,object_counts_by_position,foreground center,78,9
background,object_counts_by_position,foreground left,52,9
background,object_counts_by_position,foreground right,27,9
background,object_counts_by_position,midground center,59,9
background,object_counts_by_position,midground left,50,9
background,object_counts_by_position,midground right,43,9
camera,crop,bottom cropped,1,17
camera,crop,feet visible,1,17
camera,crop,forearms near lower frame,1,17
camera,crop,full body above knees head,1,17
camera,crop,full body vertical,1,17
camera,crop,lower body cropped,1,17
camera,crop,lower body cropped near apron hem,1,17
camera,crop,lower body out of frame,1,17
camera,crop,lower leg slightly cropped,1,17
camera,crop,lower legs feet cropped,1,17
camera,crop,right edge cropped,1,17
camera,crop,skirt hem slightly cropped,1,17
camera,crop,small margin above ceiling,1,17
camera,crop,some negative space left,1,17
camera,crop,subject left center,1,17
camera,crop,top head near upper frame,1,17
camera,crop,visible floor foreground,1,17
camera,crop_tokens,captures person upper torso feet majority living room area,1,2
camera,crop_tokens,toes partially cropped,1,2
camera,depth_of_field,deep,13,3
camera,depth_of_field,moderate,12,3
camera,depth_of_field,shallow,36,3
camera,focal_length,normal,10,3
camera,focal_length,telephoto,4,3
camera,focal_length,wide,1,3
camera,framing,close up,1,6
camera,framing,establishing shot,7,6
camera,framing,full body,27,6
camera,framing,headshot,1,6
camera,framing,medium,21,6
camera,framing,wide,15,6
camera,perspective,eye level,48,3
camera,perspective,high angle,1,3
camera,perspective,low angle,1,3
environment,floor_color,beige,3,6
environment,floor_color,brown,6,6
environment,floor_color,gray,2,6
environment,floor_color,lightblue,1,6
environment,floor_color,mediumpurple,1,6
environment,floor_color,pink,2,6
environment,floor_material,beach brick or brick,1,11
environment,floor_material,brick,1,11
environment,floor_material,clay brick,2,11
environment,floor_material,compacted soil,1,11
