cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,16,4
atmosphere,aesthetic_qualities,dreamy,1,4
atmosphere,aesthetic_qualities,minimal,4,4
atmosphere,aesthetic_qualities,realistic,43,4
atmosphere,color,black,9,36
atmosphere,color,brown,5,36
atmosphere,color,cyan,1,36
atmosphere,color,mediumblue,3,36
atmosphere,color,mediumvioletred,1,36
atmosphere,color,red,1,36
atmosphere,color_temperature,cool,33,3
atmosphere,color_temperature,neutral,13,3
atmosphere,color_temperature,warm,3,3
atmosphere,contrast_level,high,6,2
atmosphere,contrast_level,medium,44,2
atmosphere,dominant_palette,black,24,8
atmosphere,dominant_palette,blue,4,8
atmosphere,dominant_palette,brown,7,8
atmosphere,dominant_palette,cyan,2,8
atmosphere,dominant_palette,gray,1,8
atmosphere,dominant_palette,mediumblue,9,8
atmosphere,dominant_palette,orangered,1,8
atmosphere,dominant_palette,red,2,8
atmosphere,mood,calm,45,2
atmosphere,mood,minimalistic,6,2
atmosphere,palette_detail,black,5,4
atmosphere,palette_detail,brown,2,4
atmosphere,palette_detail,cyan,1,4
atmosphere,palette_detail,mediumblue,2,4
atmosphere,saturation_level,neutral,35,2
atmosphere,saturation_level,vivid,13,2
background,object_counts_background_left,total objects,5,1
background,object_counts_by_position,background center,24,9
background,object_counts_by_position,background left,10,9
background,object_counts_by_position,background right,15,9
background,object_counts_by_position,foreground center,32,9
background,object_counts_by_position,foreground left,23,9
background,object_counts_by_position,foreground right,17,9
background,object_counts_by_position,midground center,24,9
background,object_counts_by_position,midground left,21,9
background,object_counts_by_position,midground right,21,9
background,object_counts_foreground_right,total objects,13,1
background,object_counts_midground_center,total objects,42,1
background,object_counts_summary,background center,9,9
background,object_counts_summary,background left,3,9
background,object_counts_summary,background right,2,9
background,object_counts_summary,foreground center,12,9
background,object_counts_summary,foreground left,9,9
background,object_counts_summary,foreground right,4,9
background,object_counts_summary,midground center,10,9
background,object_counts_summary,midground left,4,9
background,object_counts_summary,midground right,7,9
background,object_totals_by_position,background center,9,9
background,object_totals_by_position,background left,0,9
background,object_totals_by_position,background right,4,9
background,object_totals_by_position,foreground center,10,9
background,object_totals_by_position,foreground left,5,9
background,object_totals_by_position,foreground right,1,9
background,object_totals_by_position,midground center,8,9
background,object_totals_by_position,midground left,7,9
background,object_totals_by_position,midground right,9,9
background,position,background center,10,9
background,position,background left,9,9
background,position,background right,11,9
background,position,foreground center,10,9
background,position,foreground left,10,9
background,position,foreground right,9,9
background,position,midground center,4,9
background,position,midground left,9,9
background,position,midground right,7,9
camera,crop,full upper body with cart visible,1,7
camera,crop,head to toe,1,7
camera,crop,lower legs cropped,1,7
camera,crop,lower legs partially cropped,1,7
camera,crop,mid thigh,1,7
camera,crop,peripheral shelving cropped left right,1,7
camera,crop,slight lower right caster,1,7
camera,depth_of_field,deep,24,5
camera,depth_of_field,moderate,5,5
camera,depth_of_field,moderate dof,2,5
camera,depth_of_field,shallow,26,5
camera,depth_of_field,shallow dof,8,5
camera,focal_length,normal,8,3
camera,focal_length,telephoto,5,3
camera,focal_length,wide,4,3
camera,framing,establishing,12,4
camera,framing,full body,29,4
camera,framing,medium,21,4
camera,framing,wide,24,4
camera,perspective,eye level,52,3
camera,perspective,low angle,4,3
camera,perspective,third person,2,3
environment,aisle_width,medium,2,4
environment,aisle_width,moderately wide,1,4
environment,aisle_width,open very wide,1,4
environment,aisle_width,wide,1,4
environment,ceiling_color,black,4,4
environment,ceiling_color,gray,5,4
environment,ceiling_color,palegreen,1,4
environment,ceiling_color,white,21,4
environment,ceiling_material,acoustic,1,11
environment,ceiling_material,acoustic grid panels,1,11
environment,ceiling_material,acoustic panels,2,11
environment,ceiling_material,acoustic tile,2,11
environment,ceiling_material,composite,1,11
environment,ceiling_material,drop tiles,1,11
environment,ceiling_material,metal,1,11
environment,ceiling_material,metal grid,1,11
environment,ceiling_material,panel,1,11
environment,ceiling_material,plastic diffusers,1,11
environment,ceiling_material,suspended,1,11
environment,ceiling_texture,grid,2,6
environment,ceiling_texture,grid patterned,1,6
environment,ceiling_texture,matte,1,6
environment,ceiling_texture,ribbed,1,6
environment,ceiling_texture,smooth,3,6
environment,ceiling_texture,textured,2,6
environment,floor_color,beige,13,5
environment,floor_color,chocolate,1,5
environment,floor_color,gray,14,5
environment,floor_color,light gray,1,5
environment,floor_color,white,5,5
environment,floor_material,ceramic,5,6
environment,floor_material,ceramic look tile,1,6
environment,floor_material,ceramic tile,4,6
environment,floor_material,ceramic tile merged tokens,10,6
environment,floor_material,glazed tile,1,6
environment,floor_material,vinyl,1,6
environment,floor_texture,glazed,2,7
environment,floor_texture,glossy,2,7
environment,floor_texture,grout lines,1,7
environment,floor_texture,polished,2,7
environment,floor_texture,slightly reflective,1,7
environment,floor_texture,smooth,17,7
environment,floor_texture,tile,1,7
environment,location_type,commercial cleaning workspace,1,13
environment,location_type,commercial kitchen,3,13
environment,location_type,corridor,9,13
environment,location_type,grocery aisle,1,13
environment,location_type,grocery store,2,13
environment,location_type,grocery store aisle,1,13
environment,location_type,hallway,1,13
environment,location_type,retail grocery aisle,1,13
environment,location_type,supermarket,10,13
environment,location_type,supermarket aisle,1,13
environment,location_type,supermarket produce aisle,2,13
environment,location_type,utility corridor,1,13
environment,location_type,utility room,1,13
environment,openness,moderate,2,2
environment,openness,open,4,2
environment,spatial_depth,deep,5,2
environment,spatial_depth,moderate,4,2
environment,spatial_layout_aisle_width,wide,2,1
environment,spatial_layout_depth,deep,13,9
environment,spatial_layout_depth,elongated,1,9
environment,spatial_layout_depth,long,2,9
environment,spatial_layout_depth,medium,3,9
environment,spatial_layout_depth,medium deep,1,9
environment,spatial_layout_depth,medium long,1,9
environment,spatial_layout_depth,moderate,10,9
environment,spatial_layout_depth,open,1,9
environment,spatial_layout_depth,shallow,1,9
environment,spatial_layout_openness,enclosed,3,3
environment,spatial_layout_openness,moderate,1,3
environment,spatial_layout_openness,open,12,3
environment,surfaces_ceiling_condition,intact,2,2
environment,surfaces_ceiling_condition,white,9,2
environment,surfaces_ceiling_finish,matte,9,1
environment,surfaces_ceiling_material,acoustic tiles grouped variants,7,1
environment,surfaces_color,beige,8,5
environment,surfaces_color,gray,6,5
environment,surfaces_color,lightblue,1,5
environment,surfaces_color,saddlebrown,1,5
environment,surfaces_color,white,18,5
environment,surfaces_floor_color,gray,4,1
environment,surfaces_floor_condition,clean,3,1
environment,surfaces_floor_finish,high gloss,5,1
environment,surfaces_floor_material,tile,3,1
environment,surfaces_floor_texture,smooth,7,1
environment,surfaces_material,acoustic tile,10,20
environment,surfaces_material,ceramic tile,5,20
environment,surfaces_material,cinderblock,2,20
environment,surfaces_material,glass,1,20
environment,surfaces_material,linoleum,3,20
environment,surfaces_material,metal,1,20
environment,surfaces_material,paint,8,20
environment,surfaces_material,painted drywall,5,20
environment,surfaces_material,painted plaster,1,20
environment,surfaces_material,painted surface variant,2,20
environment,surfaces_material,plaster,3,20
environment,surfaces_material,plastic diffusers,1,20
environment,surfaces_material,polished stone,1,20
environment,surfaces_material,terrazzo,2,20
environment,surfaces_material,vinyl,4,20
environment,surfaces_material,vinyl or linoleum,1,20
environment,surfaces_material,vinyl or tile,1,20
environment,surfaces_material,vinyl tile,1,20
environment,surfaces_material,wood,1,20
environment,surfaces_material,wood paneling lower section,1,20
environment,surfaces_walls_color,beige,4,3
environment,surfaces_walls_color,gray,3,3
environment,surfaces_walls_color,white,5,3
environment,surfaces_walls_condition,clean,9,1
environment,surfaces_walls_texture,smooth,12,1
environment,time_of_day_hint,afternoon,1,2
environment,time_of_day_hint,noon,1,2
environment,walls_color,beige,2,10
environment,walls_color,black,5,10
environment,walls_color,black feature,1,10
environment,walls_color,gray,6,10
environment,walls_color,green,2,10
environment,walls_color,lightblue,1,10
environment,walls_color,mediumseagreen,1,10
environment,walls_color,mediumvioletred graphic,1,10
environment,walls_color,silver,2,10
environment,walls_color,white,11,10
environment,walls_condition,clean,2,5
environment,walls_condition,good,1,5
environment,walls_condition,maintained,1,5
environment,walls_condition,partially illegible text,1,5
environment,walls_condition,tidy,1,5
environment,walls_finish,matte,3,2
environment,walls_finish,paint,2,2
environment,walls_material,glossy plastic,1,11
environment,walls_material,metal,1,11
environment,walls_material,paint,3,11
environment,walls_material,painted metal or panel,2,11
environment,walls_material,painted metal shelving,1,11
environment,walls_material,panel,1,11
environment,walls_material,paper covered wall graphic,1,11
environment,walls_material,plastic shelf edge,1,11
environment,walls_material,printed matte,1,11
environment,walls_material,shelving or fitted panels,1,11
environment,walls_material,wood,1,11
environment,walls_texture,matte,3,3
environment,walls_texture,reflective,1,3
environment,walls_texture,smooth,5,3
lighting,artifacts,bokeh,1,37
lighting,artifacts,bokeh around ceiling lights,1,37
lighting,artifacts,diffuse ceiling reflections,1,37
