cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,7,3
atmosphere,aesthetic_qualities,dreamy,3,3
atmosphere,aesthetic_qualities,realistic,5,3
atmosphere,color_temperature,warm,9,3
atmosphere,colors,black,2,30
atmosphere,colors,brown,8,30
atmosphere,contrast_level,high,1,2
atmosphere,contrast_level,medium,8,2
atmosphere,dominant_palette,black,4,3
atmosphere,dominant_palette,brown,34,3
atmosphere,dominant_palette,mediumblue,2,3
atmosphere,lighting_profile_aesthetic_qualities,cinematic,13,4
atmosphere,lighting_profile_aesthetic_qualities,dreamy,3,4
atmosphere,lighting_profile_aesthetic_qualities,minimal,2,4
atmosphere,lighting_profile_aesthetic_qualities,realistic,17,4
atmosphere,lighting_profile_color_temperature,cool,14,3
atmosphere,lighting_profile_color_temperature,neutral,5,3
atmosphere,lighting_profile_color_temperature,warm,2,3
atmosphere,lighting_profile_contrast_level,medium,21,1
atmosphere,lighting_profile_saturation_level,neutral,17,2
atmosphere,lighting_profile_saturation_level,vivid,4,2
atmosphere,mood,calm,36,3
atmosphere,mood,joyful,2,3
atmosphere,mood,romantic,4,3
atmosphere,mood_distribution,calm,10,2
atmosphere,mood_distribution,joyful,2,2
atmosphere,saturation_level,neutral,6,2
atmosphere,saturation_level,vivid,3,2
background,object_counts_by_position,background center,30,9
background,object_counts_by_position,background left,17,9
background,object_counts_by_position,background right,10,9
background,object_counts_by_position,foreground center,60,9
background,object_counts_by_position,foreground left,36,9
background,object_counts_by_position,foreground right,29,9
background,object_counts_by_position,midground center,33,9
background,object_counts_by_position,midground left,19,9
background,object_counts_by_position,midground right,27,9
background,position_totals,background center,9,9
background,position_totals,background left,4,9
background,position_totals,background right,5,9
background,position_totals,foreground center,10,9
background,position_totals,foreground left,9,9
background,position_totals,foreground right,10,9
background,position_totals,midground center,7,9
background,position_totals,midground left,5,9
background,position_totals,midground right,5,9
camera,crop,bottom cropped,1,21
camera,crop,bottom edge cropped,1,21
camera,crop,bottom feet,1,21
camera,crop,cart base cropped,1,21
camera,crop,center left subject,1,21
camera,crop,centered,1,21
camera,crop,face centered,1,21
camera,crop,instrument right,1,21
camera,crop,lower body cropped,1,21
camera,crop,lower body out frame,1,21
camera,crop,lower legs footwear cropped by bottom edge,1,21
camera,crop,lower right leg partially cropped by bottom edge,1,21
camera,crop,near portrait,1,21
camera,crop,peripheral elements cropped,1,21
camera,crop,right edge partial,1,21
camera,crop,right shoe partial,1,21
camera,crop,right side cropped headstock,1,21
camera,crop,right side produce bin partially cropped,1,21
camera,crop,slightly right center,1,21
camera,crop,square,1,21
camera,crop,tight,1,21
camera,depth_of_field,moderate,8,2
camera,depth_of_field,shallow,52,2
camera,focal_length,normal,12,3
camera,focal_length,telephoto,12,3
camera,focal_length,wide,4,3
camera,framing,close up,8,6
camera,framing,establishing,2,6
camera,framing,full body,4,6
camera,framing,headshot,4,6
camera,framing,medium,44,6
camera,framing,wide,10,6
camera,perspective,eye level,44,1
environment,aisle_width,moderate,1,2
environment,aisle_width,wide,2,2
environment,ceiling_color,black,2,5
environment,ceiling_color,darkblue,1,5
environment,ceiling_color,gray,1,5
environment,ceiling_color,mediumpurple,1,5
environment,ceiling_color,white,8,5
environment,ceiling_condition,clean,2,8
environment,ceiling_condition,good,3,8
environment,ceiling_condition,intact,1,8
environment,ceiling_condition,maintained,1,8
environment,ceiling_condition,minor discoloration,1,8
environment,ceiling_condition,pristine,1,8
environment,ceiling_condition,slightly discolored,1,8
environment,ceiling_condition,well maintained,1,8
environment,ceiling_finish,matte,8,2
environment,ceiling_finish,reflective,1,2
environment,ceiling_material,acoustic panel,1,9
environment,ceiling_material,acoustic tile,2,9
environment,ceiling_material,diffuser,1,9
