cohort,standardized_dimension,standardized_label,count,bins
atmosphere,aesthetic_qualities,cinematic,13,4
atmosphere,aesthetic_qualities,dreamy,2,4
atmosphere,aesthetic_qualities,gritty,1,4
atmosphere,aesthetic_qualities,realistic,22,4
atmosphere,color,black,8,40
atmosphere,color,brown,1,40
atmosphere,color,red,1,40
atmosphere,color_temperature,cool,17,3
atmosphere,color_temperature,neutral,12,3
atmosphere,color_temperature,warm,6,3
atmosphere,contrast_level,high,3,3
atmosphere,contrast_level,low,1,3
atmosphere,contrast_level,medium,31,3
atmosphere,dominant_palette,black,23,8
atmosphere,dominant_palette,blue,0,8
atmosphere,dominant_palette,brown,19,8
atmosphere,dominant_palette,cyan,2,8
atmosphere,dominant_palette,mediumblue,1,8
atmosphere,dominant_palette,mediumvioletred,3,8
atmosphere,dominant_palette,red,3,8
atmosphere,dominant_palette,violet,0,8
atmosphere,mood,calm,23,3
atmosphere,mood,melancholic,1,3
atmosphere,mood,tense,9,3
atmosphere,saturation_level,neutral,24,2
atmosphere,saturation_level,vivid,10,2
background,object_counts_by_position,background center,23,9
background,object_counts_by_position,background left,17,9
background,object_counts_by_position,background right,18,9
background,object_counts_by_position,foreground center,41,9
background,object_counts_by_position,foreground left,25,9
background,object_counts_by_position,foreground right,22,9
background,object_counts_by_position,midground center,32,9
background,object_counts_by_position,midground left,23,9
background,object_counts_by_position,midground right,15,9
camera,crop,centered midground,1,8
camera,crop,cropped image right,1,8
camera,crop,cropped mid thigh,1,8
camera,crop,lower body included,1,8
camera,crop,lower body partial,1,8
camera,crop,lower legs cropped,3,8
camera,crop,lower legs partially cropped,1,8
camera,crop,tight moderate foreground right police cruiser officers,1,8
camera,depth_of_field,deep,11,3
camera,depth_of_field,moderate,19,3
camera,depth_of_field,shallow,21,3
camera,focal_length,normal,6,2
camera,focal_length,telephoto,11,2
camera,framing,close up,2,6
camera,framing,establishing,4,6
camera,framing,full body,16,6
camera,framing,headshot,6,6
camera,framing,medium,38,6
camera,framing,wide,10,6
camera,perspective,eye level,32,2
camera,perspective,third person,1,2
environment,aisle_width,medium,1,2
environment,aisle_width,wide,2,2
environment,ceiling_color,black,5,4
environment,ceiling_color,gray,3,4
environment,ceiling_color,mediumvioletred,1,4
environment,ceiling_color,white,7,4
environment,ceiling_condition,clean,4,2
environment,ceiling_condition,in good,2,2
environment,ceiling_material,acoustic panel variants,3,4
environment,ceiling_material,metal,4,4
environment,ceiling_material,plastic diffuser,2,4
environment,ceiling_material,suspended panels,2,4
environment,color,beige,10,40
environment,color,black,8,40
environment,color,black floor,2,40
environment,color,blue,1,40
environment,color,blue palette,0,40
environment,color,brown,8,40
environment,color,darkblue,3,40
environment,color,darkblue floor,1,40
environment,color,deepskyblue,1,40
environment,color,firebrick,2,40
environment,color,gray,9,40
environment,color,gray family,0,40
environment,color,gray floor,12,40
environment,color,lightblue,2,40
environment,color,lightgreen,1,40
environment,color,mediumblue,1,40
environment,color,mediumpurple,1,40
environment,color,other,0,40
environment,color,silver,1,40
environment,color,tan,1,40
environment,color,white,9,40
environment,color,white floor,9,40
environment,condition,abrasion,1,46
environment,condition,clean,3,46
environment,condition,fair,1,46
environment,condition,good,1,46
environment,condition,intact,3,46
environment,condition,localized wear,1,46
environment,condition,maintained,3,46
environment,condition,mild scuffing,1,46
environment,condition,minor scuffing,1,46
environment,condition,minor surface staining,1,46
environment,condition,minor surface wear,1,46
environment,condition,mostly intact,1,46
environment,condition,normal wear,1,46
environment,condition,other minor,0,46
environment,condition,patched,1,46
environment,condition,repaired,1,46
environment,condition,scuffed,1,46
environment,condition,slightly weathered,6,46
environment,condition,small cracks,1,46
environment,condition,surface dirt,1,46
environment,condition,visible wear,1,46
environment,condition,weathered,5,46
environment,condition,well maintained,1,46
environment,condition,well maintained or clean,0,46
environment,condition,worn,8,46
environment,finish,cast,1,17
environment,finish,glazed,2,17
environment,finish,glossy,2,17
environment,finish,matte,14,17
environment,finish,paint,2,17
environment,finish,reflective,4,17
environment,finish,weathered,4,17
environment,floor_color,beige,5,10
environment,floor_color,black,3,10
environment,floor_color,darkblue,1,10
environment,floor_color,darkslategrey,1,10
environment,floor_color,gray,11,10
environment,floor_color,light blue,2,10
environment,floor_color,light green,1,10
environment,floor_color,lightblue,1,10
environment,floor_color,white,6,10
environment,floor_color,yellow,1,10
environment,floor_condition,clean,8,13
environment,floor_condition,faded,1,13
environment,floor_condition,intact,1,13
environment,floor_condition,minor scuffing,1,13
environment,floor_condition,minor surface staining,1,13
environment,floor_condition,moderate,1,13
environment,floor_condition,moderate wear,1,13
environment,floor_condition,scattered surface wear,1,13
environment,floor_condition,scuffed,3,13
environment,floor_condition,slightly weathered,1,13
environment,floor_condition,slightly worn,1,13
environment,floor_condition,wet like,1,13
environment,floor_condition,worn,6,13
environment,floor_finish,glossy,1,7
environment,floor_finish,matte,7,7
environment,floor_finish,moderate sheen,1,7
environment,floor_finish,reflective sheen,1,7
environment,floor_finish,slightly glossy,1,7
environment,floor_finish,sunlit,1,7
environment,floor_finish,worn,1,7
environment,floor_material,asphalt,14,7
environment,floor_material,ceramic tile,8,7
environment,floor_material,concrete,8,7
environment,floor_material,grass,1,7
environment,floor_material,paint,5,7
environment,floor_material,painted concrete,1,7
environment,floor_material,vinyl,2,7
environment,floor_texture,broom finish,1,22
environment,floor_texture,flat,1,22
environment,floor_texture,hairline cracks,1,22
environment,floor_texture,matte,2,22
environment,floor_texture,matte paint,1,22
environment,floor_texture,oily patches,1,22
environment,floor_texture,rough,1,22
environment,floor_texture,rough worn,1,22
environment,floor_texture,scuffed,2,22
environment,floor_texture,short,1,22
environment,floor_texture,slightly glossy,1,22
environment,floor_texture,slightly rough,2,22
environment,floor_texture,slightly weathered,1,22
environment,floor_texture,slightly worn,1,22
environment,floor_texture,smooth,17,22
environment,floor_texture,smooth textured,1,22
environment,floor_texture,smooth worn,1,22
environment,floor_texture,textured,5,22
environment,floor_texture,tire marks,1,22
environment,floor_texture,wet like,1,22
environment,floor_texture,worn,3,22
environment,floor_texture,worn paint,1,22
environment,location_type,building entrance,1,18
environment,location_type,city intersection,1,18
environment,location_type,emergency vehicle scene,1,18
environment,location_type,grocery store,2,18
environment,location_type,intersection,4,18
environment,location_type,parking structure,1,18
environment,location_type,paved parking,1,18
environment,location_type,public street or plaza,1,18
environment,location_type,street intersection,3,18
environment,location_type,suburban roadway,3,18
environment,location_type,suburban street,14,18
environment,location_type,supermarket,8,18
environment,location_type,supermarket aisle,2,18
environment,location_type,supermarket produce department,1,18
environment,location_type,urban civic,1,18
environment,location_type,urban commercial street,1,18
environment,location_type,urban intersection,7,18
environment,location_type,urban street canyon,1,18
environment,material,asphalt,10,39
