cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,4
atmosphere,aesthetic_qualities,dreamy,1
atmosphere,aesthetic_qualities,realistic,3
atmosphere,aesthetic_quality,cinematic,5
atmosphere,aesthetic_quality,gritty,1
atmosphere,aesthetic_quality,realistic,4
atmosphere,color_temperature,cool,2
atmosphere,color_temperature,neutral,3
atmosphere,color_temperature,warm,11
atmosphere,contrast_level,high,9
atmosphere,contrast_level,medium,7
atmosphere,dominant_palette,black,10
atmosphere,dominant_palette,brown,9
atmosphere,dominant_palette,cyan,2
atmosphere,dominant_palette,medium blue,5
atmosphere,dominant_palette,mediumblue,3
atmosphere,dominant_palette,red,2
atmosphere,dominant_palette_mapped,black,2
atmosphere,dominant_palette_mapped,blue,2
atmosphere,dominant_palette_mapped,brown,5
atmosphere,dominant_palette_mapped,cyan,2
atmosphere,mood,dramatic,10
atmosphere,mood,tense,9
atmosphere,saturation_level,neutral,13
atmosphere,saturation_level,vivid,3
background,object_counts_by_position,background center,11
background,object_counts_by_position,background left,9
background,object_counts_by_position,background right,7
background,object_counts_by_position,foreground center,14
background,object_counts_by_position,foreground left,4
background,object_counts_by_position,foreground right,1
background,object_counts_by_position,midground center,2
background,object_counts_by_position,midground left,2
background,object_counts_by_position,midground right,1
background,object_counts_by_position_total,background center,9
background,object_counts_by_position_total,background left,4
background,object_counts_by_position_total,background right,5
background,object_counts_by_position_total,foreground center,14
background,object_counts_by_position_total,foreground left,4
background,object_counts_by_position_total,foreground right,2
background,object_counts_by_position_total,midground center,6
background,object_counts_by_position_total,midground left,3
background,object_counts_by_position_total,midground right,1
background,position,background center,9
background,position,background left,4
background,position,background right,5
background,position,foreground center,14
background,position,foreground left,4
background,position,foreground right,2
background,position,midground center,6
background,position,midground left,3
background,position,midground right,1
camera,angle,eye level,2
camera,crop,foot head margin,1
camera,crop,full body equal,1
camera,crop,lower legs cropped,1
camera,crop,lower legs partially cropped,1
camera,crop,lower right leg cropped by edge,1
camera,crop,lower shins cropped,1
camera,crop,minimal lower edge shoe,1
camera,crop,primary runner occupies midground right third,1
camera,crop,right side cropped,1
camera,crop,upper head cropped,1
camera,depth_of_field,deep,1
camera,depth_of_field,moderate,1
camera,depth_of_field,shallow,16
camera,focal_length,normal,1
camera,focal_length,telephoto,4
camera,focal_length,wide,1
camera,framing,full body,8
camera,framing,medium,8
camera,perspective,eye level,7
camera,perspective,low angle,7
environment,indoor_outdoor,unknown,20
environment,location_type,athletic facility,3
environment,location_type,athletics stadium,3
environment,location_type,athletics track,4
environment,location_type,indoor stadium,1
environment,location_type,outdoor athletic facility,1
environment,location_type,outdoor athletic facility merged variants,2
environment,location_type,outdoor sports facility,1
environment,location_type,running track,1
environment,location_type,sports stadium,1
environment,location_type,sports venue,1
environment,location_type,stadium,1
environment,location_type,track stadium,1
environment,openness,moderate,1
environment,openness,open,6
environment,spatial_layout_depth,deep,4
environment,spatial_layout_depth,moderate,2
environment,spatial_layout_depth,shallow,3
environment,surfaces_floor_color,brown,4
environment,surfaces_floor_color,crimson,1
environment,surfaces_floor_color,deeppink,1
environment,surfaces_floor_color,green,2
environment,surfaces_floor_color,red,5
environment,surfaces_floor_color,tomato,1
environment,surfaces_floor_color,white,1
environment,surfaces_floor_material,rubber,3
environment,surfaces_floor_material,rubberized,1
environment,surfaces_floor_material,rubberized track,1
environment,surfaces_floor_material,synthetic,2
environment,surfaces_floor_material,synthetic rubber,3
environment,surfaces_floor_material,turf,1
environment,surfaces_floor_material,unknown,1
environment,time_of_day_hint,afternoon,1
environment,time_of_day_hint,evening,1
environment,walls_material,concrete,3
environment,walls_material,metal,3
environment,walls_material,painted wall,1
environment,walls_material,siding,1
environment,weather,clear,1
environment,weather,cloudy,4
environment,weather,overcast,2
environment,weather,storm,1
environment,weather,sunny,5
lighting,artifacts,background blur,1
lighting,artifacts,background bokeh blur,1
lighting,artifacts,bloom,3
lighting,artifacts,camera glare fence edges,1
lighting,artifacts,lens diffusion,1
