cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,12
atmosphere,aesthetic_qualities,dreamy,2
atmosphere,aesthetic_qualities,quality cinematic,4
atmosphere,aesthetic_qualities,quality dreamy,1
atmosphere,aesthetic_qualities,quality realistic,6
atmosphere,aesthetic_qualities,realistic,10
atmosphere,color_temperature,cool,9
atmosphere,color_temperature,neutral,3
atmosphere,color_temperature,warm,12
atmosphere,contrast_level,high,9
atmosphere,contrast_level,medium,15
atmosphere,dominant_palette,black,7
atmosphere,dominant_palette,brown,18
atmosphere,dominant_palette,medium blue,1
atmosphere,dominant_palette,mediumblue,2
atmosphere,dominant_palette,mediumvioletred,2
atmosphere,dominant_palette,unknown,10
atmosphere,mood,calm,11
atmosphere,mood,dramatic,1
atmosphere,mood,melancholic,1
atmosphere,saturation_level,neutral,9
atmosphere,saturation_level,vivid,15
background,object_counts_by_position,background center,28
background,object_counts_by_position,background left,26
background,object_counts_by_position,background right,28
background,object_counts_by_position,foreground center,20
background,object_counts_by_position,foreground left,11
background,object_counts_by_position,foreground right,10
background,object_counts_by_position,midground center,18
background,object_counts_by_position,midground left,13
background,object_counts_by_position,midground right,14
background,object_counts_by_position,unknown,2
background,position,background center,2
background,position,background left,6
background,position,background right,7
background,position,foreground center,12
background,position,foreground left,5
background,position,foreground right,7
background,position,midground center,10
background,position,midground left,9
background,position,midground right,8
background,position,unknown,2
camera,crop,buildings cropped top sides,1
camera,crop,bus side sidewalk cropped,1
camera,crop,centered,1
camera,crop,cropped frame edges,1
camera,crop,left partial,1
camera,crop,lower body cropped,2
camera,crop,peripheral vehicles partially cropped,1
camera,crop,right extension,1
camera,crop,subject center left,1
camera,crop,subject center right,1
camera,crop,tight,1
camera,crop,tight vertical,1
camera,crop,torso head,1
camera,depth_of_field,deep,13
camera,depth_of_field,moderate,3
camera,depth_of_field,shallow,12
camera,focal_length,normal,5
camera,focal_length,telephoto,4
camera,focal_length,wide,4
camera,framing,establishing,11
camera,framing,full body,2
camera,framing,headshot,2
camera,framing,medium,13
camera,framing,wide,14
camera,perspective,eye level,26
camera,perspective,low angle,4
environment,ceiling_color,silver,1
environment,ceiling_color,white,1
environment,ceiling_condition,clean,1
environment,ceiling_condition,minor smudging,1
environment,ceiling_condition,well maintained,1
environment,ceiling_finish,glossy,1
environment,ceiling_finish,reflective,1
environment,ceiling_finish,slightly glossy,1
environment,ceiling_material,metal,2
environment,ceiling_texture,smooth,2
environment,floor_color,black,3
environment,floor_color,dark blue,2
environment,floor_color,darkblue,3
environment,floor_color,gray,41
environment,floor_color,mediumblue,1
environment,floor_color,white,5
environment,floor_condition,damp,1
environment,floor_condition,dirty,1
environment,floor_condition,dry,1
environment,floor_condition,faint tire scuffing,1
environment,floor_condition,faint wet sheen,1
environment,floor_condition,good,1
environment,floor_condition,intact,12
