cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,5
atmosphere,aesthetic_qualities,minimal,3
atmosphere,aesthetic_qualities,realistic,12
atmosphere,aesthetic_qualities,unknown,8
atmosphere,color_temperature,cool,9
atmosphere,color_temperature,neutral,4
atmosphere,color_temperature,unknown,6
atmosphere,color_temperature,warm,1
atmosphere,contrast_level,medium,16
atmosphere,contrast_level,unknown,4
atmosphere,dominant_color,black,1
atmosphere,dominant_color,brown,9
atmosphere,dominant_palette,black,1
atmosphere,dominant_palette,brown,9
atmosphere,dominant_palette,unknown,20
atmosphere,mood,calm,18
atmosphere,mood,minimalistic,1
atmosphere,mood,unknown,2
atmosphere,saturation_level,neutral,3
atmosphere,saturation_level,unknown,4
atmosphere,saturation_level,vivid,13
background,object_counts_by_position,background center,25
background,object_counts_by_position,background left,5
background,object_counts_by_position,background right,10
background,object_counts_by_position,foreground center,44
background,object_counts_by_position,foreground left,15
background,object_counts_by_position,foreground right,13
background,object_counts_by_position,midground center,17
background,object_counts_by_position,midground left,16
background,object_counts_by_position,midground right,9
background,object_counts_by_position,unknown,3
background,position,background center,14
background,position,background left,5
background,position,background right,7
background,position,foreground center,22
background,position,foreground left,6
background,position,foreground right,3
background,position,midground center,7
background,position,midground left,9
background,position,midground right,3
background,position,unknown,3
background,totals_by_position,background center,11
background,totals_by_position,background left,0
background,totals_by_position,background right,3
background,totals_by_position,foreground center,22
background,totals_by_position,foreground left,9
background,totals_by_position,foreground right,10
background,totals_by_position,midground center,10
background,totals_by_position,midground left,7
background,totals_by_position,midground right,6
camera,angle,unknown,20
camera,crop,annotations various tokens,10
camera,crop,bottom cropped,1
camera,crop,foreground table lower two thirds,1
camera,crop,mid torso,1
camera,crop,subject centered,2
camera,crop,table leading lines,1
camera,crop,upper thighs,1
camera,crop,upper torso,1
camera,depth_of_field,deep,13
camera,depth_of_field,moderate,5
camera,depth_of_field,shallow,11
camera,depth_of_field,unknown,1
camera,focal_length,normal,5
camera,focal_length,telephoto,3
camera,focal_length,unknown,22
camera,framing,establishing,5
camera,framing,medium,9
camera,framing,unknown,1
camera,framing,wide,11
camera,perspective,eye level,23
camera,perspective,unknown,7
environment,aisle_width,unknown,10
environment,ceiling_material,acoustic panel,1
environment,ceiling_material,acoustic panels,2
environment,ceiling_material,glossy panel,1
environment,ceiling_material,metal fixtures,1
environment,ceiling_material,painted acoustic panel,1
environment,ceiling_material,painted panel,1
environment,ceiling_material,panel,1
environment,ceiling_material,plaster,1
environment,ceiling_material,unknown,2
environment,ceiling_material,veneered wood trim,1
environment,floor_material,carpet,1
environment,floor_material,concrete,1
environment,floor_material,hardwood,1
environment,floor_material,unknown,4
environment,indoor_outdoor,unknown,20
environment,location_type,boardroom,7
environment,location_type,conference room,6
environment,location_type,office,7
environment,openness,enclosed,1
environment,openness,moderate,1
environment,openness,open,7
environment,openness,open but controlled,1
environment,spatial_depth,deep,3
environment,spatial_depth,moderate,4
environment,spatial_depth,moderate deep,1
environment,spatial_depth,shallow,2
environment,spatial_layout_aisle_width,unknown,9
environment,spatial_layout_depth,deep,4
environment,spatial_layout_depth,moderate,4
environment,spatial_layout_depth,unknown,1
environment,spatial_layout_openness,moderate,1
environment,spatial_layout_openness,moderately open,2
environment,spatial_layout_openness,open,5
environment,spatial_layout_openness,unknown,1
environment,time_of_day_hint,afternoon,2
environment,time_of_day_hint,unknown,18
environment,walls_color,black,1
environment,walls_color,brown,6
environment,walls_color,darkblue,1
environment,walls_color,darkslategrey,1
environment,walls_color,gray,5
environment,walls_color,mediumpurple,1
environment,walls_color,mediumseagreen,1
environment,walls_color,palegreen,1
environment,walls_color,pink,1
environment,walls_color,white,1
environment,walls_material,drywall,1
environment,walls_material,fabric,1
environment,walls_material,glass,4
environment,walls_material,metal,2
environment,walls_material,metal mullion,1
environment,walls_material,paint,1
environment,walls_material,painted plaster or metal,1
environment,walls_material,plaster,1
environment,walls_material,ribbed wall paneling,1
environment,walls_material,unknown,1
environment,walls_material,wood,2
environment,walls_material,wood paneling,1
environment,walls_material,wood slats,1
environment,walls_material,wood veneer,4
environment,walls_texture,faint horizontal screen,1
environment,walls_texture,reflective,2
environment,walls_texture,ribbed,1
environment,walls_texture,smooth,16
environment,walls_texture,textured,1
environment,walls_texture,veneered,1
environment,walls_texture,vertical grain,2
environment,weather,clear,2
environment,weather,cloudy,2
environment,weather,overcast,2
environment,weather,unknown,14
lighting,artifacts,double image reflection,1
lighting,artifacts,glare glass,1
lighting,artifacts,mild bloom,1
lighting,artifacts,minimal visible,1
lighting,artifacts,minimal visible digital,1
lighting,artifacts,minor reflection framed glass,1
lighting,artifacts,no lens flare,1
lighting,artifacts,no strong lens flare observed,1
lighting,artifacts,reflections ceiling panels,1
lighting,artifacts,reflections on table,1
lighting,artifacts,reflections table,1
lighting,artifacts,soft reflections table glass,1
lighting,artifacts,specular highlights polished table wood panel,1
lighting,artifacts,specular highlights table,1
lighting,artifacts,specular reflection table,1
lighting,artifacts,specular reflections eyeglass lenses,1
lighting,artifacts,specular reflections on eyeglass lenses,1
lighting,artifacts,specular reflections on tabletop,1
lighting,artifacts,specular reflections tabletop,1
lighting,artifacts,table specular reflections,1
lighting,color_temperature,cool,18
lighting,color_temperature,neutral,8
lighting,color_temperature,unknown,12
lighting,color_temperature,warm,2
lighting,contrast_level,medium,24
lighting,contrast_level,unknown,6
lighting,directionality,backlight,12
lighting,directionality,side light,8
lighting,directionality,top light,18
lighting,directionality,unknown,3
lighting,hardness,hard light,1
lighting,hardness,soft light,35
lighting,hardness,unknown,2
lighting,saturation_level,neutral,8
lighting,saturation_level,unknown,6
lighting,saturation_level,vivid,26
lighting,shadows,hard,1
lighting,shadows,soft,28
lighting,shadows,unknown,1
lighting,sources_count,four or more,11
lighting,sources_count,one source,12
lighting,sources_count,three,1
lighting,sources_count,two,1
lighting,sources_count,unknown,13
lighting,sources_type,artificial light source,19
lighting,sources_type,unknown,19
objects,color,beige,1
objects,color,black,27
objects,color,brown,12
objects,color,darkblue,7
objects,color,darkgreen,1
objects,color,darkslategrey,2
objects,color,gray,13
objects,color,green,1
objects,color,ivory,1
objects,color,mediumpurple,3
objects,color,pink,1
objects,color,silver,3
objects,color,white,13
objects,condition,clean,10
objects,condition,closed,1
objects,condition,good,20
objects,condition,healthy,1
objects,condition,intact,1
objects,condition,minimal surface wear,2
objects,condition,pristine,2
objects,condition,scattered,1
objects,condition,smudged,1
objects,condition,unknown,13
objects,condition,upright,1
objects,condition,well maintained,5
objects,finish,closed,1
objects,finish,glass covered,2
objects,finish,glazed,1
objects,finish,glossy,10
objects,finish,matte,10
objects,finish,polished,5
objects,finish,reflective,4
objects,finish,transparent,3
objects,finish,unknown,5
objects,material,acoustic panel,1
objects,material,aluminum,1
objects,material,cardstock,1
objects,material,ceramic,2
objects,material,chrome,1
objects,material,cloth bound,1
objects,material,faux leather,1
objects,material,glass,14
objects,material,leather,12
objects,material,mesh,3
objects,material,metal,13
objects,material,paper,13
objects,material,plastic,11
objects,material,steel,1
