cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,10
atmosphere,aesthetic_qualities,realistic,12
atmosphere,aesthetic_qualities,unknown,8
atmosphere,color_temperature,cool,2
atmosphere,color_temperature,unknown,8
atmosphere,color_temperature,warm,10
atmosphere,contrast_level,medium,12
atmosphere,contrast_level,unknown,8
atmosphere,dominant_palette,unknown,20
atmosphere,mood,calm,3
atmosphere,mood,joyful,1
atmosphere,mood,unknown,6
atmosphere,saturation_level,neutral,12
atmosphere,saturation_level,unknown,8
background,object_counts_by_position,background center,18
background,object_counts_by_position,background left,5
background,object_counts_by_position,background right,12
background,object_counts_by_position,foreground center,22
background,object_counts_by_position,foreground left,13
background,object_counts_by_position,foreground right,17
background,object_counts_by_position,midground center,17
background,object_counts_by_position,midground left,16
background,object_counts_by_position,midground right,13
background,object_counts_by_position,unknown,1
camera,angle,unknown,10
camera,crop,lower body cropped,2
camera,crop,lower body cropped below waist,1
camera,crop,lower frame partially occluded,1
camera,crop,medium tight,1
camera,crop,partial lower body,1
camera,crop,upper ventilation hood partially cropped,1
camera,depth_of_field,moderate,1
camera,depth_of_field,shallow,8
camera,depth_of_field,unknown,1
camera,focal_length,normal,1
camera,focal_length,telephoto,3
camera,focal_length,unknown,6
camera,framing,headshot,3
camera,framing,medium,9
camera,framing,unknown,1
camera,perspective,eye level,6
camera,perspective,unknown,4
environment,ceiling_material,metal,1
environment,ceiling_material,metal ductwork,1
environment,ceiling_material,plastic,1
environment,ceiling_material,stainless steel,2
environment,ceiling_material,unknown,4
environment,ceiling_material,wood,1
environment,ceiling_texture,brushed,2
environment,ceiling_texture,frosted,1
environment,ceiling_texture,matte,1
environment,ceiling_texture,smooth,2
environment,ceiling_texture,unknown,4
environment,ceiling_texture,varnished,1
environment,floor_color,black,5
environment,floor_color,mediumpurple,1
environment,floor_material,tile,1
environment,floor_material,unknown,5
environment,floor_texture,smooth,1
environment,floor_texture,unknown,5
environment,indoor_outdoor,unknown,10
environment,location_type,commercial kitchen,5
environment,location_type,kitchen unspecified,1
environment,location_type,unknown,4
environment,spatial_layout_depth,layered,1
environment,spatial_layout_depth,moderate,4
