cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,14
atmosphere,aesthetic_qualities,dreamy,7
atmosphere,aesthetic_qualities,realistic,7
atmosphere,aesthetic_qualities,unknown,7
atmosphere,color_temperature,unknown,2
atmosphere,color_temperature,warm,18
atmosphere,contrast_level,high,16
atmosphere,contrast_level,low,1
atmosphere,contrast_level,medium,1
atmosphere,contrast_level,unknown,2
atmosphere,dominant_palette,brown,25
atmosphere,dominant_palette,lightgreen,2
atmosphere,dominant_palette,medium violet red,5
atmosphere,dominant_palette,mediumvioletred,11
atmosphere,mood,calm,9
atmosphere,mood,dramatic,16
atmosphere,mood,melancholic,1
atmosphere,saturation_level,neutral,16
atmosphere,saturation_level,unknown,2
atmosphere,saturation_level,vivid,2
background,object_counts_by_position,background center,21
background,object_counts_by_position,background left,9
background,object_counts_by_position,background right,14
background,object_counts_by_position,foreground center,19
background,object_counts_by_position,foreground left,2
background,object_counts_by_position,foreground right,2
background,object_counts_by_position,midground center,3
background,object_counts_by_position,midground left,7
background,object_counts_by_position,midground right,7
camera,angle,dolly out,1
camera,angle,unknown,19
camera,crop,head near upper third,1
camera,crop,includes floor area,1
camera,crop,includes full figure,1
camera,crop,some headspace,1
camera,depth_of_field,deep,1
camera,depth_of_field,moderate,1
camera,depth_of_field,moderate dof,1
camera,depth_of_field,shallow,4
camera,depth_of_field,shallow dof,5
camera,depth_of_field,unknown,8
camera,focal_length,normal,5
camera,focal_length,telephoto,3
camera,focal_length,unknown,12
camera,framing,establishing shot,1
camera,framing,full body,14
camera,framing,medium,2
camera,framing,unknown,2
camera,framing,wide,5
camera,perspective,eye level,6
camera,perspective,low angle,4
camera,perspective,third person,1
camera,perspective,unknown,9
environment,ceiling_color,black,3
environment,ceiling_color,darkblue,6
environment,ceiling_color,snow,1
environment,ceiling_condition,slight dust,1
environment,ceiling_condition,unknown,6
environment,ceiling_condition,weathered,1
environment,ceiling_condition,well maintained,1
environment,ceiling_finish,glossy,1
environment,ceiling_finish,matte,4
environment,ceiling_finish,polished,1
environment,ceiling_finish,unknown,3
environment,ceiling_material,metal,4
environment,ceiling_material,unknown,5
environment,ceiling_texture,detailed,1
environment,ceiling_texture,glossy metal,1
environment,ceiling_texture,matte,4
environment,ceiling_texture,truss,1
environment,ceiling_texture,unknown,3
environment,floor_color,black,2
environment,floor_color,brown,5
environment,floor_color,darkblue,1
environment,floor_color,honeydew,1
environment,floor_color,pink,1
environment,floor_color,white,1
environment,floor_condition,minimal scuffing,6
environment,floor_condition,polished,8
environment,floor_finish,glossy,6
environment,floor_finish,low reflectance,1
environment,floor_finish,polished,4
environment,floor_finish,reflective,3
environment,floor_finish,satin sheen,1
environment,floor_finish,soft sheen,1
environment,floor_material,hardwood,1
environment,floor_material,unknown,2
environment,floor_material,varnished wood,1
environment,floor_material,wood,7
environment,floor_texture,glossy,1
environment,floor_texture,glossy reflection,1
environment,floor_texture,grain,1
environment,floor_texture,plank,1
environment,floor_texture,polished,1
environment,floor_texture,reflective,2
environment,floor_texture,smooth,9
environment,floor_texture,woodgrain,1
environment,indoor_outdoor,unknown,20
environment,location_type,dance studio,2
environment,location_type,performance hall,2
environment,location_type,performance space,2
environment,location_type,practice room,1
environment,location_type,rehearsal studio,1
environment,location_type,stage,3
environment,location_type,theater,1
environment,location_type,theatrical performance space,2
environment,location_type,theatrical stage,6
environment,spatial_layout_aisle_width,unknown,17
environment,spatial_layout_depth,deep,4
environment,spatial_layout_depth,moderate,7
environment,spatial_layout_depth,open,5
environment,spatial_layout_depth,shallow,1
environment,spatial_layout_openness,open,17
environment,time_of_day_hint,afternoon,1
environment,time_of_day_hint,unknown,19
environment,walls_color,black,4
environment,walls_color,brown,1
environment,walls_color,cyan,1
environment,walls_color,darkblue,4
environment,walls_color,gray,4
environment,walls_color,mediumpurple,1
environment,walls_condition,aged,2
environment,walls_condition,aged but maintained,1
environment,walls_condition,clean,1
environment,walls_condition,dust holding shadowed crevices,1
environment,walls_condition,good,1
environment,walls_condition,intact,1
environment,walls_condition,slightly worn,1
environment,walls_condition,unknown,4
environment,walls_finish,matte,8
environment,walls_finish,smooth,1
environment,walls_finish,unknown,3
environment,walls_material,fabric,3
environment,walls_material,metal,1
environment,walls_material,paint,1
environment,walls_material,painted surface,2
environment,walls_material,plaster,1
environment,walls_material,unknown,4
environment,walls_material,wood,2
environment,walls_texture,aged,1
environment,walls_texture,hazy,1
environment,walls_texture,matte,2
environment,walls_texture,mottled,1
environment,walls_texture,smooth,4
environment,walls_texture,textured,2
environment,walls_texture,unknown,2
environment,walls_texture,vertical folds,1
environment,walls_texture,weathered,1
environment,weather,unknown,20
lighting,artifacts,bloom,3
lighting,artifacts,bulb halos,1
lighting,artifacts,gentle bloom,1
lighting,artifacts,halo,1
lighting,artifacts,haze,1
lighting,artifacts,lens flare,2
lighting,artifacts,light bloom,1
lighting,artifacts,light rays,1
lighting,artifacts,low gloss reflections floor,1
lighting,artifacts,mild bloom,1
lighting,artifacts,mild glow around fixtures,1
lighting,artifacts,minor glare,1
lighting,artifacts,motion blur,1
lighting,artifacts,motion blur right pointe shoe,1
lighting,artifacts,no lens flare visible,1
lighting,artifacts,soft circular flares,1
lighting,artifacts,soft grid shadows window,1
lighting,artifacts,soft veiling,1
lighting,artifacts,specular highlights satin beading,1
lighting,artifacts,specular reflection floor,1
lighting,artifacts,visible dust haze beams,1
lighting,color_temperature,unknown,6
lighting,color_temperature,warm,24
lighting,contrast_level,high,21
lighting,contrast_level,low,2
lighting,contrast_level,medium,1
lighting,contrast_level,unknown,6
lighting,saturation_level,neutral,20
lighting,saturation_level,unknown,6
lighting,saturation_level,vivid,4
lighting,shadows,casting,5
lighting,shadows,hard,2
lighting,shadows,medium,1
lighting,shadows,soft,13
lighting,shadows,unknown,2
lighting,sources_count,four or more,7
lighting,sources_count,one,4
lighting,sources_count,one source,6
lighting,sources_count,three,1
lighting,sources_count,two,1
lighting,sources_count,unknown,5
lighting,sources_directionality,backlight,14
lighting,sources_directionality,sidelight,5
lighting,sources_directionality,toplight,13
lighting,sources_directionality,unknown,6
lighting,sources_hardness,hard,7
lighting,sources_hardness,medium,3
lighting,sources_hardness,soft,12
lighting,sources_hardness,unknown,2
lighting,sources_type,artificial,17
lighting,sources_type,unknown,7
objects,plane,background,44
objects,plane,foreground,23
objects,plane,midground,17
objects,side,center,43
objects,side,left,18
