cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,15
atmosphere,aesthetic_qualities,dreamy,1
atmosphere,aesthetic_qualities,realistic,16
atmosphere,aesthetic_qualities,unknown,13
atmosphere,color_temperature,cool,5
atmosphere,color_temperature,unknown,4
atmosphere,color_temperature,warm,21
atmosphere,contrast_level,high,3
atmosphere,contrast_level,medium,21
atmosphere,contrast_level,unknown,6
atmosphere,dominant_palette,brown,10
atmosphere,dominant_palette,unknown,10
atmosphere,mood,calm,20
atmosphere,palette,brown,10
atmosphere,saturation_level,neutral,18
atmosphere,saturation_level,unknown,8
atmosphere,saturation_level,vivid,4
background,object_counts_by_position,background center,46
background,object_counts_by_position,background left,14
background,object_counts_by_position,background right,15
background,object_counts_by_position,foreground center,9
background,object_counts_by_position,foreground left,11
background,object_counts_by_position,foreground right,3
background,object_counts_by_position,midground center,11
background,object_counts_by_position,midground left,2
background,object_counts_by_position,midground right,2
camera,angle,unknown,20
camera,crop,bottom edge crops lower legs,1
camera,crop,lower legs out of frame,1
camera,crop,partial lower legs,1
camera,crop,right boot partial,1
camera,crop,right shoe bottom cropped,1
camera,crop,subject centered,1
camera,depth_of_field,deep,2
camera,depth_of_field,moderate,1
camera,depth_of_field,shallow,16
camera,depth_of_field,unknown,1
camera,focal_length,normal,2
camera,focal_length,telephoto,6
camera,focal_length,unknown,12
camera,framing,establishing,7
camera,framing,full body,3
camera,framing,medium,16
camera,framing,unknown,2
camera,framing,wide,2
camera,perspective,eye level,11
camera,perspective,low angle,4
camera,perspective,unknown,5
environment,ceiling_color,gray,6
environment,ceiling_material,clouds,3
environment,ceiling_material,sky,3
environment,ceiling_texture,cloud filled,1
environment,ceiling_texture,diffuse,1
environment,ceiling_texture,layered,3
environment,ceiling_texture,textured,1
environment,floor_color,brown,21
environment,floor_color,darkgreen,2
environment,floor_color,gold,2
environment,floor_color,green,2
environment,floor_color,palegreen,1
environment,floor_color,tan,1
environment,floor_condition,brittle,3
environment,floor_condition,compacted,2
