cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,3
atmosphere,aesthetic_qualities,minimal,3
atmosphere,aesthetic_qualities,realistic,8
atmosphere,aesthetic_qualities,unknown,11
atmosphere,color_temperature,cool,1
atmosphere,color_temperature,neutral,6
atmosphere,color_temperature,unknown,5
atmosphere,color_temperature,warm,14
atmosphere,contrast_level,medium,22
atmosphere,contrast_level,unknown,10
atmosphere,dominant_palette,brown,10
atmosphere,dominant_palette,unknown,11
atmosphere,mood,calm,20
atmosphere,palette_color,brown,10
atmosphere,palette_colors,brown,10
atmosphere,palette_colors,lightgreen,1
atmosphere,saturation_level,neutral,5
atmosphere,saturation_level,unknown,7
atmosphere,saturation_level,vivid,8
background,object_counts_by_position,background center,14
background,object_counts_by_position,background left,5
background,object_counts_by_position,background right,13
background,object_counts_by_position,foreground center,18
background,object_counts_by_position,foreground left,14
background,object_counts_by_position,foreground right,5
background,object_counts_by_position,midground center,8
background,object_counts_by_position,midground left,11
background,object_counts_by_position,midground right,13
camera,angle,unknown,20
camera,crop,right edge cropped,1
camera,crop,small margin above ceiling,1
camera,crop,unknown,1
camera,crop,visible floor foreground,1
camera,crop_tokens,captures person upper torso feet majority living room area,1
camera,crop_tokens,toes partially cropped,1
camera,depth_of_field,deep,7
camera,depth_of_field,moderate,7
camera,depth_of_field,shallow,2
camera,depth_of_field,unknown,4
camera,focal_length,normal,1
camera,focal_length,telephoto,1
camera,focal_length,unknown,18
camera,framing,establishing,3
camera,framing,establishing shot,1
camera,framing,full body,8
camera,framing,medium,2
camera,framing,wide,9
camera,perspective,eye level,16
camera,perspective,high angle,1
camera,perspective,unknown,3
environment,floor_color,beige,3
environment,floor_color,brown,6
environment,floor_color,gray,2
environment,floor_color,lightblue,1
environment,floor_color,mediumpurple,1
environment,floor_color,pink,2
environment,floor_texture,fibrous,1
environment,floor_texture,low pile,3
environment,floor_texture,plush,1
environment,floor_texture,polished,1
environment,floor_texture,smooth,6
environment,floor_texture,soft,2
environment,floor_texture,subtle grain,1
environment,floor_texture,textured,1
environment,floor_texture,unknown,1
environment,floor_texture,visible wood grain,1
environment,floor_texture,wood grain,1
environment,floor_texture,woven,1
environment,indoor_outdoor,unknown,20
environment,location_type,living room,18
environment,location_type,residential living room,2
environment,spatial_layout_aisle_width,unknown,17
environment,spatial_layout_depth,medium,1
environment,spatial_layout_depth,moderate,8
environment,spatial_layout_depth,open,1
environment,spatial_layout_depth,unknown,7
environment,spatial_layout_openness,moderate,1
environment,spatial_layout_openness,moderately open,1
environment,spatial_layout_openness,open,15
environment,spatial_layout_openness,unknown,1
environment,surfaces_ceiling_color,black,1
environment,surfaces_ceiling_color,white,9
environment,surfaces_floor_material,hardwood,6
environment,surfaces_floor_material,textile rug carpet,3
environment,surfaces_floor_material,wood,2
environment,surfaces_walls_color,wall beige,2
environment,surfaces_walls_color,wall gray,2
environment,surfaces_walls_color,wall pale green,1
environment,surfaces_walls_color,wall white,5
environment,surfaces_walls_material,drywall,5
environment,surfaces_walls_material,painted drywall,2
environment,surfaces_walls_material,painted paint,6
environment,surfaces_walls_material,plaster,1
environment,surfaces_walls_texture,matte,1
environment,surfaces_walls_texture,smooth,10
environment,time_of_day_hint,afternoon,1
environment,time_of_day_hint,morning,1
environment,time_of_day_hint,noon,1
environment,time_of_day_hint,unknown,17
environment,wall_finish,matte,7
environment,wall_finish,painted,1
environment,wall_finish,smooth,1
environment,wall_finish,unknown,1
environment,weather,sunny,2
environment,weather,unknown,18
lighting,artifacts,background bloom artifact,1
lighting,artifacts,each reported once,0
lighting,artifacts,gentle vignetting,1
lighting,artifacts,highlights glossy plant leaves,1
lighting,artifacts,low visible photographic grain,1
lighting,artifacts,mild reflection glass sliding door,1
lighting,artifacts,mild specular reflection television,1
lighting,artifacts,no lens flare observed,1
lighting,artifacts,overexposed outside window,1
lighting,artifacts,reflection tv,1
lighting,artifacts,reflections,1
lighting,artifacts,slight photographic softness,1
lighting,artifacts,soft reflections on glass,1
lighting,artifacts,specular highlights vacuum,1
lighting,artifacts,specular reflections floor,1
lighting,artifacts,specular reflections metal glass,1
lighting,artifacts,window overexposure,1
lighting,color_temperature,cool,1
lighting,color_temperature,neutral,3
lighting,color_temperature,unknown,8
lighting,color_temperature,warm,8
lighting,contrast_level,medium,13
lighting,contrast_level,unknown,7
lighting,directionality,backlight,11
lighting,directionality,sidelight,10
lighting,directionality,unknown,14
lighting,hardness,soft light,14
lighting,hardness,unknown,2
lighting,saturation_level,neutral,4
lighting,saturation_level,unknown,8
lighting,saturation_level,vivid,8
lighting,shadows,hard,1
lighting,shadows,soft,19
lighting,sources_count,one,13
lighting,sources_count,one light source,8
lighting,sources_count,two,1
lighting,sources_count,two light,1
lighting,sources_count,unknown,10
lighting,sources_hardness,soft,16
lighting,sources_hardness,unknown,1
lighting,sources_type,artificial light,7
lighting,sources_type,source artificial,7
lighting,sources_type,unknown,19
objects,color,beige,35
objects,color,black,21
objects,color,blue,2
objects,color,blue palette,8
objects,color,brown,14
objects,color,chocolate,2
objects,color,darkblue,6
objects,color,darkgreen,1
objects,color,darkslategrey,1
objects,color,darkviolet,1
objects,color,firebrick,3
objects,color,gray,24
objects,color,green,19
objects,color,green palette,12
objects,color,lightblue,2
objects,color,lightgreen,1
objects,color,lightyellow,2
objects,color,mediumpurple,7
objects,color,mediumslateblue,3
objects,color,orange palette,2
objects,color,other unique colors,7
objects,color,palegreen,2
objects,color,pink,3
objects,color,purple palette,1
objects,color,silver,4
objects,color,snow,1
objects,color,tan,4
objects,color,turquoise,1
objects,color,white,38
objects,condition,clean,50
objects,condition,gently used,5
objects,condition,good,80
objects,condition,healthy,6
objects,condition,intact,9
objects,condition,light use,1
objects,condition,lightly used,2
objects,condition,minor wrinkling,1
objects,condition,neatly stacked,1
objects,condition,off state,1
objects,condition,others,0
objects,condition,plump,2
objects,condition,slightly indented,1
objects,condition,tidy,5
objects,condition,unknown,17
objects,condition,wear consistent brushing,1
objects,condition,well maintained,8
objects,finish,brass,1
objects,finish,brushed metal,1
objects,finish,clean,7
objects,finish,framed,3
objects,finish,glazed,8
objects,finish,glossy,17
objects,finish,lacquered,1
objects,finish,matte,36
objects,finish,others,0
objects,finish,painted,6
objects,finish,polished,3
objects,finish,reflective,1
objects,finish,stained,2
objects,finish,unknown,37
objects,finish,varnished,13
objects,finish,warm metal,1
objects,material,ceramic,21
objects,material,clay,1
objects,material,fabric,30
objects,material,glass,26
objects,material,iron,1
objects,material,leather,1
objects,material,metal,20
objects,material,paper,9
objects,material,plant,17
objects,material,plastic,28
objects,material,rattan,1
objects,material,rattan baskets,1
objects,material,rubber,6
objects,material,stone,1
objects,material,terracotta,1
objects,material,unknown,3
objects,material,upholstery,3
objects,material,upholstery fabric,3
objects,material,veneer,1
