cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,3
atmosphere,aesthetic_qualities,minimal,2
atmosphere,aesthetic_qualities,realistic,15
atmosphere,aesthetic_qualities,unknown,7
atmosphere,color,black,5
atmosphere,color,brown,4
atmosphere,color,mediumblue,1
atmosphere,contrast_level,high,4
atmosphere,contrast_level,medium,11
atmosphere,contrast_level,unknown,5
atmosphere,dominant_palette,black,5
atmosphere,dominant_palette,brown,2
atmosphere,dominant_palette,cyan,1
atmosphere,dominant_palette,medium blue,2
atmosphere,dominant_palette,unknown,10
atmosphere,mood,calm,18
atmosphere,mood,minimalistic,5
atmosphere,mood,unknown,1
atmosphere,palette_detail,black,5
atmosphere,palette_detail,brown,2
atmosphere,palette_detail,cyan,1
atmosphere,palette_detail,mediumblue,2
atmosphere,saturation_level,neutral,9
atmosphere,saturation_level,unknown,5
atmosphere,saturation_level,vivid,6
atmosphere,temperature,cool,9
atmosphere,temperature,neutral,5
atmosphere,temperature,unknown,4
atmosphere,temperature,warm,2
background,object_counts_background_center,total objects,9
background,object_counts_background_left,total objects,3
background,object_counts_background_right,total objects,2
background,object_counts_by_position,background center,9
background,object_counts_by_position,background left,0
background,object_counts_by_position,background right,4
background,object_counts_by_position,foreground center,10
background,object_counts_by_position,foreground left,5
background,object_counts_by_position,foreground right,1
background,object_counts_by_position,midground center,8
background,object_counts_by_position,midground left,7
background,object_counts_by_position,midground right,9
background,object_counts_by_position,unknown,1
background,object_counts_foreground_center,total objects,12
background,object_counts_foreground_left,total objects,9
background,object_counts_foreground_right,total objects,4
background,object_counts_midground_center,total objects,10
background,object_counts_midground_left,total objects,4
background,object_counts_midground_right,total objects,7
background,object_counts_summary,background center,9
background,object_counts_summary,background left,3
background,object_counts_summary,background right,2
background,object_counts_summary,foreground center,12
background,object_counts_summary,foreground left,9
background,object_counts_summary,foreground right,4
background,object_counts_summary,midground center,10
background,object_counts_summary,midground left,4
background,object_counts_summary,midground right,7
background,object_totals_by_position,background center,9
background,object_totals_by_position,background left,0
background,object_totals_by_position,background right,4
background,object_totals_by_position,foreground center,10
background,object_totals_by_position,foreground left,5
background,object_totals_by_position,foreground right,1
background,object_totals_by_position,midground center,8
background,object_totals_by_position,midground left,7
