cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,4
atmosphere,aesthetic_qualities,gritty,1
atmosphere,aesthetic_qualities,realistic,8
atmosphere,aesthetic_qualities,unknown,12
atmosphere,color_temperature,cool,3
atmosphere,color_temperature,neutral,3
atmosphere,color_temperature,unknown,10
atmosphere,color_temperature,warm,4
atmosphere,contrast_level,high,1
atmosphere,contrast_level,low,1
atmosphere,contrast_level,medium,8
atmosphere,contrast_level,unknown,10
atmosphere,dominant_palette,black,9
atmosphere,dominant_palette,blue,0
atmosphere,dominant_palette,brown,6
atmosphere,dominant_palette,cyan,2
atmosphere,dominant_palette,medium violet red,1
atmosphere,dominant_palette,mediumblue,1
atmosphere,dominant_palette,mediumvioletred,2
atmosphere,dominant_palette,unknown,19
atmosphere,dominant_palette,violet,0
atmosphere,mood,calm,9
atmosphere,mood,melancholic,1
atmosphere,mood,tense,8
atmosphere,mood,unknown,4
atmosphere,saturation_level,neutral,8
atmosphere,saturation_level,unknown,9
atmosphere,saturation_level,vivid,3
background,object_counts_by_position,background center,9
background,object_counts_by_position,background left,12
background,object_counts_by_position,background right,9
background,object_counts_by_position,foreground center,15
background,object_counts_by_position,foreground left,8
background,object_counts_by_position,foreground right,10
background,object_counts_by_position,midground center,21
background,object_counts_by_position,midground left,14
background,object_counts_by_position,midground right,9
background,object_counts_by_position,unknown,1
camera,angle,unknown,20
camera,crop,cropped mid thigh,1
camera,crop,lower body included,1
camera,crop,lower body partial,1
camera,crop,tight moderate foreground right police cruiser officers,1
camera,crop,unknown,1
camera,depth_of_field,deep,3
camera,depth_of_field,moderate,9
camera,depth_of_field,shallow,5
camera,depth_of_field,unknown,3
camera,focal_length,normal,1
camera,focal_length,telephoto,6
camera,focal_length,unknown,13
camera,framing,full body,8
camera,framing,medium,10
camera,framing,unknown,2
camera,framing,wide,4
camera,perspective,eye level,11
camera,perspective,third person,1
camera,perspective,unknown,8
environment,aisle_width,unknown,10
environment,ceiling,unknown,3
environment,color,beige,3
environment,color,black,2
environment,color,black floor,2
environment,color,blue,1
environment,color,blue palette,0
environment,color,brown,8
environment,color,darkblue,2
environment,color,darkblue floor,1
environment,color,firebrick,2
environment,color,gray,6
environment,color,gray family,0
environment,color,gray floor,12
environment,color,mediumblue,1
environment,color,mediumpurple,1
environment,color,other,0
environment,color,silver,1
environment,color,tan,1
environment,color,white,0
environment,color,white floor,9
environment,condition,abrasion,1
environment,condition,clean,3
environment,condition,fair,1
environment,condition,good,1
environment,condition,intact,3
environment,condition,localized wear,1
environment,condition,maintained,3
environment,condition,mild scuffing,1
environment,condition,minor scuffing,1
environment,condition,minor surface staining,1
environment,condition,minor surface wear,1
environment,condition,mostly intact,1
environment,condition,normal wear,1
environment,condition,other minor,0
environment,condition,patched,1
environment,condition,repaired,1
environment,condition,scuffed,1
environment,condition,slightly weathered,6
environment,condition,small cracks,1
environment,condition,surface dirt,1
environment,condition,unknown,3
environment,condition,visible wear,1
environment,condition,weathered,5
environment,condition,well maintained,1
environment,condition,well maintained or clean,0
environment,condition,worn,8
environment,condition,worn or slightly weathered,0
environment,finish,cast,1
environment,finish,glazed,2
environment,finish,glossy,2
environment,finish,matte,14
environment,finish,painted,2
environment,finish,reflective,4
environment,finish,unknown,4
environment,finish,weathered,4
environment,floor_color,black,3
environment,floor_color,darkblue,1
environment,floor_color,darkslategrey,1
environment,floor_color,gray,10
environment,floor_color,lightblue,1
environment,floor_color,white,5
environment,floor_color,yellow,1
environment,floor_condition,faded,1
environment,floor_condition,intact,1
environment,floor_condition,minor scuffing,1
environment,floor_condition,minor surface staining,1
environment,floor_condition,moderate,1
environment,floor_condition,moderate wear,1
environment,floor_condition,scattered surface wear,1
environment,floor_condition,scuffed,3
environment,floor_condition,slightly weathered,1
environment,floor_condition,slightly worn,1
environment,floor_condition,wet like,1
environment,floor_condition,worn,6
environment,floor_finish,glossy,1
environment,floor_finish,matte,7
environment,floor_finish,moderate sheen,1
environment,floor_finish,reflective sheen,1
environment,floor_finish,slightly glossy,1
environment,floor_finish,sunlit,1
environment,floor_finish,unknown,3
environment,floor_finish,worn,1
environment,floor_material,asphalt,10
environment,floor_material,concrete,3
environment,floor_material,paint,4
environment,floor_material,painted concrete,1
environment,floor_texture,hairline cracks,1
environment,floor_texture,matte paint,1
environment,floor_texture,oily patches,1
environment,floor_texture,rough,1
environment,floor_texture,rough worn,1
environment,floor_texture,scuffed,2
environment,floor_texture,slightly glossy,1
environment,floor_texture,slightly rough,2
environment,floor_texture,slightly weathered,1
environment,floor_texture,slightly worn,1
environment,floor_texture,smooth,4
environment,floor_texture,smooth worn,1
environment,floor_texture,textured,2
environment,floor_texture,tire marks,1
environment,floor_texture,wet like,1
environment,floor_texture,worn,3
environment,floor_texture,worn paint,1
environment,indoor_outdoor,unknown,20
environment,location_type,city intersection,1
environment,location_type,intersection,1
environment,location_type,street intersection,3
environment,location_type,suburban street,1
environment,location_type,urban commercial street,1
environment,location_type,urban intersection,1
environment,location_type,urban roadway,1
environment,location_type,urban street,4
environment,location_type,urban street canyon,1
environment,location_type,urban street intersection,6
environment,material,asphalt,10
environment,material,brick,6
environment,material,concrete,4
environment,material,glass,9
environment,material,masonry,6
environment,material,metal,2
environment,material,paint,8
environment,material,steel,2
environment,material,stone,6
environment,openness,enclosed,1
environment,openness,open,4
environment,openness,unknown,5
environment,spatial_layout_aisle_width,unknown,10
environment,spatial_layout_depth,constrained,1
environment,spatial_layout_depth,deep,9
environment,spatial_layout_depth,moderate,7
environment,spatial_layout_depth,shallow,1
environment,spatial_layout_depth,unknown,2
environment,spatial_layout_openness,confined,1
environment,spatial_layout_openness,moderate,2
environment,spatial_layout_openness,open,5
environment,spatial_layout_openness,unknown,2
environment,texture,floor total,25
environment,texture,matte or flat,0
environment,texture,smooth,0
environment,texture,textured,0
environment,texture,walls total,30
environment,texture,worn or weathered,0
environment,time_of_day_hint,afternoon,2
environment,time_of_day_hint,evening,3
environment,time_of_day_hint,night,1
environment,time_of_day_hint,noon,2
environment,time_of_day_hint,unknown,12
environment,walls_color,beige,1
environment,walls_color,black,4
environment,walls_color,brown,4
environment,walls_color,gray,2
environment,walls_color,midnightblue,1
environment,walls_color,red,3
environment,walls_color,snow,1
environment,walls_color,turquoise,1
environment,walls_condition,aged,1
environment,walls_condition,clean,1
environment,walls_condition,fair,1
environment,walls_condition,good,2
environment,walls_condition,maintained,1
environment,walls_condition,slightly weathered,2
environment,walls_condition,unknown,2
environment,walls_condition,weathered,2
environment,walls_condition,worn,1
environment,walls_finish,glossy,1
environment,walls_finish,matte,5
environment,walls_finish,painted,1
environment,walls_finish,reflective,2
environment,walls_finish,unknown,3
environment,walls_finish,weathered,1
environment,walls_material,brick,8
environment,walls_material,brick masonry,1
environment,walls_material,concrete,1
environment,walls_material,glass,7
environment,walls_material,masonry,2
environment,walls_material,paint,1
environment,walls_material,steel,1
environment,walls_material,stone,1
environment,walls_texture,masonry,1
environment,walls_texture,reflective,1
environment,walls_texture,repetitive window grid,1
environment,walls_texture,slightly weathered,1
environment,walls_texture,smooth,5
environment,walls_texture,smooth reflective,1
environment,walls_texture,smooth textured,1
environment,walls_texture,textured,6
environment,walls_texture,textured masonry,1
environment,walls_texture,textured stone,1
environment,walls_texture,vertical mortar,1
environment,walls_texture,weathered,1
environment,weather,clear,8
environment,weather,cloudy,1
environment,weather,mist,1
environment,weather,overcast,1
environment,weather,sunny,3
environment,weather,unknown,6
lighting,artifacts,atmospheric haze,2
lighting,artifacts,bloom,1
lighting,artifacts,bokeh related,3
lighting,artifacts,lens bloom,1
lighting,artifacts,lens flare,1
lighting,artifacts,motion blur,4
lighting,artifacts,specular reflections,3
lighting,artifacts,vertical streak,1
lighting,artifacts,vignette,1
lighting,artifacts,wet appearing pavement reflections,1
lighting,color_temperature,cool,3
lighting,color_temperature,neutral,3
lighting,color_temperature,unknown,10
lighting,color_temperature,warm,4
lighting,contrast_level,high,1
lighting,contrast_level,low,1
lighting,contrast_level,medium,8
lighting,contrast_level,unknown,10
lighting,directionality,unknown,17
lighting,hardness,light hard,3
lighting,hardness,light soft,8
