cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,6
atmosphere,aesthetic_qualities,realistic,12
atmosphere,color_temperature,cool,1
atmosphere,color_temperature,neutral,4
atmosphere,color_temperature,warm,7
atmosphere,contrast_level,medium,14
atmosphere,dominant_palette,black,8
atmosphere,dominant_palette,brown,30
atmosphere,dominant_palette,mediumblue,2
atmosphere,mood,calm,19
atmosphere,mood,minimalistic,2
atmosphere,saturation_level,neutral,13
atmosphere,saturation_level,vivid,1
background,object_counts_by_position,background center,30
background,object_counts_by_position,background left,18
background,object_counts_by_position,background right,46
background,object_counts_by_position,foreground center,55
background,object_counts_by_position,foreground left,46
background,object_counts_by_position,foreground right,25
background,object_counts_by_position,midground center,32
background,object_counts_by_position,midground left,24
background,object_counts_by_position,midground right,34
camera,crop,bottom cropped,1
camera,crop,ceiling floor margins visible,1
camera,crop,chest upward,1
camera,crop,feet partially cropped by foreground shadow,1
camera,crop,full figure,1
camera,crop,lower body partial,1
camera,crop,lower legs out frame,1
camera,crop,lower legs partially cropped,1
camera,crop,mid thigh,1
camera,crop,person cropped mid thigh,1
camera,crop,subject cropped near mid thigh,1
camera,crop,top head near upper quarter,1
camera,crop,torso height,1
camera,crop,torso up,1
camera,crop,upper thighs upward,1
camera,crop,upper torso face centered,1
camera,depth_of_field,deep,2
camera,depth_of_field,deep dof,1
camera,depth_of_field,moderate,7
camera,depth_of_field,moderate dof,4
camera,depth_of_field,shallow,8
camera,depth_of_field,shallow dof,4
camera,focal_length,normal,3
camera,focal_length,telephoto,1
camera,focal_length,wide,1
camera,framing,establishing,4
camera,framing,full body,6
camera,framing,medium,19
camera,framing,wide,4
camera,perspective,eye level,23
environment,aisle_width,moderate,1
environment,aisle_width,unknown,1
environment,ceiling_color,black,6
environment,ceiling_color,lightblue,1
environment,ceiling_color,white,2
environment,ceiling_condition,good,2
environment,ceiling_condition,intact,1
environment,ceiling_finish,matte,1
environment,ceiling_finish,painted,2
environment,ceiling_material,black,6
environment,ceiling_material,drywall,1
environment,ceiling_material,paint,4
environment,ceiling_material,painted drywall,1
environment,ceiling_material,painted panel,1
environment,ceiling_material,painted surface,2
environment,ceiling_material,plaster,3
environment,ceiling_texture,slightly reflective,1
environment,ceiling_texture,smooth,10
environment,ceiling_texture,textured,1
environment,floor_color,black,6
environment,floor_color,lightgoldenrodyellow,1
environment,floor_color,mediumvioletred,1
environment,floor_color,white,1
environment,floor_condition,good,1
environment,floor_condition,minimal wear,1
environment,floor_condition,no visible scuffing,1
environment,floor_finish,matte,2
environment,floor_finish,polished,1
environment,floor_material,ceramic tile,1
environment,floor_material,hardwood,1
environment,floor_material,unknown,1
environment,floor_material,wood,2
environment,floor_material,wood like plank,1
environment,floor_material,wood look,1
environment,floor_material,wood plank,1
environment,floor_texture,chevron pattern,1
environment,floor_texture,matte,1
environment,floor_texture,plank,1
environment,floor_texture,polished,1
environment,floor_texture,slightly reflective,1
environment,floor_texture,smooth,4
environment,floor_texture,subtle grain,2
environment,indoor_outdoor,unknown,20
environment,location_type,kitchen,10
environment,location_type,residential kitchen,10
environment,spatial_layout_aisle_width,unknown,3
environment,spatial_layout_depth,deep,1
environment,spatial_layout_depth,medium,2
environment,spatial_layout_depth,medium sized,1
environment,spatial_layout_depth,moderate,7
environment,spatial_layout_depth,open,2
environment,spatial_layout_depth,shallow,3
environment,spatial_layout_openness,contained,1
environment,spatial_layout_openness,enclosed,1
environment,spatial_layout_openness,moderately open,1
environment,spatial_layout_openness,open,8
environment,spatial_layout_openness,unknown,4
environment,time_of_day_hint,afternoon,1
environment,walls_color,black,1
environment,walls_color,brown,1
environment,walls_color,gray,7
environment,walls_color,lightblue,3
environment,walls_color,palegreen,1
environment,walls_color,silver,2
environment,walls_color,white,20
environment,walls_condition,clean,11
environment,walls_condition,good,3
environment,walls_condition,intact,2
environment,walls_condition,pristine,4
environment,walls_condition,well maintained,1
environment,walls_finish,brushed,1
environment,walls_finish,clean,1
environment,walls_finish,glazed,1
environment,walls_finish,glossy,7
environment,walls_finish,high gloss,1
environment,walls_finish,matte,6
environment,walls_finish,paint,1
environment,walls_finish,painted,3
environment,walls_finish,polished,1
environment,walls_finish,semi matte,1
environment,walls_material,ceramic,3
environment,walls_material,ceramic tile,6
environment,walls_material,drywall,2
environment,walls_material,glass,1
environment,walls_material,glazed tile,1
environment,walls_material,high gloss cabinetry,1
environment,walls_material,lacquered wood,1
environment,walls_material,marble effect panel,1
environment,walls_material,metal frame,1
environment,walls_material,paint,7
environment,walls_material,painted drywall,2
environment,walls_material,painted surface,1
environment,walls_material,painted wood,4
environment,walls_material,stainless steel,1
environment,walls_material,stainless steel tile,1
environment,walls_material,tile,2
environment,walls_material,unknown,2
environment,walls_material,wood,1
environment,walls_material,wood veneer,1
environment,walls_texture,glazed,1
environment,walls_texture,glossy,8
environment,walls_texture,matte,1
environment,walls_texture,polished,1
environment,walls_texture,rectangular tile pattern,1
environment,walls_texture,reflective,4
environment,walls_texture,slightly reflective,1
environment,walls_texture,smooth,24
environment,walls_texture,textured,1
environment,walls_texture,woodgrain,1
environment,weather,sunny,1
lighting,artifacts,mild glare glass beverage container,1
lighting,artifacts,mild highlight bloom near window,1
lighting,artifacts,mild highlight countertop,1
lighting,artifacts,specular reflections metal surfaces,2
lighting,artifacts,specular reflections stainless steel,1
lighting,artifacts,specular reflections stainless steel microwave glass,1
lighting,artifacts,subtle reflections chrome tiles,1
lighting,artifacts,subtle specular reflections stainless steel,1
lighting,color_temperature,cool,2
lighting,color_temperature,neutral,4
lighting,color_temperature,warm,10
lighting,contrast_level,medium,15
lighting,directionality,backlight,11
lighting,directionality,sidelight,20
lighting,directionality,toplight,15
lighting,directionality,underlight,5
lighting,directionality,unknown,13
lighting,hardness,soft light,34
lighting,saturation_level,neutral,13
lighting,saturation_level,vivid,2
lighting,shadows,casting,2
lighting,shadows,medium,2
lighting,shadows,soft,30
lighting,sources_count,four or more,1
lighting,sources_count,one source,20
lighting,sources_count,two,3
lighting,sources_type,artificial,9
lighting,sources_type,artificial light,5
lighting,sources_type,artificial light source,9
lighting,sources_type,unknown,27
objects,note,subtype counts sum equals total object instances,129
objects,plane,background,94
objects,plane,foreground,126
objects,plane,midground,90
objects,side,center,117
objects,side,left,88
objects,side,right,105
objects,type,appliance,15
objects,type,architectural,1
objects,type,assorted produce,1
objects,type,assorted vegetables background counter,1
objects,type,avocado,1
objects,type,backsplash,2
objects,type,backsplash panel,1
objects,type,black framed window,1
objects,type,bottle,2
objects,type,bowl,8
objects,type,bread,1
objects,type,bread piece,1
objects,type,brushed stainless steel vent canopy,1
objects,type,bunch,1
objects,type,burner unit,1
objects,type,butcher block wood,1
objects,type,cabinet,1
objects,type,cabinetry,4
objects,type,cabinetry bank,1
objects,type,celery,1
objects,type,chef knife,1
objects,type,chef slicing knife,1
objects,type,cherry tomatoes,1
objects,type,chicken egg,1
objects,type,chimney,1
objects,type,chopped herbs,1
objects,type,coffee cup,1
objects,type,container,7
objects,type,cooking range,1
objects,type,cooking vessel,2
objects,type,cooktop,1
objects,type,cookware,6
objects,type,countertop,4
objects,type,countertop edge,1
objects,type,countertop microwave,1
objects,type,countertop pot,1
objects,type,countertop small appliance,1
objects,type,crate,1
objects,type,curtain,1
objects,type,cutting board,5
objects,type,cutting boards,1
objects,type,dark green avocado pair,1
objects,type,decoration,1
objects,type,decorative bowl,1
objects,type,dinnerware,1
objects,type,dipping dish,1
objects,type,double basin sink,1
objects,type,egg,2
objects,type,electric appliance,1
objects,type,faucet,4
