cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,8
atmosphere,aesthetic_qualities,realistic,12
atmosphere,color,black,2
atmosphere,color,brown,2
atmosphere,color,mediumblue,4
atmosphere,color,orangered,1
atmosphere,color,per image share,0
atmosphere,color,within attribute share,0
atmosphere,contrast_level,high,4
atmosphere,contrast_level,medium,13
atmosphere,dominant_palette,black,6
atmosphere,dominant_palette,medium blue,2
atmosphere,dominant_palette,orange red,1
atmosphere,dominant_palette,red,1
atmosphere,dominant_palette,unknown,9
atmosphere,color_temperature,cool,12
atmosphere,color_temperature,neutral,5
atmosphere,saturation_level,neutral,6
atmosphere,saturation_level,vivid,2
atmosphere,mood,calm,16
atmosphere,mood,joyful,2
atmosphere,mood,minimalistic,1
atmosphere,saturation_level,neutral,7
atmosphere,saturation_level,vivid,1
background,object_count_by_position_total,background center,16
background,object_count_by_position_total,background left,4
background,object_count_by_position_total,background right,5
background,object_count_by_position_total,foreground center,23
background,object_count_by_position_total,foreground left,17
background,object_count_by_position_total,foreground right,17
background,object_count_by_position_total,midground center,115
background,object_count_by_position_total,midground left,13
background,object_count_by_position_total,midground right,17
background,position,background center,9
background,position,background left,3
background,position,background right,1
background,position,foreground center,15
background,position,foreground left,8
background,position,foreground right,8
background,position,midground center,11
background,position,midground left,6
background,position,midground right,7
background,position,unknown,1
camera,crop,bottom merged variants,7
camera,depth_of_field,deep,4
camera,depth_of_field,deep dof,2
camera,depth_of_field,moderate,4
camera,depth_of_field,moderate dof,1
camera,depth_of_field,per image share,0
camera,depth_of_field,shallow,8
camera,depth_of_field,shallow dof,6
camera,depth_of_field,within attribute share,0
camera,focal_length,normal,3
camera,focal_length,per image share,0
camera,focal_length,telephoto,2
camera,focal_length,wide,3
camera,focal_length,within attribute share,0
camera,framing,establishing,2
camera,framing,full body,7
camera,framing,headshot,1
camera,framing,medium,9
camera,framing,wide,7
camera,perspective,eye level,27
camera,perspective,per image share,0
camera,perspective,within attribute share,0
environment,aisle_width,medium,1
environment,aisle_width,unknown,2
environment,aisle_width,wide,2
environment,color,beige,3
environment,color,black,8
environment,color,blue,1
environment,color,ghostwhite,4
environment,color,gray,5
environment,color,green,14
environment,color,orange,15
environment,color,red,3
environment,color,silver,7
environment,color,white,10
environment,indoor_outdoor,unknown,20
environment,location_type,grocery store,2
environment,location_type,grocery supermarket canonical,7
environment,location_type,supermarket,6
environment,location_type,supermarket aisle,5
environment,material,acoustic ceiling tiles,3
environment,material,cardboard,2
environment,material,ceramic tile,10
environment,material,glass,3
environment,material,metal,7
environment,material,plastic,3
environment,openness,contained,1
environment,openness,corridor like,1
environment,openness,enclosed,1
environment,openness,open,4
environment,openness,unknown,2
environment,spatial_depth,deep,8
environment,spatial_depth,moderate,2
environment,spatial_layout_aisle_width,unknown,5
environment,spatial_layout_aisle_width,wide,1
environment,spatial_layout_depth,deep,3
environment,spatial_layout_depth,moderate,6
environment,spatial_layout_openness,open,4
environment,spatial_layout_openness,unknown,5
environment,surfaces_ceiling_color,black,4
environment,surfaces_ceiling_finish,matte,6
environment,surfaces_ceiling_material,acoustic tiles merged variants,3
environment,surfaces_ceiling_material,metal,5
environment,surfaces_ceiling_texture,smooth,4
environment,surfaces_floor_color,beige,4
environment,surfaces_floor_color,white,2
environment,surfaces_floor_material,ceramic tile merged variants,10
environment,surfaces_floor_texture,glossy,2
environment,surfaces_floor_texture,smooth,8
environment,surfaces_walls_color,wall black,3
environment,surfaces_walls_color,wall darkslategrey,1
environment,surfaces_walls_color,wall green,1
environment,surfaces_walls_material,wall metal,1
environment,surfaces_walls_material,wall paint,1
environment,surfaces_walls_material,wall plastic,1
environment,surfaces_walls_texture,wall smooth,2
lighting,artifacts,background bokeh,1
lighting,artifacts,background bokeh blur,1
lighting,artifacts,minimal visible,1
lighting,artifacts,minor specular highlights eyeglasses,1
lighting,artifacts,motion blur,2
lighting,artifacts,no lens flare,2
lighting,artifacts,per image share,0
lighting,artifacts,specular highlights,1
lighting,artifacts,specular highlights packaging chrome,1
lighting,artifacts,specular highlights plastic tile,1
lighting,artifacts,specular reflections,1
lighting,artifacts,specular reflections eyeglass lenses,1
lighting,artifacts,specular reflections floor,1
lighting,artifacts,specular reflections floor clear plastic packaging,1
lighting,artifacts,specular reflections floor glass,1
lighting,artifacts,specular reflections glossy produce packaging,1
lighting,artifacts,specular reflections tile plastic,1
lighting,artifacts,unknown,1
lighting,artifacts,within attribute share,0
lighting,color_temperature,cool,13
lighting,color_temperature,neutral,6
lighting,contrast_level,high,4
lighting,contrast_level,medium,15
lighting,directionality,top,10
lighting,hardness,medium,1
lighting,hardness,soft,9
lighting,saturation_level,neutral,15
lighting,saturation_level,vivid,3
lighting,shadows,soft,20
lighting,sources_count,four or more light,19
lighting,sources_count,three light,1
lighting,sources_directionality,unknown,12
lighting,sources_hardness,medium,1
lighting,sources_hardness,soft,9
lighting,sources_type,artificial,10
lighting,sources_type,artificial light,10
objects,color,beige,4
objects,color,black,21
objects,color,blue,8
objects,color,brown,5
objects,color,crimson,2
objects,color,darkblue,2
objects,color,darkgreen,2
objects,color,darkslategrey,2
objects,color,ghostwhite,4
objects,color,gray,10
objects,color,green,27
objects,color,lightgray,1
objects,color,mediumblue,1
objects,color,mediumpurple,1
objects,color,orange,28
objects,color,palegreen,2
objects,color,purple,2
objects,color,red,3
objects,color,silver,12
objects,color,tan,1
objects,color,teal,1
objects,color,white,13
objects,color,yellow,3
objects,condition,clean,9
objects,condition,orderly,6
objects,condition,stocked,6
objects,condition,unknown,0
objects,condition,well maintained,5
objects,finish,backlit,1
objects,finish,brushed,1
objects,finish,glossy,11
objects,finish,matte,6
objects,finish,reflective,5
