cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,6
atmosphere,aesthetic_qualities,dreamy,4
atmosphere,aesthetic_qualities,realistic,6
atmosphere,contrast_level,high,2
atmosphere,contrast_level,medium,7
atmosphere,dominant_palette,brown,14
atmosphere,dominant_palette,medium blue,3
atmosphere,dominant_palette,mediumblue,3
atmosphere,dominant_palette,orange red,1
atmosphere,dominant_palette,orangered,1
atmosphere,color_temperature,warm,9
atmosphere,mood,calm,9
atmosphere,mood,joyful,3
atmosphere,saturation_level,neutral,9
background,object_counts_by_position,background center,8
background,object_counts_by_position,background left,7
background,object_counts_by_position,background right,6
background,object_counts_by_position,foreground center,23
background,object_counts_by_position,foreground left,17
background,object_counts_by_position,foreground right,14
background,object_counts_by_position,midground center,9
background,object_counts_by_position,midground left,7
background,object_counts_by_position,midground right,7
camera,crop,lower body cropped,3
camera,crop,lower body cropped at waist,1
camera,crop,lower body cropped out,1
camera,crop,lower legs cropped,2
camera,crop,slightly canted,1
camera,crop,tight waist up,1
camera,depth_of_field,moderate,2
camera,depth_of_field,shallow,18
camera,focal_length,telephoto,2
camera,framing,headshot,2
camera,framing,medium,18
camera,framing,wide,2
camera,perspective,eye level,6
environment,floor_color,black,2
environment,floor_color,brown,4
environment,floor_color,gray,1
environment,floor_color,green,7
environment,floor_color,lightblue,1
environment,floor_color,white,1
environment,floor_condition,clean,1
environment,floor_condition,even,2
environment,floor_condition,good,3
environment,floor_condition,intact,1
environment,floor_condition,manicured,1
environment,floor_condition,neat,1
environment,floor_condition,soft,1
environment,floor_condition,weathered,2
environment,floor_condition,well maintained,2
environment,floor_condition,worn,1
environment,floor_finish,matte,5
environment,floor_finish,rounded edge,1
environment,floor_finish,uniform,1
environment,floor_finish,unknown,5
environment,floor_material,composite,1
environment,floor_material,concrete,2
environment,floor_material,fabric,1
environment,floor_material,grass,7
environment,floor_material,paved,1
environment,floor_material,paved path,1
environment,floor_material,paving stone,1
environment,floor_material,stone,1
environment,floor_material,wood,3
environment,indoor_outdoor,unknown,10
environment,location_type,park,9
environment,location_type,public park,1
environment,openness,medium,1
environment,openness,open,9
