cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,5
atmosphere,aesthetic_qualities,realistic,6
atmosphere,dominant_palette,black,2
atmosphere,dominant_palette,brown,16
atmosphere,dominant_palette,lightgreen,3
atmosphere,dominant_palette,orangered,1
atmosphere,dominant_palette,unknown,22
atmosphere,temperature,neutral,2
atmosphere,temperature,warm,14
atmosphere,contrast_level,medium,14
atmosphere,aesthetic_qualities,cinematic,5
atmosphere,aesthetic_qualities,dreamy,1
atmosphere,aesthetic_qualities,realistic,4
atmosphere,temperature,cool,2
atmosphere,temperature,warm,5
atmosphere,contrast_level,high,1
atmosphere,contrast_level,medium,6
atmosphere,saturation_level,neutral,3
atmosphere,saturation_level,vivid,4
atmosphere,saturation_level,neutral,5
atmosphere,saturation_level,vivid,2
atmosphere,mood,calm,20
background,object_counts_by_position,background center,12
background,object_counts_by_position,background left,10
background,object_counts_by_position,background right,17
background,object_counts_by_position,foreground center,20
background,object_counts_by_position,foreground left,17
background,object_counts_by_position,foreground right,17
background,object_counts_by_position,midground center,16
background,object_counts_by_position,midground left,12
background,object_counts_by_position,midground right,19
camera,crop,cabinetry left partially cropped,1
camera,crop,cabinetry right partially cropped,1
camera,crop,slight top,1
camera,depth_of_field,moderate,1
camera,depth_of_field,shallow,32
camera,focal_length,normal,12
camera,focal_length,telephoto,2
camera,framing,full body,9
camera,framing,headshot,1
camera,framing,medium,11
camera,framing,wide,1
camera,perspective,eye level,24
camera,perspective,third person,2
environment,ceiling_color,black,5
environment,ceiling_color,lightyellow,1
environment,ceiling_color,white,2
environment,floor_material,hardwood,1
environment,indoor_outdoor,unknown,20
environment,location_type,domestic kitchen,2
environment,location_type,kitchen,12
environment,location_type,residential kitchen,6
environment,openness,moderate,3
environment,openness,open,1
environment,openness,unknown,1
environment,spatial_depth,moderate,6
environment,spatial_depth,shallow,3
environment,spatial_layout_aisle_width,moderate,1
environment,spatial_layout_aisle_width,unknown,2
environment,spatial_layout_depth,moderate,7
environment,spatial_layout_depth,unknown,1
environment,spatial_layout_openness,compact,1
environment,spatial_layout_openness,open,6
environment,spatial_layout_openness,unknown,2
environment,time_of_day_hint,afternoon,1
environment,walls_color,beige,1
environment,walls_color,gray,2
environment,walls_color,lightblue,1
environment,walls_color,lightyellow,1
environment,walls_color,mediumpurple,1
environment,walls_color,palegreen,2
environment,walls_color,white,10
environment,walls_material,ceramic,2
environment,walls_material,ceramic tile,6
environment,walls_material,drywall,1
environment,walls_material,marble patterned,1
environment,walls_material,paint,2
environment,walls_material,painted drywall,1
environment,walls_material,painted wood,2
environment,walls_material,plaster,1
environment,walls_material,stone tile,1
environment,walls_material,wood,1
environment,weather,overcast,1
environment,weather,sunny,1
lighting,artifacts,gentle bloom,1
lighting,artifacts,motion blur limbs,1
lighting,artifacts,soft specular highlights metal,1
lighting,artifacts,specular reflection backsplash,1
lighting,artifacts,specular reflection kettle,1
lighting,artifacts,specular reflections,1
lighting,color_temperature,cool,2
lighting,color_temperature,neutral,2
lighting,color_temperature,warm,24
lighting,contrast_level,high,2
lighting,contrast_level,medium,17
lighting,directionality,sidelight,5
lighting,hardness,soft,13
lighting,saturation_level,neutral,16
lighting,saturation_level,vivid,10
lighting,shadows,medium,1
lighting,shadows,soft,9
lighting,sources_count,one light source,11
lighting,sources_directionality,backlight,6
lighting,sources_directionality,sidelight,4
lighting,sources_directionality,unknown,4
lighting,sources_type,artificial,6
lighting,sources_type,artificial light,5
lighting,sources_type,artificial light source,6
lighting,sources_type,unknown,23
objects,color,black,7
objects,color,brown,6
objects,color,crimson,1
objects,color,darkblue,4
objects,color,gray,6
objects,color,green,9
objects,color,lightgreen,1
objects,color,lightyellow,3
objects,color,mediumpurple,1
objects,color,others,0
objects,color,palegreen,1
objects,color,pink,2
objects,color,red,1
objects,color,silver,25
objects,color,white,26
objects,color,yellow,2
objects,condition,clean,27
objects,condition,gently used,2
objects,condition,good,16
objects,condition,intact,2
objects,condition,pristine,2
objects,condition,unknown,13
objects,condition,used,3
objects,condition,well maintained,3
objects,finish,brushed metal,9
objects,finish,gloss,5
objects,finish,matte,6
objects,finish,polished,3
objects,finish,reflective,8
objects,material,ceramic,5
objects,material,fabric shade,1
objects,material,glass,8
objects,material_aggregated,metal,20
objects,material_aggregated,others,0
objects,material_aggregated,painted wood,3
objects,material_aggregated,paper,2
objects,material_aggregated,plastic,2
objects,material_aggregated,stainless steel,11
objects,material_aggregated,terracotta,1
objects,material_aggregated,wood,6
objects,plane,background,36
objects,plane,background objects,39
objects,plane,foreground,14
objects,plane,foreground objects,54
objects,plane,midground,48
objects,plane,midground objects,47
objects,plane_distribution,background,39
objects,plane_distribution,foreground,54
objects,plane_distribution,midground,47
objects,side,center,31
objects,side,center objects,48
objects,side,left,26
objects,side,left objects,39
objects,side,right,41
objects,side,right objects,53
objects,side_distribution,center,48
objects,side_distribution,left,39
objects,side_distribution,right,53
objects,subtype_distribution,built microwave,1
objects,subtype_distribution,built oven,1
objects,subtype_distribution,butcher block counter,1
