cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,16
atmosphere,aesthetic_qualities,dreamy,2
atmosphere,aesthetic_qualities,realistic,12
atmosphere,dominant_palette,brown,20
atmosphere,dominant_palette,unknown,10
atmosphere,temperature,neutral,1
atmosphere,temperature,warm,8
atmosphere,contrast_level,medium,9
atmosphere,profile_aesthetic_qualities,quality cinematic,6
atmosphere,profile_aesthetic_qualities,quality dreamy,3
atmosphere,profile_aesthetic_qualities,quality realistic,8
atmosphere,profile_color_temperature,warm,9
atmosphere,profile_contrast_level,medium,10
atmosphere,profile_saturation_level,neutral,3
atmosphere,profile_saturation_level,vivid,6
atmosphere,saturation_level,vivid,8
atmosphere,mood,calm,30
background,object_counts_by_position,background center,4
background,object_counts_by_position,background left,7
background,object_counts_by_position,background right,7
background,object_counts_by_position,foreground center,16
background,object_counts_by_position,foreground left,12
background,object_counts_by_position,foreground right,7
background,object_counts_by_position,midground center,14
background,object_counts_by_position,midground left,7
background,object_counts_by_position,midground right,13
background,position,background center,12
background,position,background left,9
background,position,background right,19
background,position,foreground center,23
background,position,foreground left,19
background,position,foreground right,14
background,position,midground center,24
background,position,midground left,16
background,position,midground right,20
camera,crop,book,1
camera,crop,bottom cropped,1
camera,crop,excludes lower legs footwear,1
camera,crop,hands,1
camera,crop,includes foreground rug background window,1
camera,crop,includes torso lap,1
camera,crop,left forearm partial,1
camera,crop,lower lap area cropped,1
camera,crop,lower legs cropped,3
camera,crop,lower legs partially out of frame,1
camera,crop,partial lower legs out of frame,1
camera,crop,right cushion area partially cropped,1
camera,crop,right side,1
camera,crop,torso,1
camera,crop,torso and hands included,1
camera,depth_of_field,deep,2
camera,depth_of_field,shallow,26
camera,focal_length,normal,7
camera,focal_length,telephoto,9
camera,framing,close up,5
camera,framing,headshot,2
camera,framing,medium,26
camera,framing,wide,4
camera,perspective,eye level,24
environment,indoor_outdoor,unknown,30
environment,location_type,domestic reading space,1
environment,location_type,domestic sitting area,2
environment,location_type,living room,15
environment,location_type,reading nook,1
environment,location_type,residential living space,2
environment,location_type,residential sitting area,2
environment,location_type,rural living area,2
environment,location_type,rustic living room,2
environment,location_type,wooden cabin interior,2
environment,location_type,wooden cabin reading space,1
environment,spatial_layout_depth,moderate,8
environment,spatial_layout_depth,shallow,8
environment,spatial_layout_openness,enclosed,6
environment,spatial_layout_openness,unknown,1
environment,time_of_day_hint,afternoon,5
environment,time_of_day_hint,noon,2
environment,weather,cloudy,1
environment,weather,overcast,2
lighting,artifacts,artifact faint eyeglass reflection,1
lighting,artifacts,artifact mild reflection eyeglass lenses,1
lighting,artifacts,artifact minor specular book edges,1
lighting,artifacts,artifact minor specular glasses,1
lighting,artifacts,artifact specular highlights on leather glazed pot,1
lighting,artifacts,artifact specular reflection eyeglass lenses,1
lighting,artifacts,artifact subtle reflection eyeglass frames,1
lighting,color_temperature,neutral,2
lighting,color_temperature,warm,32
lighting,contrast_level,medium,28
lighting,directionality,backlight,4
lighting,directionality,sidelight,6
lighting,directionality,top light,1
lighting,directionality,unknown,16
lighting,hardness,soft,31
lighting,saturation_level,neutral,6
lighting,saturation_level,vivid,20
lighting,shadows,casting,2
lighting,shadows,soft,38
lighting,sources_count,four or more,1
lighting,sources_count,one,10
lighting,sources_count,one source,5
lighting,sources_count,two,2
lighting,sources_type,artificial light,1
lighting,sources_type,light source artificial,2
lighting,sources_type,mixed,1
lighting,sources_type,unknown,19
objects,type,appliance,1
objects,type,armchair,1
objects,type,book,14
objects,type,bookshelf,3
objects,type,bookcase,47
objects,type,couch,4
objects,type,sofa,17
objects,type,cushion,1
objects,type,decorative bowl,1
objects,type,plant,12
objects,type,potted plant,9
objects,type,potted houseplant,1
objects,type,potted leafy plant,1
objects,type,framed artwork,2
