cohort,dimension,label,count
atmosphere,color,black,2
atmosphere,color,brown,8
atmosphere,dominant_palette,black,4
atmosphere,dominant_palette,brown,24
atmosphere,dominant_palette,mediumblue,2
atmosphere,lighting_profile_aesthetic_qualities,cinematic,13
atmosphere,lighting_profile_aesthetic_qualities,dreamy,3
atmosphere,lighting_profile_aesthetic_qualities,minimal,2
atmosphere,lighting_profile_aesthetic_qualities,realistic,17
atmosphere,lighting_profile_color_temperature,cool,14
atmosphere,lighting_profile_color_temperature,neutral,5
atmosphere,lighting_profile_color_temperature,warm,2
atmosphere,lighting_profile_contrast_level,medium,21
atmosphere,lighting_profile_saturation_level,neutral,17
atmosphere,lighting_profile_saturation_level,vivid,4
atmosphere,mood,calm,20
atmosphere,mood,joyful,2
atmosphere,mood_distribution,calm,10
atmosphere,mood_distribution,joyful,2
background,object_counts_by_position,background center,25
background,object_counts_by_position,background left,12
background,object_counts_by_position,background right,5
background,object_counts_by_position,foreground center,50
background,object_counts_by_position,foreground left,25
background,object_counts_by_position,foreground right,22
background,object_counts_by_position,midground center,19
background,object_counts_by_position,midground left,15
background,object_counts_by_position,midground right,21
background,object_counts_by_position,unknown,2
background,position_totals,background center,9
background,position_totals,background left,4
background,position_totals,background right,5
background,position_totals,foreground center,10
background,position_totals,foreground left,9
background,position_totals,foreground right,10
background,position_totals,midground center,7
background,position_totals,midground left,5
background,position_totals,midground right,5
camera,crop,bottom cropped,1
camera,crop,bottom edge cropped,1
camera,crop,cart base cropped,1
camera,crop,lower body cropped,1
camera,crop,lower legs footwear cropped by bottom edge,1
camera,crop,lower right leg partially cropped by bottom edge,1
camera,crop,right shoe partial,1
camera,crop,right side produce bin partially cropped,1
camera,depth_of_field,moderate,8
camera,depth_of_field,shallow,32
camera,focal_length,normal,8
camera,focal_length,telephoto,6
camera,focal_length,wide,4
camera,framing,close up,2
camera,framing,establishing,1
camera,framing,establishing shot,1
camera,framing,full body,4
camera,framing,headshot,2
camera,framing,medium,30
camera,framing,wide,10
camera,perspective,eye level,30
environment,aisle_width,moderate,1
environment,aisle_width,unknown,5
environment,aisle_width,wide,2
environment,ceiling_color,black,2
environment,ceiling_color,darkblue,1
environment,ceiling_color,gray,1
environment,ceiling_color,mediumpurple,1
environment,ceiling_color,white,8
environment,ceiling_condition,clean,2
environment,ceiling_condition,good,3
environment,ceiling_condition,intact,1
environment,ceiling_condition,maintained,1
environment,ceiling_condition,minor discoloration,1
environment,ceiling_condition,pristine,1
environment,ceiling_condition,slightly discolored,1
environment,ceiling_condition,well maintained,1
environment,ceiling_finish,matte,8
environment,ceiling_finish,reflective,1
environment,ceiling_material,acoustic panel,1
environment,ceiling_material,acoustic tile,1
environment,ceiling_material,acoustic tiles,1
environment,ceiling_material,diffuser,1
environment,ceiling_material,diffuser panels,1
environment,ceiling_material,metal,4
environment,ceiling_material,painted surface,1
environment,ceiling_material,plastic,1
environment,ceiling_material,suspended acoustic panels,1
environment,ceiling_material,suspended tiles,1
environment,ceiling_texture,grid pattern,1
environment,ceiling_texture,matte,1
environment,ceiling_texture,paneled,1
environment,ceiling_texture,ribbed,1
environment,ceiling_texture,smooth,7
environment,floor_color,beige,1
environment,floor_color,black,1
environment,floor_color,gray,2
environment,floor_color,lightblue,3
environment,floor_color,mediumpurple,1
environment,floor_color,white,4
environment,floor_condition,clean,5
environment,floor_condition,generally clean,2
environment,floor_condition,intact,1
environment,floor_condition,well maintained,1
environment,floor_finish,glazed,1
environment,floor_finish,glossy,6
environment,floor_finish,matte,1
environment,floor_finish,slight sheen,1
environment,floor_finish,slightly reflective,1
environment,floor_material,ceramic,2
environment,floor_material,ceramic tile,5
environment,floor_material,glazed ceramic,1
environment,floor_material,tile,1
environment,floor_texture,glazed,1
environment,floor_texture,glossy,1
environment,floor_texture,reflective,1
environment,floor_texture,smooth,9
environment,indoor_outdoor,unknown,20
environment,location_type,grocery aisle,2
environment,location_type,grocery store,6
environment,location_type,grocery store aisle,1
environment,location_type,grocery store produce aisle,1
environment,location_type,supermarket,11
environment,location_type,supermarket aisle,4
environment,location_type,supermarket produce aisle,4
environment,location_type,supermarket produce section,1
environment,spatial_layout_depth,deep,1
environment,spatial_layout_depth,medium,3
environment,spatial_layout_depth,moderate,12
environment,spatial_layout_depth,shallow,1
environment,spatial_layout_openness,confined,1
environment,spatial_layout_openness,enclosed,1
environment,spatial_layout_openness,moderate,1
environment,spatial_layout_openness,moderately open,1
environment,spatial_layout_openness,open,5
environment,spatial_layout_openness,unknown,4
environment,walls_color,black,3
environment,walls_color,darkgray,1
environment,walls_color,gray,1
